TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,29.86,71.9,18.3,11.1,4.69,0.5,27.96,January,Winter,Christmas & New Year,71.9,Satisfactory,Anantapur,Andhra Pradesh,14.72422,77.4306738
2024-01-01 01:00:00,31.17,73.34,14.84,11.22,4.69,0.48,32.94,January,Winter,Christmas & New Year,73.34,Satisfactory,Anantapur,Andhra Pradesh,14.72422,77.4306738
2024-01-01 02:00:00,35.28,113.35,13.82,11.22,4.69,0.54,33.56,January,Winter,Christmas & New Year,109.20570469798658,Moderate,Anantapur,Andhra Pradesh,14.72422,77.4306738
2024-01-01 03:00:00,37.47,105.13,13.82,11.19,4.69,0.54,31.55,January,Winter,Christmas & New Year,103.74409395973154,Moderate,Anantapur,Andhra Pradesh,14.72422,77.4306738
2024-01-01 04:00:00,37.44,101.28,14.68,11.22,4.69,0.51,28.17,January,Winter,Christmas & New Year,101.18604026845638,Moderate,Anantapur,Andhra Pradesh,14.72422,77.4306738
2024-01-01 05:00:00,34.75,98.52,14.06,14.99,4.69,0.55,27.1,January,Winter,Christmas & New Year,98.52,Satisfactory,Anantapur,Andhra Pradesh,14.72422,77.4306738
2024-01-01 06:00:00,35.11,106.25,14.06,14.99,4.69,0.8,13.75,January,Winter,Christmas & New Year,104.48825503355705,Moderate,Anantapur,Andhra Pradesh,14.72422,77.4306738
2024-01-01 07:00:00,37.36,109.85,14.06,14.99,4.69,0.75,18.97,January,Winter,Christmas & New Year,106.88020134228188,Moderate,Anantapur,Andhra Pradesh,14.72422,77.4306738
2024-01-01 08:00:00,42.97,113.09,14.06,14.99,4.69,1.25,11.03,January,Winter,Christmas & New Year,109.03295302013423,Moderate,Anantapur,Andhra Pradesh,14.72422,77.4306738
2024-01-01 09:00:00,47.83,114.26,14.06,14.99,4.69,0.66,29.78,January,Winter,Christmas & New Year,109.8103355704698,Moderate,Anantapur,Andhra Pradesh,14.72422,77.4306738
2024-01-01 10:00:00,46.31,86.34,14.06,14.99,4.69,0.6,36.69,January,Winter,Christmas & New Year,86.34,Satisfactory,Anantapur,Andhra Pradesh,14.72422,77.4306738
2024-01-01 11:00:00,45.27,58.68,14.06,14.99,4.69,0.48,39.48,January,Winter,Christmas & New Year,75.11137931034483,Satisfactory,Anantapur,Andhra Pradesh,14.72422,77.4306738
2024-01-01 12:00:00,42.89,46.62,14.06,14.99,4.69,0.53,39.58,January,Winter,Christmas & New Year,71.09,Satisfactory,Anantapur,Andhra Pradesh,14.72422,77.4306738
2024-01-01 13:00:00,41.23,41.94,14.06,14.99,4.69,0.5,42.22,January,Winter,Christmas & New Year,68.2851724137931,Satisfactory,Anantapur,Andhra Pradesh,14.72422,77.4306738
2024-01-01 14:00:00,34.74,42.14,14.06,14.99,4.69,0.48,45.3,January,Winter,Christmas & New Year,57.31931034482759,Satisfactory,Anantapur,Andhra Pradesh,14.72422,77.4306738
