TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,38.79,66.3,23.6,11.64,4.94,3.1,23.36,January,Winter,Christmas & New Year,113.53164556962025,Moderate,Chittoor,Andhra Pradesh,13.2026484,79.0032253
2024-01-01 01:00:00,39.92,68.19,21.7,9.62,3.01,1.27,11.18,January,Winter,Christmas & New Year,68.19,Satisfactory,Chittoor,Andhra Pradesh,13.2026484,79.0032253
2024-01-01 02:00:00,43.4,74.0,22.95,10.48,1.7,1.21,15.21,January,Winter,Christmas & New Year,74.0,Satisfactory,Chittoor,Andhra Pradesh,13.2026484,79.0032253
2024-01-01 03:00:00,45.64,77.71,17.36,9.22,1.55,1.2,41.85,January,Winter,Christmas & New Year,77.71,Satisfactory,Chittoor,Andhra Pradesh,13.2026484,79.0032253
2024-01-01 04:00:00,48.7,82.83,13.29,7.97,1.23,1.14,32.24,January,Winter,Christmas & New Year,82.83,Satisfactory,Chittoor,Andhra Pradesh,13.2026484,79.0032253
2024-01-01 05:00:00,46.19,78.64,13.93,8.24,1.09,1.19,41.48,January,Winter,Christmas & New Year,78.64,Satisfactory,Chittoor,Andhra Pradesh,13.2026484,79.0032253
2024-01-01 06:00:00,39.59,67.64,13.77,8.05,0.9,1.28,21.54,January,Winter,Christmas & New Year,67.64,Satisfactory,Chittoor,Andhra Pradesh,13.2026484,79.0032253
2024-01-01 07:00:00,40.38,68.96,18.1,9.29,0.9,1.42,27.83,January,Winter,Christmas & New Year,68.96,Satisfactory,Chittoor,Andhra Pradesh,13.2026484,79.0032253
2024-01-01 08:00:00,39.15,66.9,20.06,10.65,3.42,1.52,57.36,January,Winter,Christmas & New Year,73.86666666666666,Satisfactory,Chittoor,Andhra Pradesh,13.2026484,79.0032253
2024-01-01 09:00:00,42.52,72.52,14.8,8.74,3.24,1.27,88.28,January,Winter,Christmas & New Year,88.28,Satisfactory,Chittoor,Andhra Pradesh,13.2026484,79.0032253
2024-01-01 10:00:00,38.61,66.0,8.11,6.26,1.46,1.02,91.68,January,Winter,Christmas & New Year,91.68,Satisfactory,Chittoor,Andhra Pradesh,13.2026484,79.0032253
2024-01-01 11:00:00,35.07,60.11,6.08,5.11,1.05,1.0,95.15,January,Winter,Christmas & New Year,95.15,Satisfactory,Chittoor,Andhra Pradesh,13.2026484,79.0032253
2024-01-01 12:00:00,25.8,44.66,5.36,4.7,1.0,0.94,95.25,January,Winter,Christmas & New Year,95.25,Satisfactory,Chittoor,Andhra Pradesh,13.2026484,79.0032253
