TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,130.0,188.0,28.08,15.5,18.88,0.97,17.25,January,Winter,Christmas & New Year,307.90697674418607,Very Poor,Rajamahendravaram,Andhra Pradesh,17.0050454,81.7804732
2024-01-01 01:00:00,155.5,231.25,19.35,15.95,19.0,1.0,17.48,January,Winter,Christmas & New Year,327.4767441860465,Very Poor,Rajamahendravaram,Andhra Pradesh,17.0050454,81.7804732
2024-01-01 02:00:00,122.75,168.25,19.48,14.98,17.08,0.93,16.9,January,Winter,Christmas & New Year,302.34302325581393,Very Poor,Rajamahendravaram,Andhra Pradesh,17.0050454,81.7804732
2024-01-01 03:00:00,117.5,157.25,16.98,14.4,16.65,0.68,16.05,January,Winter,Christmas & New Year,291.4655172413793,Poor,Rajamahendravaram,Andhra Pradesh,17.0050454,81.7804732
2024-01-01 04:00:00,115.75,161.5,17.0,15.82,16.45,0.58,17.18,January,Winter,Christmas & New Year,285.4913793103448,Poor,Rajamahendravaram,Andhra Pradesh,17.0050454,81.7804732
2024-01-01 05:00:00,119.5,165.25,14.92,14.88,15.92,0.79,15.95,January,Winter,Christmas & New Year,298.2931034482759,Poor,Rajamahendravaram,Andhra Pradesh,17.0050454,81.7804732
2024-01-01 06:00:00,107.0,149.75,16.5,14.68,14.0,0.9,14.92,January,Winter,Christmas & New Year,255.6206896551724,Poor,Rajamahendravaram,Andhra Pradesh,17.0050454,81.7804732
2024-01-01 07:00:00,112.75,166.0,20.3,14.88,13.75,1.46,14.4,January,Winter,Christmas & New Year,275.25,Poor,Rajamahendravaram,Andhra Pradesh,17.0050454,81.7804732
2024-01-01 08:00:00,121.0,172.75,19.32,16.35,13.7,1.27,16.45,January,Winter,Christmas & New Year,301.0,Very Poor,Rajamahendravaram,Andhra Pradesh,17.0050454,81.7804732
2024-01-01 09:00:00,118.25,171.5,21.0,14.75,16.08,1.03,17.08,January,Winter,Christmas & New Year,294.0258620689655,Poor,Rajamahendravaram,Andhra Pradesh,17.0050454,81.7804732
2024-01-01 10:00:00,110.5,162.75,16.15,15.98,19.77,1.03,18.82,January,Winter,Christmas & New Year,267.5689655172414,Poor,Rajamahendravaram,Andhra Pradesh,17.0050454,81.7804732
2024-01-01 11:00:00,111.0,165.25,15.2,18.47,24.13,0.74,21.75,January,Winter,Christmas & New Year,269.2758620689655,Poor,Rajamahendravaram,Andhra Pradesh,17.0050454,81.7804732
2024-01-01 12:00:00,102.25,152.5,12.5,15.65,22.05,0.43,20.02,January,Winter,Christmas & New Year,239.4051724137931,Poor,Rajamahendravaram,Andhra Pradesh,17.0050454,81.7804732
2024-01-01 13:00:00,83.5,132.25,9.05,14.0,17.58,0.32,18.68,January,Winter,Christmas & New Year,177.81034482758622,Moderate,Rajamahendravaram,Andhra Pradesh,17.0050454,81.7804732
2024-01-01 14:00:00,79.0,113.0,9.85,13.7,17.2,0.27,19.08,January,Winter,Christmas & New Year,162.44827586206895,Moderate,Rajamahendravaram,Andhra Pradesh,17.0050454,81.7804732
2024-01-01 15:00:00,80.25,117.75,17.48,13.62,19.05,0.57,19.08,January,Winter,Christmas & New Year,166.7155172413793,Moderate,Rajamahendravaram,Andhra Pradesh,17.0050454,81.7804732
2024-01-01 16:00:00,86.0,129.75,17.1,17.27,20.58,0.86,20.4,January,Winter,Christmas & New Year,186.3448275862069,Moderate,Rajamahendravaram,Andhra Pradesh,17.0050454,81.7804732
2024-01-01 17:00:00,96.0,153.5,23.1,18.2,20.2,1.09,19.88,January,Winter,Christmas & New Year,218.0689655172414,Poor,Rajamahendravaram,Andhra Pradesh,17.0050454,81.7804732
2024-01-01 18:00:00,107.75,167.5,31.42,18.77,16.58,1.27,20.3,January,Winter,Christmas & New Year,258.1810344827586,Poor,Rajamahendravaram,Andhra Pradesh,17.0050454,81.7804732
2024-01-01 19:00:00,110.0,176.25,30.85,17.73,15.28,1.11,20.1,January,Winter,Christmas & New Year,265.8620689655172,Poor,Rajamahendravaram,Andhra Pradesh,17.0050454,81.7804732
2024-01-01 20:00:00,121.5,173.0,26.85,18.62,17.68,1.06,19.77,January,Winter,Christmas & New Year,301.3837209302326,Very Poor,Rajamahendravaram,Andhra Pradesh,17.0050454,81.7804732
2024-01-01 21:00:00,128.5,179.25,23.22,17.95,17.6,1.01,18.82,January,Winter,Christmas & New Year,306.75581395348837,Very Poor,Rajamahendravaram,Andhra Pradesh,17.0050454,81.7804732
2024-01-01 22:00:00,127.0,182.0,31.0,16.45,18.23,1.06,17.35,January,Winter,Christmas & New Year,305.6046511627907,Very Poor,Rajamahendravaram,Andhra Pradesh,17.0050454,81.7804732
2024-01-01 23:00:00,128.25,188.75,23.0,17.5,15.85,0.78,17.12,January,Winter,Christmas & New Year,306.5639534883721,Very Poor,Rajamahendravaram,Andhra Pradesh,17.0050454,81.7804732
