TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,103.25,162.25,39.52,1.63,10.88,0.91,13.18,January,Winter,Christmas & New Year,242.8189655172414,Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-01 01:00:00,119.0,182.25,47.35,0.6,11.58,1.2,11.72,January,Winter,Christmas & New Year,296.58620689655174,Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-01 02:00:00,109.0,174.5,49.58,1.05,11.55,1.23,11.7,January,Winter,Christmas & New Year,262.44827586206895,Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-01 03:00:00,104.5,163.75,48.02,1.97,10.9,1.18,14.57,January,Winter,Christmas & New Year,247.08620689655172,Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-01 04:00:00,100.0,154.0,48.57,1.8,11.43,1.09,8.7,January,Winter,Christmas & New Year,231.72413793103448,Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-01 05:00:00,100.67,154.67,48.47,1.5,11.53,0.97,8.53,January,Winter,Christmas & New Year,234.01137931034484,Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-01 06:00:00,108.75,156.0,47.48,0.63,11.18,0.96,10.22,January,Winter,Christmas & New Year,261.5948275862069,Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-01 07:00:00,102.0,164.67,53.97,1.43,11.63,1.17,10.57,January,Winter,Christmas & New Year,238.55172413793105,Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-01 08:00:00,95.0,165.25,54.78,1.38,10.75,1.04,12.9,January,Winter,Christmas & New Year,214.6551724137931,Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-01 09:00:00,93.33,154.67,50.53,0.6,10.03,1.25,11.93,January,Winter,Christmas & New Year,208.95413793103447,Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-01 10:00:00,95.75,160.75,38.88,6.4,11.25,1.69,22.5,January,Winter,Christmas & New Year,217.2155172413793,Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-01 11:00:00,95.25,159.25,27.75,8.95,13.85,1.24,26.75,January,Winter,Christmas & New Year,215.50862068965517,Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-01 12:00:00,97.25,165.5,33.03,7.8,13.5,0.92,32.75,January,Winter,Christmas & New Year,222.33620689655172,Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-01 13:00:00,99.5,163.5,24.55,7.85,12.73,0.74,30.12,January,Winter,Christmas & New Year,230.01724137931035,Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-01 14:00:00,94.75,161.5,25.85,6.15,11.92,0.7,38.33,January,Winter,Christmas & New Year,213.80172413793105,Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-01 15:00:00,94.75,160.0,20.4,8.2,12.05,0.72,37.45,January,Winter,Christmas & New Year,213.80172413793105,Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-01 16:00:00,100.0,159.67,21.63,9.83,12.17,0.78,38.93,January,Winter,Christmas & New Year,231.72413793103448,Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-01 17:00:00,105.25,161.0,30.88,7.4,11.02,1.04,17.1,January,Winter,Christmas & New Year,249.64655172413794,Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-01 18:00:00,103.0,167.0,40.03,5.23,9.83,1.2,18.47,January,Winter,Christmas & New Year,241.9655172413793,Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-01 19:00:00,103.33,178.0,46.93,5.97,9.37,1.38,15.43,January,Winter,Christmas & New Year,243.09206896551723,Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-01 20:00:00,116.75,183.75,46.68,8.28,10.28,1.3,17.37,January,Winter,Christmas & New Year,288.9051724137931,Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-01 21:00:00,119.75,185.25,49.48,4.3,10.28,1.33,7.35,January,Winter,Christmas & New Year,299.1465517241379,Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-01 22:00:00,119.75,190.0,51.98,1.0,9.43,1.23,7.9,January,Winter,Christmas & New Year,299.1465517241379,Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-01 23:00:00,115.5,189.75,54.22,2.87,9.98,1.44,10.28,January,Winter,Christmas & New Year,284.6379310344828,Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-02 00:00:00,131.25,274.75,53.82,2.88,10.5,1.55,8.22,January,Winter,Christmas & New Year,308.8662790697674,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-02 01:00:00,150.75,433.0,54.78,2.65,10.05,1.52,10.6,January,Winter,Christmas & New Year,402.7470588235294,Severe,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-02 02:00:00,136.0,303.0,58.5,1.8,11.25,1.41,8.9,January,Winter,Christmas & New Year,312.51162790697674,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-02 03:00:00,129.33,270.0,62.47,2.03,10.73,1.24,24.75,January,Winter,Christmas & New Year,307.3927906976744,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-02 04:00:00,109.25,173.75,57.75,3.35,8.75,1.12,9.82,January,Winter,Christmas & New Year,263.30172413793105,Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-02 05:00:00,116.75,253.25,54.8,2.17,9.72,1.24,9.85,January,Winter,Christmas & New Year,288.9051724137931,Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-02 06:00:00,142.75,431.5,55.55,1.33,9.55,1.4,10.92,January,Winter,Christmas & New Year,401.8735294117647,Severe,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-02 07:00:00,131.67,229.67,65.17,0.85,8.67,1.24,10.93,January,Winter,Christmas & New Year,309.1886046511628,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-02 08:00:00,127.0,202.0,65.45,0.75,7.35,1.26,12.9,January,Winter,Christmas & New Year,305.6046511627907,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-02 09:00:00,123.0,204.75,56.18,0.7,7.6,1.38,12.48,January,Winter,Christmas & New Year,302.5348837209302,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-02 10:00:00,129.25,204.5,47.92,2.9,7.0,1.81,16.08,January,Winter,Christmas & New Year,307.3313953488372,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-02 11:00:00,128.33,206.67,39.0,5.3,14.9,1.27,43.33,January,Winter,Christmas & New Year,306.6253488372093,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-02 12:00:00,125.5,207.0,28.9,4.83,17.08,0.95,34.08,January,Winter,Christmas & New Year,304.45348837209303,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-02 13:00:00,127.67,206.33,24.47,6.4,16.7,0.83,35.17,January,Winter,Christmas & New Year,306.11883720930234,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-02 14:00:00,129.0,211.0,31.07,2.8,12.3,0.75,19.1,January,Winter,Christmas & New Year,307.13953488372096,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-02 15:00:00,124.25,192.25,28.45,5.28,16.52,0.77,27.9,January,Winter,Christmas & New Year,303.49418604651163,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-02 16:00:00,130.75,204.0,27.68,8.3,20.58,0.94,35.35,January,Winter,Christmas & New Year,308.4825581395349,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-02 17:00:00,139.5,220.5,36.25,7.02,19.8,1.16,19.82,January,Winter,Christmas & New Year,315.19767441860466,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-02 18:00:00,141.5,225.75,49.18,4.03,14.35,1.3,12.42,January,Winter,Christmas & New Year,316.7325581395349,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-02 19:00:00,145.0,228.33,54.77,1.3,11.3,1.36,16.45,January,Winter,Christmas & New Year,319.4186046511628,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-02 20:00:00,151.0,231.33,51.87,3.6,12.5,1.45,12.3,January,Winter,Christmas & New Year,324.0232558139535,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-02 21:00:00,156.25,238.75,50.28,1.5,11.42,1.38,13.1,January,Winter,Christmas & New Year,328.05232558139534,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-02 22:00:00,160.5,247.25,49.32,0.55,11.32,1.28,12.3,January,Winter,Christmas & New Year,331.3139534883721,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-02 23:00:00,161.33,243.67,45.43,0.67,10.87,1.19,12.13,January,Winter,Christmas & New Year,331.95093023255816,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-03 00:00:00,158.33,237.33,52.63,0.95,8.4,1.31,11.7,January,Winter,Christmas & New Year,329.6486046511628,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-03 01:00:00,155.0,242.0,48.47,0.65,9.13,1.25,11.33,January,Winter,Christmas & New Year,327.09302325581393,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-03 02:00:00,157.0,235.0,50.42,1.25,9.25,1.14,11.4,January,Winter,Christmas & New Year,328.62790697674416,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-03 03:00:00,153.33,228.67,47.77,0.7,8.57,1.11,12.3,January,Winter,Christmas & New Year,325.8113953488372,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-03 04:00:00,147.0,223.25,44.85,0.6,10.65,1.02,12.1,January,Winter,Christmas & New Year,320.95348837209303,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-03 05:00:00,151.25,225.75,47.9,0.4,10.0,0.99,12.12,January,Winter,Christmas & New Year,324.2151162790698,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-03 06:00:00,155.0,226.25,52.32,1.2,10.12,1.08,13.88,January,Winter,Christmas & New Year,327.09302325581393,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-03 07:00:00,155.25,238.0,57.92,1.27,9.55,1.14,13.2,January,Winter,Christmas & New Year,327.2848837209302,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-03 08:00:00,151.0,234.75,64.58,6.6,7.1,1.42,12.9,January,Winter,Christmas & New Year,324.0232558139535,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-03 09:00:00,136.0,234.0,61.17,7.37,7.5,1.54,15.3,January,Winter,Christmas & New Year,312.51162790697674,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-03 10:00:00,130.0,215.0,54.93,5.57,7.5,2.15,21.57,January,Winter,Christmas & New Year,307.90697674418607,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-03 11:00:00,137.75,206.0,51.7,7.4,8.35,1.48,21.2,January,Winter,Christmas & New Year,313.8546511627907,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-03 12:00:00,124.25,198.0,29.57,10.2,8.93,0.96,42.5,January,Winter,Christmas & New Year,303.49418604651163,Very Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-03 13:00:00,113.75,191.25,34.43,8.43,7.28,0.79,36.13,January,Winter,Christmas & New Year,278.66379310344826,Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-03 14:00:00,115.5,186.5,25.48,12.2,7.1,0.78,41.48,January,Winter,Christmas & New Year,284.6379310344828,Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
2024-01-03 15:00:00,115.25,181.75,26.18,12.48,7.72,0.78,31.82,January,Winter,Christmas & New Year,283.7844827586207,Poor,Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
