TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,207.38,263.78,6.88,14.72,29.86,2.37,12.19,January,Winter,Christmas & New Year,367.2916279069767,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-01 01:00:00,196.96,263.27,6.08,13.82,27.78,2.14,15.1,January,Winter,Christmas & New Year,359.2948837209302,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-01 02:00:00,188.44,260.52,6.37,14.33,27.34,2.03,8.43,January,Winter,Christmas & New Year,352.75627906976746,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-01 03:00:00,185.94,237.24,7.18,13.83,27.1,2.05,16.73,January,Winter,Christmas & New Year,350.83767441860465,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-01 04:00:00,147.5,207.98,6.0,13.04,25.49,1.81,7.49,January,Winter,Christmas & New Year,321.33720930232556,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-01 05:00:00,147.18,190.99,5.25,13.6,25.18,1.73,15.44,January,Winter,Christmas & New Year,321.0916279069767,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-01 06:00:00,150.34,176.33,5.56,14.3,25.13,1.62,6.85,January,Winter,Christmas & New Year,323.51674418604654,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-01 07:00:00,129.19,174.34,9.11,17.69,24.69,1.47,15.84,January,Winter,Christmas & New Year,307.2853488372093,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-01 08:00:00,124.94,169.51,9.33,15.36,24.09,1.38,12.27,January,Winter,Christmas & New Year,304.02372093023257,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-01 09:00:00,119.88,158.77,5.51,12.8,23.35,1.26,27.23,January,Winter,Christmas & New Year,299.5903448275862,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-01 10:00:00,126.99,139.71,4.33,12.75,23.52,0.98,25.89,January,Winter,Christmas & New Year,305.59697674418607,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-01 11:00:00,106.32,124.22,3.55,12.69,24.59,0.77,33.17,January,Winter,Christmas & New Year,253.29931034482757,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-01 12:00:00,83.95,105.72,3.47,12.89,26.52,0.61,32.74,January,Winter,Christmas & New Year,179.34655172413795,Moderate,Guwahati,Assam,26.1805978,91.753943
2024-01-01 13:00:00,72.98,103.06,3.57,12.89,25.13,0.54,36.92,January,Winter,Christmas & New Year,141.89724137931034,Moderate,Guwahati,Assam,26.1805978,91.753943
2024-01-01 14:00:00,63.01,89.06,3.26,12.45,23.72,0.41,37.58,January,Winter,Christmas & New Year,107.86172413793102,Moderate,Guwahati,Assam,26.1805978,91.753943
2024-01-01 15:00:00,44.61,78.56,4.06,12.82,23.57,0.38,30.05,January,Winter,Christmas & New Year,78.56,Satisfactory,Guwahati,Assam,26.1805978,91.753943
2024-01-01 16:00:00,46.44,79.9,6.02,13.55,23.88,0.62,29.32,January,Winter,Christmas & New Year,79.9,Satisfactory,Guwahati,Assam,26.1805978,91.753943
2024-01-01 17:00:00,62.98,119.21,15.0,19.13,26.56,1.01,10.74,January,Winter,Christmas & New Year,113.09926174496644,Moderate,Guwahati,Assam,26.1805978,91.753943
2024-01-01 18:00:00,88.82,197.5,13.6,20.82,29.38,1.38,16.72,January,Winter,Christmas & New Year,195.971724137931,Moderate,Guwahati,Assam,26.1805978,91.753943
2024-01-01 19:00:00,113.12,228.75,8.97,15.66,30.75,1.74,11.27,January,Winter,Christmas & New Year,276.51310344827584,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-01 20:00:00,121.31,245.15,11.8,17.43,28.93,1.55,18.0,January,Winter,Christmas & New Year,301.23790697674417,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-01 21:00:00,124.82,217.26,8.56,15.2,29.26,1.67,11.47,January,Winter,Christmas & New Year,303.93162790697676,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-01 22:00:00,126.0,204.43,9.95,15.79,27.71,1.5,17.74,January,Winter,Christmas & New Year,304.83720930232556,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-01 23:00:00,117.32,187.01,8.88,15.16,25.97,1.29,10.93,January,Winter,Christmas & New Year,290.85103448275856,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-02 00:00:00,111.09,166.95,8.9,16.19,24.72,1.15,15.82,January,Winter,Christmas & New Year,269.5831034482759,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-02 01:00:00,108.45,137.35,6.41,14.32,24.03,1.07,12.63,January,Winter,Christmas & New Year,260.57068965517243,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-02 02:00:00,110.2,143.11,4.85,13.46,24.02,1.01,15.6,January,Winter,Christmas & New Year,266.5448275862069,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-02 03:00:00,109.36,139.02,3.47,12.75,23.39,0.93,14.14,January,Winter,Christmas & New Year,263.6772413793103,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-02 04:00:00,96.75,126.87,4.79,13.3,23.1,0.86,12.3,January,Winter,Christmas & New Year,220.6293103448276,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-02 05:00:00,83.42,126.12,4.59,13.11,22.86,0.86,13.53,January,Winter,Christmas & New Year,177.53724137931033,Moderate,Guwahati,Assam,26.1805978,91.753943
2024-01-02 06:00:00,82.88,123.87,6.97,17.48,22.44,0.89,8.37,January,Winter,Christmas & New Year,175.69379310344826,Moderate,Guwahati,Assam,26.1805978,91.753943
2024-01-02 07:00:00,84.65,131.03,9.3,20.71,22.42,0.92,13.64,January,Winter,Christmas & New Year,181.73620689655172,Moderate,Guwahati,Assam,26.1805978,91.753943
2024-01-02 08:00:00,100.46,141.45,7.08,14.45,22.19,0.9,12.47,January,Winter,Christmas & New Year,233.29448275862066,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-02 09:00:00,126.57,171.2,5.62,13.11,22.38,0.89,23.78,January,Winter,Christmas & New Year,305.2746511627907,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-02 10:00:00,138.09,186.03,4.94,12.96,23.02,0.86,23.4,January,Winter,Christmas & New Year,314.11558139534884,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-02 11:00:00,131.26,184.37,5.12,13.34,23.0,0.8,38.48,January,Winter,Christmas & New Year,308.8739534883721,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-02 12:00:00,122.12,178.54,4.82,13.39,23.62,0.71,35.45,January,Winter,Christmas & New Year,301.8595348837209,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-02 13:00:00,105.26,153.81,4.0,12.87,24.15,0.55,41.73,January,Winter,Christmas & New Year,249.68068965517244,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-02 14:00:00,71.48,111.62,3.36,12.76,25.4,0.35,38.05,January,Winter,Christmas & New Year,136.77655172413796,Moderate,Guwahati,Assam,26.1805978,91.753943
2024-01-02 15:00:00,57.19,91.27,4.4,13.21,23.66,0.41,36.68,January,Winter,Christmas & New Year,95.25206896551724,Satisfactory,Guwahati,Assam,26.1805978,91.753943
2024-01-02 16:00:00,54.34,97.43,9.27,15.57,25.23,0.55,23.79,January,Winter,Christmas & New Year,97.43,Satisfactory,Guwahati,Assam,26.1805978,91.753943
2024-01-02 17:00:00,70.8,120.11,16.62,19.26,29.32,1.21,17.77,January,Winter,Christmas & New Year,134.4551724137931,Moderate,Guwahati,Assam,26.1805978,91.753943
2024-01-02 18:00:00,124.52,220.16,14.18,18.68,31.97,1.48,13.39,January,Winter,Christmas & New Year,303.7013953488372,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-02 19:00:00,159.7,262.87,18.22,21.31,31.96,1.77,11.41,January,Winter,Christmas & New Year,330.7,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-02 20:00:00,172.71,268.11,16.95,23.03,28.4,1.46,12.57,January,Winter,Christmas & New Year,340.68441860465117,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-02 21:00:00,155.12,235.0,14.25,18.79,29.27,1.7,9.07,January,Winter,Christmas & New Year,327.18511627906975,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-02 22:00:00,166.62,246.68,12.31,16.76,33.77,1.96,14.59,January,Winter,Christmas & New Year,336.0106976744186,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-02 23:00:00,179.08,261.31,10.93,15.55,28.42,1.77,10.6,January,Winter,Christmas & New Year,345.57302325581395,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-03 00:00:00,161.69,236.18,10.04,15.04,25.15,1.54,18.12,January,Winter,Christmas & New Year,332.2272093023256,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-03 01:00:00,148.12,213.31,8.12,14.02,23.43,1.25,11.5,January,Winter,Christmas & New Year,321.81302325581396,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-03 02:00:00,134.73,182.49,7.61,14.19,22.26,1.09,16.27,January,Winter,Christmas & New Year,311.53697674418606,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-03 03:00:00,100.74,178.98,6.32,13.5,21.76,1.06,7.02,January,Winter,Christmas & New Year,234.2503448275862,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-03 04:00:00,99.69,157.7,5.69,13.24,21.43,1.09,15.92,January,Winter,Christmas & New Year,230.6658620689655,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-03 05:00:00,94.77,161.06,8.53,17.78,22.06,0.87,9.79,January,Winter,Christmas & New Year,213.86999999999998,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-03 06:00:00,95.99,167.0,6.74,17.87,22.65,1.05,19.68,January,Winter,Christmas & New Year,218.0348275862069,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-03 07:00:00,94.06,202.42,8.22,17.72,24.03,1.12,9.22,January,Winter,Christmas & New Year,211.44620689655173,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-03 08:00:00,117.59,193.5,9.4,15.93,23.12,1.08,16.68,January,Winter,Christmas & New Year,291.7727586206897,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-03 09:00:00,127.71,191.41,7.33,13.74,23.19,1.06,22.28,January,Winter,Christmas & New Year,306.14953488372095,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-03 10:00:00,138.05,176.56,6.21,13.31,24.19,0.89,29.91,January,Winter,Christmas & New Year,314.08488372093024,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-03 11:00:00,134.77,189.37,4.7,13.22,24.73,0.78,36.59,January,Winter,Christmas & New Year,311.56767441860467,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-03 12:00:00,105.06,146.95,4.03,13.22,24.54,0.61,34.51,January,Winter,Christmas & New Year,248.99793103448278,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-03 13:00:00,73.05,108.38,2.73,12.65,23.8,0.46,36.49,January,Winter,Christmas & New Year,142.1362068965517,Moderate,Guwahati,Assam,26.1805978,91.753943
2024-01-03 14:00:00,47.48,71.26,2.48,12.38,23.16,0.37,29.47,January,Winter,Christmas & New Year,78.8455172413793,Satisfactory,Guwahati,Assam,26.1805978,91.753943
2024-01-03 15:00:00,36.96,59.86,3.5,12.72,23.05,0.38,35.56,January,Winter,Christmas & New Year,61.07034482758621,Satisfactory,Guwahati,Assam,26.1805978,91.753943
2024-01-03 16:00:00,46.4,81.12,6.14,13.63,23.4,0.51,19.39,January,Winter,Christmas & New Year,81.12,Satisfactory,Guwahati,Assam,26.1805978,91.753943
2024-01-03 17:00:00,61.38,115.77,17.95,21.63,25.09,0.91,17.54,January,Winter,Christmas & New Year,110.81362416107382,Moderate,Guwahati,Assam,26.1805978,91.753943
2024-01-03 18:00:00,77.34,146.56,17.52,27.12,28.16,1.44,14.0,January,Winter,Christmas & New Year,156.78137931034485,Moderate,Guwahati,Assam,26.1805978,91.753943
2024-01-03 19:00:00,120.41,211.56,19.65,20.97,33.7,1.87,14.39,January,Winter,Christmas & New Year,174.4593288590604,Moderate,Guwahati,Assam,26.1805978,91.753943
2024-01-03 20:00:00,151.26,249.0,17.75,20.34,28.91,1.66,11.24,January,Winter,Christmas & New Year,324.22279069767444,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-03 21:00:00,117.86,206.3,15.31,17.49,26.4,1.56,17.0,January,Winter,Christmas & New Year,292.69448275862067,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-03 22:00:00,138.88,207.92,9.65,15.33,26.48,1.59,9.6,January,Winter,Christmas & New Year,314.72186046511627,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-03 23:00:00,137.27,218.55,7.72,14.62,27.6,1.49,17.14,January,Winter,Christmas & New Year,313.4862790697675,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-04 00:00:00,124.62,204.12,8.24,16.13,26.23,1.41,7.67,January,Winter,Christmas & New Year,303.77813953488373,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-04 01:00:00,130.41,201.3,9.81,17.85,25.82,1.39,15.38,January,Winter,Christmas & New Year,308.2216279069767,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-04 02:00:00,119.37,215.56,7.0,14.59,25.22,1.29,8.43,January,Winter,Christmas & New Year,297.8493103448276,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-04 03:00:00,99.88,165.9,8.31,13.83,24.15,1.17,15.3,January,Winter,Christmas & New Year,231.31448275862067,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-04 04:00:00,103.23,177.72,5.98,13.77,23.14,1.0,8.23,January,Winter,Christmas & New Year,242.75068965517244,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-04 05:00:00,92.48,151.7,6.43,14.41,23.1,0.94,13.49,January,Winter,Christmas & New Year,206.05241379310345,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-04 06:00:00,91.4,148.83,8.15,16.0,23.51,1.0,10.29,January,Winter,Christmas & New Year,202.36551724137934,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-04 07:00:00,98.48,164.96,9.54,15.8,23.76,1.05,11.2,January,Winter,Christmas & New Year,226.5351724137931,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-04 08:00:00,104.61,168.26,8.93,14.78,22.5,1.01,16.75,January,Winter,Christmas & New Year,247.46172413793101,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-04 09:00:00,108.45,167.76,10.93,15.25,22.76,0.97,18.44,January,Winter,Christmas & New Year,260.57068965517243,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-04 10:00:00,113.12,182.31,6.55,13.05,22.48,0.87,29.84,January,Winter,Christmas & New Year,276.51310344827584,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-04 11:00:00,94.55,145.05,4.94,12.6,23.54,0.66,31.74,January,Winter,Christmas & New Year,213.11896551724138,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-04 12:00:00,75.92,126.54,4.39,12.94,23.97,0.49,42.91,January,Winter,Christmas & New Year,151.9337931034483,Moderate,Guwahati,Assam,26.1805978,91.753943
2024-01-04 13:00:00,53.74,91.99,3.81,12.94,22.93,0.46,34.02,January,Winter,Christmas & New Year,91.99,Satisfactory,Guwahati,Assam,26.1805978,91.753943
2024-01-04 14:00:00,50.64,98.0,3.47,12.78,23.76,0.37,41.64,January,Winter,Christmas & New Year,98.0,Satisfactory,Guwahati,Assam,26.1805978,91.753943
2024-01-04 15:00:00,42.03,68.55,3.81,13.26,24.57,0.32,30.25,January,Winter,Christmas & New Year,69.63689655172413,Satisfactory,Guwahati,Assam,26.1805978,91.753943
2024-01-04 16:00:00,36.35,78.05,8.62,15.25,25.03,0.47,28.17,January,Winter,Christmas & New Year,78.05,Satisfactory,Guwahati,Assam,26.1805978,91.753943
2024-01-04 17:00:00,50.83,113.14,23.28,24.3,27.83,1.11,16.27,January,Winter,Christmas & New Year,109.0661744966443,Moderate,Guwahati,Assam,26.1805978,91.753943
2024-01-04 18:00:00,69.2,146.64,17.4,20.95,30.38,1.46,11.3,January,Winter,Christmas & New Year,131.32456375838925,Moderate,Guwahati,Assam,26.1805978,91.753943
2024-01-04 19:00:00,140.25,243.74,19.39,19.6,33.42,1.93,12.02,January,Winter,Christmas & New Year,315.7732558139535,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-04 20:00:00,162.86,272.4,17.79,19.59,35.14,1.95,13.48,January,Winter,Christmas & New Year,333.1251162790698,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-04 21:00:00,140.04,249.36,11.88,16.28,32.56,1.91,11.33,January,Winter,Christmas & New Year,315.6120930232558,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-04 22:00:00,133.04,239.49,14.11,16.92,30.52,2.01,15.88,January,Winter,Christmas & New Year,310.24,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-04 23:00:00,138.75,260.88,11.88,15.83,28.49,1.77,7.48,January,Winter,Christmas & New Year,314.62209302325584,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-05 00:00:00,121.31,235.76,13.03,17.06,26.5,1.54,14.77,January,Winter,Christmas & New Year,301.23790697674417,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-05 01:00:00,119.45,255.21,10.17,18.07,25.76,1.53,9.08,January,Winter,Christmas & New Year,298.1224137931035,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-05 02:00:00,108.28,211.92,10.44,16.03,24.03,1.32,19.91,January,Winter,Christmas & New Year,259.9903448275862,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-05 03:00:00,94.9,185.58,9.23,15.64,23.19,1.19,8.37,January,Winter,Christmas & New Year,214.3137931034483,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-05 04:00:00,86.1,168.58,8.91,16.05,22.54,1.07,20.48,January,Winter,Christmas & New Year,186.6862068965517,Moderate,Guwahati,Assam,26.1805978,91.753943
2024-01-05 05:00:00,77.85,140.92,9.31,17.57,21.92,0.97,8.86,January,Winter,Christmas & New Year,158.52241379310342,Moderate,Guwahati,Assam,26.1805978,91.753943
2024-01-05 06:00:00,73.26,144.13,9.43,19.42,22.21,0.95,15.18,January,Winter,Christmas & New Year,142.85310344827587,Moderate,Guwahati,Assam,26.1805978,91.753943
2024-01-05 07:00:00,82.07,166.28,13.94,18.19,23.49,0.99,10.09,January,Winter,Christmas & New Year,172.92862068965513,Moderate,Guwahati,Assam,26.1805978,91.753943
2024-01-05 08:00:00,90.57,193.98,13.38,19.8,25.24,0.99,13.64,January,Winter,Christmas & New Year,162.7786577181208,Moderate,Guwahati,Assam,26.1805978,91.753943
2024-01-05 09:00:00,107.85,188.07,10.99,16.41,28.84,0.92,20.87,January,Winter,Christmas & New Year,258.5224137931034,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-05 10:00:00,106.05,160.3,7.1,14.02,28.24,0.66,29.16,January,Winter,Christmas & New Year,252.37758620689652,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-05 11:00:00,76.04,112.46,4.32,12.96,24.11,0.46,35.94,January,Winter,Christmas & New Year,152.3434482758621,Moderate,Guwahati,Assam,26.1805978,91.753943
2024-01-05 12:00:00,57.28,83.9,3.82,12.76,23.69,0.39,36.75,January,Winter,Christmas & New Year,95.40413793103448,Satisfactory,Guwahati,Assam,26.1805978,91.753943
2024-01-05 13:00:00,51.61,77.51,3.09,12.69,24.08,0.33,40.8,January,Winter,Christmas & New Year,85.82379310344828,Satisfactory,Guwahati,Assam,26.1805978,91.753943
2024-01-05 14:00:00,41.99,72.98,2.56,12.37,23.9,0.31,29.55,January,Winter,Christmas & New Year,72.98,Satisfactory,Guwahati,Assam,26.1805978,91.753943
2024-01-05 15:00:00,39.56,60.88,3.28,12.88,23.74,0.33,37.28,January,Winter,Christmas & New Year,65.46344827586208,Satisfactory,Guwahati,Assam,26.1805978,91.753943
2024-01-05 16:00:00,39.08,70.02,6.14,14.2,23.8,0.42,21.28,January,Winter,Christmas & New Year,70.02,Satisfactory,Guwahati,Assam,26.1805978,91.753943
2024-01-05 17:00:00,44.38,84.58,16.89,21.94,26.55,0.91,21.81,January,Winter,Christmas & New Year,84.58,Satisfactory,Guwahati,Assam,26.1805978,91.753943
2024-01-05 18:00:00,82.68,132.3,17.05,22.62,31.17,1.57,7.02,January,Winter,Christmas & New Year,175.01103448275865,Moderate,Guwahati,Assam,26.1805978,91.753943
2024-01-05 19:00:00,143.47,238.32,12.96,22.04,31.87,1.78,14.2,January,Winter,Christmas & New Year,318.2444186046512,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-05 20:00:00,137.1,210.79,10.64,17.85,29.74,1.72,10.88,January,Winter,Christmas & New Year,313.3558139534884,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-05 21:00:00,117.55,184.33,10.02,16.28,27.2,1.55,12.14,January,Winter,Christmas & New Year,291.6362068965517,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-05 22:00:00,119.1,172.68,10.42,16.06,26.64,1.56,11.23,January,Winter,Christmas & New Year,296.92758620689654,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-05 23:00:00,140.72,205.1,8.97,15.71,26.86,1.54,14.8,January,Winter,Christmas & New Year,316.1339534883721,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-06 00:00:00,124.67,188.04,8.7,16.01,24.94,1.42,16.89,January,Winter,Christmas & New Year,303.816511627907,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-06 01:00:00,119.18,181.26,7.96,17.38,25.12,1.4,11.83,January,Winter,Christmas & New Year,297.2006896551724,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-06 02:00:00,115.93,179.68,8.1,14.37,24.62,1.28,13.18,January,Winter,Christmas & New Year,286.1058620689655,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-06 03:00:00,105.95,171.49,6.82,14.34,23.64,1.09,8.59,January,Winter,Christmas & New Year,252.03620689655173,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-06 04:00:00,97.17,145.05,6.07,14.09,22.0,0.93,19.31,January,Winter,Christmas & New Year,222.06310344827585,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-06 05:00:00,81.66,121.41,5.83,14.47,21.9,0.87,7.31,January,Winter,Christmas & New Year,171.52896551724137,Moderate,Guwahati,Assam,26.1805978,91.753943
2024-01-06 06:00:00,75.56,112.87,5.9,15.58,21.76,0.83,16.77,January,Winter,Christmas & New Year,150.7048275862069,Moderate,Guwahati,Assam,26.1805978,91.753943
2024-01-06 07:00:00,81.22,143.73,7.86,16.6,22.24,0.82,7.5,January,Winter,Christmas & New Year,170.02689655172412,Moderate,Guwahati,Assam,26.1805978,91.753943
2024-01-06 08:00:00,101.43,145.86,10.65,17.68,22.6,0.82,18.46,January,Winter,Christmas & New Year,236.60586206896554,Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-06 09:00:00,133.96,188.63,8.46,14.71,25.87,0.76,28.88,January,Winter,Christmas & New Year,310.9460465116279,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-06 10:00:00,121.13,146.73,6.52,13.81,27.72,0.65,29.58,January,Winter,Christmas & New Year,301.0997674418605,Very Poor,Guwahati,Assam,26.1805978,91.753943
2024-01-06 11:00:00,90.61,145.05,4.44,12.73,26.18,0.6,36.24,January,Winter,Christmas & New Year,130.26812080536914,Moderate,Guwahati,Assam,26.1805978,91.753943
2024-01-06 12:00:00,73.5,115.71,3.83,12.64,23.29,0.52,36.79,January,Winter,Christmas & New Year,143.67241379310343,Moderate,Guwahati,Assam,26.1805978,91.753943
2024-01-06 13:00:00,59.74,95.7,2.67,12.32,22.62,0.35,34.08,January,Winter,Christmas & New Year,99.56068965517241,Satisfactory,Guwahati,Assam,26.1805978,91.753943
2024-01-06 14:00:00,36.58,59.62,2.9,12.53,22.77,0.31,37.31,January,Winter,Christmas & New Year,60.428275862068965,Satisfactory,Guwahati,Assam,26.1805978,91.753943
2024-01-06 15:00:00,34.52,64.52,4.52,13.45,23.93,0.31,27.8,January,Winter,Christmas & New Year,64.52,Satisfactory,Guwahati,Assam,26.1805978,91.753943
