TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,156.75,182.5,42.4,37.95,8.3,0.94,17.75,January,Winter,Christmas & New Year,328.4360465116279,Very Poor,Nalbari,Assam,26.3533631,91.3983662
2024-01-01 01:00:00,141.5,169.75,41.65,38.1,6.58,1.0,17.73,January,Winter,Christmas & New Year,316.7325581395349,Very Poor,Nalbari,Assam,26.3533631,91.3983662
2024-01-01 02:00:00,164.75,193.5,42.25,38.6,5.35,1.12,17.7,January,Winter,Christmas & New Year,334.5755813953488,Very Poor,Nalbari,Assam,26.3533631,91.3983662
2024-01-01 03:00:00,201.75,230.0,42.62,39.17,4.82,1.04,17.62,January,Winter,Christmas & New Year,362.97093023255815,Very Poor,Nalbari,Assam,26.3533631,91.3983662
2024-01-01 04:00:00,195.75,226.5,46.48,42.28,6.15,0.85,17.6,January,Winter,Christmas & New Year,358.3662790697674,Very Poor,Nalbari,Assam,26.3533631,91.3983662
2024-01-01 05:00:00,186.25,220.75,46.75,39.6,8.3,0.88,17.6,January,Winter,Christmas & New Year,351.0755813953488,Very Poor,Nalbari,Assam,26.3533631,91.3983662
2024-01-01 06:00:00,156.25,183.75,44.63,38.6,9.23,1.11,17.68,January,Winter,Christmas & New Year,328.05232558139534,Very Poor,Nalbari,Assam,26.3533631,91.3983662
2024-01-01 07:00:00,131.0,159.75,42.4,38.8,11.8,1.12,17.77,January,Winter,Christmas & New Year,308.6744186046512,Very Poor,Nalbari,Assam,26.3533631,91.3983662
2024-01-01 08:00:00,159.75,207.75,41.12,39.98,15.3,1.1,18.5,January,Winter,Christmas & New Year,330.73837209302326,Very Poor,Nalbari,Assam,26.3533631,91.3983662
2024-01-01 09:00:00,183.0,208.75,39.67,39.35,16.15,0.84,18.95,January,Winter,Christmas & New Year,348.5813953488372,Very Poor,Nalbari,Assam,26.3533631,91.3983662
2024-01-01 10:00:00,161.75,174.75,36.67,37.17,14.32,0.88,19.73,January,Winter,Christmas & New Year,332.2732558139535,Very Poor,Nalbari,Assam,26.3533631,91.3983662
2024-01-01 11:00:00,95.5,116.5,35.2,35.92,13.28,0.94,20.18,January,Winter,Christmas & New Year,216.36206896551724,Poor,Nalbari,Assam,26.3533631,91.3983662
2024-01-01 12:00:00,75.0,99.75,35.8,35.15,11.28,0.79,20.58,January,Winter,Christmas & New Year,148.79310344827587,Moderate,Nalbari,Assam,26.3533631,91.3983662
2024-01-01 13:00:00,58.0,83.0,36.6,34.72,10.02,0.69,20.9,January,Winter,Christmas & New Year,96.62068965517241,Satisfactory,Nalbari,Assam,26.3533631,91.3983662
2024-01-01 14:00:00,51.0,79.5,39.28,35.02,9.25,0.61,21.0,January,Winter,Christmas & New Year,84.79310344827587,Satisfactory,Nalbari,Assam,26.3533631,91.3983662
2024-01-01 15:00:00,53.75,82.0,38.38,35.4,8.4,0.61,20.88,January,Winter,Christmas & New Year,89.4396551724138,Satisfactory,Nalbari,Assam,26.3533631,91.3983662
2024-01-01 16:00:00,64.5,119.0,40.4,36.1,7.68,1.31,19.02,January,Winter,Christmas & New Year,112.95973154362416,Moderate,Nalbari,Assam,26.3533631,91.3983662
2024-01-01 17:00:00,88.5,207.5,43.68,38.9,8.48,1.46,18.35,January,Winter,Christmas & New Year,194.8793103448276,Moderate,Nalbari,Assam,26.3533631,91.3983662
2024-01-01 18:00:00,141.0,237.5,44.0,40.48,8.02,1.69,18.08,January,Winter,Christmas & New Year,316.3488372093023,Very Poor,Nalbari,Assam,26.3533631,91.3983662
2024-01-01 19:00:00,210.5,323.5,45.28,44.2,8.62,2.31,17.77,January,Winter,Christmas & New Year,369.6860465116279,Very Poor,Nalbari,Assam,26.3533631,91.3983662
2024-01-01 20:00:00,310.0,443.75,47.8,45.25,8.07,2.3,17.82,January,Winter,Christmas & New Year,411.8,Severe,Nalbari,Assam,26.3533631,91.3983662
2024-01-01 21:00:00,289.75,386.5,50.52,48.25,7.78,2.22,17.73,January,Winter,Christmas & New Year,408.155,Severe,Nalbari,Assam,26.3533631,91.3983662
2024-01-01 22:00:00,316.0,375.0,50.85,45.0,7.62,2.12,17.73,January,Winter,Christmas & New Year,412.88,Severe,Nalbari,Assam,26.3533631,91.3983662
2024-01-01 23:00:00,283.0,347.5,47.55,42.32,6.98,1.74,17.73,January,Winter,Christmas & New Year,406.94,Severe,Nalbari,Assam,26.3533631,91.3983662
2024-01-02 00:00:00,237.25,272.5,46.58,42.95,4.72,1.36,17.68,January,Winter,Christmas & New Year,390.2151162790698,Very Poor,Nalbari,Assam,26.3533631,91.3983662
2024-01-02 01:00:00,216.25,268.5,45.08,41.3,3.48,1.08,17.95,January,Winter,Christmas & New Year,374.09883720930236,Very Poor,Nalbari,Assam,26.3533631,91.3983662
2024-01-02 02:00:00,169.0,246.5,42.35,41.0,2.7,0.94,17.95,January,Winter,Christmas & New Year,337.83720930232556,Very Poor,Nalbari,Assam,26.3533631,91.3983662
2024-01-02 03:00:00,140.5,198.5,40.92,40.98,2.5,0.89,17.75,January,Winter,Christmas & New Year,315.9651162790698,Very Poor,Nalbari,Assam,26.3533631,91.3983662
2024-01-02 04:00:00,139.5,196.0,40.02,40.12,2.35,0.86,17.77,January,Winter,Christmas & New Year,315.19767441860466,Very Poor,Nalbari,Assam,26.3533631,91.3983662
2024-01-02 05:00:00,114.0,159.33,38.53,38.83,2.2,0.72,18.07,January,Winter,Christmas & New Year,279.51724137931035,Poor,Nalbari,Assam,26.3533631,91.3983662
2024-01-02 06:00:00,77.75,118.5,38.07,39.23,2.37,0.73,17.9,January,Winter,Christmas & New Year,158.1810344827586,Moderate,Nalbari,Assam,26.3533631,91.3983662
2024-01-02 07:00:00,88.75,139.5,38.8,39.35,2.15,0.86,17.83,January,Winter,Christmas & New Year,195.73275862068965,Moderate,Nalbari,Assam,26.3533631,91.3983662
2024-01-02 08:00:00,102.5,154.25,40.85,41.08,2.08,0.94,18.25,January,Winter,Christmas & New Year,240.25862068965517,Poor,Nalbari,Assam,26.3533631,91.3983662
2024-01-02 09:00:00,149.0,205.75,42.2,42.62,3.82,0.96,18.48,January,Winter,Christmas & New Year,322.48837209302326,Very Poor,Nalbari,Assam,26.3533631,91.3983662
2024-01-02 10:00:00,208.0,260.5,40.72,41.38,6.42,0.72,19.55,January,Winter,Christmas & New Year,367.7674418604651,Very Poor,Nalbari,Assam,26.3533631,91.3983662
2024-01-02 11:00:00,164.25,209.0,37.85,38.7,7.4,1.16,20.35,January,Winter,Christmas & New Year,334.1918604651163,Very Poor,Nalbari,Assam,26.3533631,91.3983662
2024-01-02 12:00:00,112.25,135.25,36.0,36.55,6.4,0.96,20.6,January,Winter,Christmas & New Year,273.5431034482759,Poor,Nalbari,Assam,26.3533631,91.3983662
2024-01-02 13:00:00,63.5,101.5,35.22,35.6,5.03,0.84,20.82,January,Winter,Christmas & New Year,109.5344827586207,Moderate,Nalbari,Assam,26.3533631,91.3983662
2024-01-02 14:00:00,54.5,92.75,35.8,35.2,4.58,0.77,20.92,January,Winter,Christmas & New Year,92.75,Satisfactory,Nalbari,Assam,26.3533631,91.3983662
2024-01-02 15:00:00,52.5,91.0,35.98,35.3,5.03,0.77,20.7,January,Winter,Christmas & New Year,91.0,Satisfactory,Nalbari,Assam,26.3533631,91.3983662
2024-01-02 16:00:00,64.5,125.25,38.7,37.75,4.82,1.5,18.95,January,Winter,Christmas & New Year,117.11241610738256,Moderate,Nalbari,Assam,26.3533631,91.3983662
2024-01-02 17:00:00,140.5,290.25,45.08,43.55,5.3,2.04,18.3,January,Winter,Christmas & New Year,315.9651162790698,Very Poor,Nalbari,Assam,26.3533631,91.3983662
2024-01-02 18:00:00,222.5,391.25,46.55,40.25,6.58,1.37,19.12,January,Winter,Christmas & New Year,378.8953488372093,Very Poor,Nalbari,Assam,26.3533631,91.3983662
2024-01-02 19:00:00,177.25,241.25,44.62,42.52,14.5,2.19,18.27,January,Winter,Christmas & New Year,344.1686046511628,Very Poor,Nalbari,Assam,26.3533631,91.3983662
2024-01-02 20:00:00,267.75,372.5,46.6,46.88,10.58,3.15,17.77,January,Winter,Christmas & New Year,404.195,Severe,Nalbari,Assam,26.3533631,91.3983662
2024-01-02 21:00:00,399.0,548.75,50.1,54.22,9.07,3.69,17.8,January,Winter,Christmas & New Year,470.15441176470586,Severe,Nalbari,Assam,26.3533631,91.3983662
2024-01-02 22:00:00,474.25,665.0,53.05,47.15,8.25,2.82,17.75,January,Winter,Christmas & New Year,441.365,Severe,Nalbari,Assam,26.3533631,91.3983662
2024-01-02 23:00:00,315.5,452.0,52.68,43.92,7.98,1.91,17.8,January,Winter,Christmas & New Year,413.81176470588235,Severe,Nalbari,Assam,26.3533631,91.3983662
