TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,68.5,124.67,5.55,24.33,13.8,0.92,12.65,January,Winter,Christmas & New Year,126.60344827586206,Moderate,Araria,Bihar,26.1346459,87.4654062
2024-01-01 01:00:00,61.25,132.0,5.5,24.22,14.0,0.92,14.25,January,Winter,Christmas & New Year,121.59731543624162,Moderate,Araria,Bihar,26.1346459,87.4654062
2024-01-01 02:00:00,58.0,116.33,5.88,24.18,14.0,0.91,12.62,January,Winter,Christmas & New Year,111.18570469798658,Moderate,Araria,Bihar,26.1346459,87.4654062
2024-01-01 03:00:00,53.25,122.5,5.85,23.95,13.92,0.86,13.45,January,Winter,Christmas & New Year,115.28523489932886,Moderate,Araria,Bihar,26.1346459,87.4654062
2024-01-01 04:00:00,49.5,108.0,5.65,23.65,13.88,0.84,14.3,January,Winter,Christmas & New Year,105.6510067114094,Moderate,Araria,Bihar,26.1346459,87.4654062
2024-01-01 05:00:00,47.75,103.75,5.78,23.72,13.8,0.78,14.35,January,Winter,Christmas & New Year,102.82718120805369,Moderate,Araria,Bihar,26.1346459,87.4654062
2024-01-01 06:00:00,45.5,109.25,5.38,23.62,13.72,0.75,13.12,January,Winter,Christmas & New Year,106.48154362416108,Moderate,Araria,Bihar,26.1346459,87.4654062
2024-01-01 07:00:00,47.0,96.0,5.25,23.98,13.7,0.81,13.05,January,Winter,Christmas & New Year,96.0,Satisfactory,Araria,Bihar,26.1346459,87.4654062
2024-01-01 08:00:00,55.5,116.25,5.67,23.97,13.63,0.8,14.25,January,Winter,Christmas & New Year,111.13255033557047,Moderate,Araria,Bihar,26.1346459,87.4654062
2024-01-01 09:00:00,65.25,158.75,5.3,24.3,13.55,0.82,12.5,January,Winter,Christmas & New Year,139.3708053691275,Moderate,Araria,Bihar,26.1346459,87.4654062
2024-01-01 10:00:00,56.0,130.33,5.0,24.8,13.3,1.31,13.1,January,Winter,Christmas & New Year,120.48771812080538,Moderate,Araria,Bihar,26.1346459,87.4654062
2024-01-01 11:00:00,92.0,196.0,5.6,24.45,12.65,1.29,14.42,January,Winter,Christmas & New Year,204.41379310344828,Poor,Araria,Bihar,26.1346459,87.4654062
2024-01-01 12:00:00,92.0,191.67,5.33,24.2,12.03,1.15,14.57,January,Winter,Christmas & New Year,204.41379310344828,Poor,Araria,Bihar,26.1346459,87.4654062
2024-01-01 13:00:00,56.0,130.33,5.62,24.1,12.38,0.55,5.3,January,Winter,Christmas & New Year,120.48771812080538,Moderate,Araria,Bihar,26.1346459,87.4654062
2024-01-01 14:00:00,56.0,130.33,4.6,23.9,12.38,1.21,15.65,January,Winter,Christmas & New Year,120.48771812080538,Moderate,Araria,Bihar,26.1346459,87.4654062
2024-01-01 15:00:00,56.0,130.33,5.52,23.95,12.75,1.31,20.48,January,Winter,Christmas & New Year,120.48771812080538,Moderate,Araria,Bihar,26.1346459,87.4654062
2024-01-01 16:00:00,101.0,224.0,5.68,24.65,11.95,1.27,15.78,January,Winter,Christmas & New Year,235.13793103448276,Poor,Araria,Bihar,26.1346459,87.4654062
2024-01-01 17:00:00,109.25,238.5,5.6,25.12,11.38,1.47,12.6,January,Winter,Christmas & New Year,263.30172413793105,Poor,Araria,Bihar,26.1346459,87.4654062
2024-01-01 18:00:00,138.25,305.0,5.6,25.92,10.95,1.92,12.18,January,Winter,Christmas & New Year,314.23837209302326,Very Poor,Araria,Bihar,26.1346459,87.4654062
2024-01-01 19:00:00,164.75,354.5,6.48,26.2,10.7,1.96,11.95,January,Winter,Christmas & New Year,334.5755813953488,Very Poor,Araria,Bihar,26.1346459,87.4654062
2024-01-01 20:00:00,167.0,349.75,5.9,25.62,10.38,1.76,11.52,January,Winter,Christmas & New Year,336.30232558139534,Very Poor,Araria,Bihar,26.1346459,87.4654062
2024-01-01 21:00:00,145.25,307.75,5.68,25.0,10.07,1.42,12.8,January,Winter,Christmas & New Year,319.61046511627904,Very Poor,Araria,Bihar,26.1346459,87.4654062
2024-01-01 22:00:00,119.5,259.0,5.52,24.52,9.93,1.24,12.92,January,Winter,Christmas & New Year,298.2931034482759,Poor,Araria,Bihar,26.1346459,87.4654062
2024-01-01 23:00:00,115.5,209.5,5.7,24.9,10.03,1.14,11.35,January,Winter,Christmas & New Year,284.6379310344828,Poor,Araria,Bihar,26.1346459,87.4654062
2024-01-02 00:00:00,112.75,206.0,5.3,24.58,14.0,0.99,12.95,January,Winter,Christmas & New Year,275.25,Poor,Araria,Bihar,26.1346459,87.4654062
2024-01-02 01:00:00,106.25,251.0,5.62,25.28,13.92,0.94,12.62,January,Winter,Christmas & New Year,253.06034482758622,Poor,Araria,Bihar,26.1346459,87.4654062
2024-01-02 02:00:00,99.0,232.5,5.15,24.55,13.75,0.86,12.62,January,Winter,Christmas & New Year,228.31034482758622,Poor,Araria,Bihar,26.1346459,87.4654062
2024-01-02 03:00:00,88.75,186.0,5.3,23.78,13.68,0.8,14.78,January,Winter,Christmas & New Year,195.73275862068965,Moderate,Araria,Bihar,26.1346459,87.4654062
