TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,32.55,105.72,9.43,58.79,5.4,0.92,29.9,January,Winter,Christmas & New Year,104.13610738255034,Moderate,Hajipur,Bihar,25.6905702,85.2090351
2024-01-01 01:00:00,32.38,99.7,9.45,58.24,5.34,0.95,22.54,January,Winter,Christmas & New Year,99.7,Satisfactory,Hajipur,Bihar,25.6905702,85.2090351
2024-01-01 02:00:00,26.72,98.07,10.21,56.71,5.35,0.95,21.51,January,Winter,Christmas & New Year,98.07,Satisfactory,Hajipur,Bihar,25.6905702,85.2090351
2024-01-01 03:00:00,25.9,98.18,9.83,55.98,5.14,0.92,26.22,January,Winter,Christmas & New Year,98.18,Satisfactory,Hajipur,Bihar,25.6905702,85.2090351
2024-01-01 04:00:00,29.05,91.25,9.24,55.03,5.27,0.98,17.23,January,Winter,Christmas & New Year,91.25,Satisfactory,Hajipur,Bihar,25.6905702,85.2090351
2024-01-01 05:00:00,28.32,86.78,9.43,55.12,5.08,0.97,14.2,January,Winter,Christmas & New Year,86.78,Satisfactory,Hajipur,Bihar,25.6905702,85.2090351
2024-01-01 06:00:00,25.38,71.82,9.67,55.79,5.48,0.96,11.5,January,Winter,Christmas & New Year,71.82,Satisfactory,Hajipur,Bihar,25.6905702,85.2090351
2024-01-01 07:00:00,26.85,65.1,8.83,55.22,5.34,0.94,13.23,January,Winter,Christmas & New Year,65.1,Satisfactory,Hajipur,Bihar,25.6905702,85.2090351
2024-01-01 08:00:00,29.62,65.78,9.26,54.57,5.27,0.91,10.65,January,Winter,Christmas & New Year,65.78,Satisfactory,Hajipur,Bihar,25.6905702,85.2090351
2024-01-01 09:00:00,35.38,69.05,9.75,54.36,5.1,0.93,18.87,January,Winter,Christmas & New Year,69.05,Satisfactory,Hajipur,Bihar,25.6905702,85.2090351
2024-01-01 10:00:00,33.42,64.62,9.43,53.97,4.98,0.98,20.84,January,Winter,Christmas & New Year,64.62,Satisfactory,Hajipur,Bihar,25.6905702,85.2090351
2024-01-01 11:00:00,38.48,63.4,9.61,53.5,4.96,0.97,18.24,January,Winter,Christmas & New Year,63.63862068965517,Satisfactory,Hajipur,Bihar,25.6905702,85.2090351
2024-01-01 12:00:00,36.2,58.08,9.84,53.82,5.5,0.98,12.33,January,Winter,Christmas & New Year,59.78620689655173,Satisfactory,Hajipur,Bihar,25.6905702,85.2090351
