TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,55.25,110.25,15.72,13.68,36.4,0.34,12.75,January,Winter,Christmas & New Year,107.14597315436242,Moderate,Munger,Bihar,25.2202864,86.5161484
2024-01-01 01:00:00,55.25,102.75,6.7,9.75,20.32,0.88,9.32,January,Winter,Christmas & New Year,102.16275167785236,Moderate,Munger,Bihar,25.2202864,86.5161484
2024-01-01 02:00:00,55.25,102.75,6.7,9.75,20.32,0.88,9.32,January,Winter,Christmas & New Year,102.16275167785236,Moderate,Munger,Bihar,25.2202864,86.5161484
2024-01-01 03:00:00,55.25,102.75,6.7,9.75,20.32,0.88,9.32,January,Winter,Christmas & New Year,102.16275167785236,Moderate,Munger,Bihar,25.2202864,86.5161484
2024-01-01 04:00:00,55.25,102.75,6.7,9.75,20.32,0.88,9.32,January,Winter,Christmas & New Year,102.16275167785236,Moderate,Munger,Bihar,25.2202864,86.5161484
2024-01-01 05:00:00,55.25,102.75,6.7,9.75,20.32,0.88,9.32,January,Winter,Christmas & New Year,102.16275167785236,Moderate,Munger,Bihar,25.2202864,86.5161484
2024-01-01 06:00:00,55.25,102.75,6.7,9.75,20.32,0.88,9.32,January,Winter,Christmas & New Year,102.16275167785236,Moderate,Munger,Bihar,25.2202864,86.5161484
2024-01-01 07:00:00,55.25,102.75,6.7,9.75,20.32,0.88,9.32,January,Winter,Christmas & New Year,102.16275167785236,Moderate,Munger,Bihar,25.2202864,86.5161484
2024-01-01 08:00:00,70.5,140.75,15.93,13.0,36.63,0.46,10.82,January,Winter,Christmas & New Year,133.4310344827586,Moderate,Munger,Bihar,25.2202864,86.5161484
2024-01-01 09:00:00,89.0,178.5,15.8,13.55,35.5,0.45,12.75,January,Winter,Christmas & New Year,196.58620689655172,Moderate,Munger,Bihar,25.2202864,86.5161484
2024-01-01 10:00:00,94.0,188.0,15.95,13.6,33.62,0.41,12.48,January,Winter,Christmas & New Year,211.24137931034483,Poor,Munger,Bihar,25.2202864,86.5161484
2024-01-01 11:00:00,100.75,201.0,15.85,14.38,30.78,0.36,16.1,January,Winter,Christmas & New Year,234.2844827586207,Poor,Munger,Bihar,25.2202864,86.5161484
2024-01-01 12:00:00,99.75,200.0,15.68,12.55,33.5,0.34,20.8,January,Winter,Christmas & New Year,230.8706896551724,Poor,Munger,Bihar,25.2202864,86.5161484
2024-01-01 13:00:00,99.25,199.25,15.6,12.08,38.55,0.39,22.2,January,Winter,Christmas & New Year,229.16379310344828,Poor,Munger,Bihar,25.2202864,86.5161484
2024-01-01 14:00:00,103.0,206.25,15.72,13.2,38.85,0.39,20.27,January,Winter,Christmas & New Year,241.9655172413793,Poor,Munger,Bihar,25.2202864,86.5161484
2024-01-01 15:00:00,103.0,207.0,16.0,12.75,35.7,0.36,17.0,January,Winter,Christmas & New Year,241.9655172413793,Poor,Munger,Bihar,25.2202864,86.5161484
2024-01-01 16:00:00,55.25,102.75,15.82,12.9,32.8,0.42,17.23,January,Winter,Christmas & New Year,102.16275167785236,Moderate,Munger,Bihar,25.2202864,86.5161484
2024-01-01 17:00:00,55.25,102.75,15.95,13.0,33.6,0.62,18.8,January,Winter,Christmas & New Year,102.16275167785236,Moderate,Munger,Bihar,25.2202864,86.5161484
2024-01-01 18:00:00,55.25,102.75,15.82,13.28,34.78,0.79,6.08,January,Winter,Christmas & New Year,102.16275167785236,Moderate,Munger,Bihar,25.2202864,86.5161484
2024-01-01 19:00:00,134.75,269.5,16.27,14.1,33.4,0.77,10.25,January,Winter,Christmas & New Year,311.55232558139534,Very Poor,Munger,Bihar,25.2202864,86.5161484
2024-01-01 20:00:00,121.25,242.0,16.38,13.62,32.22,0.8,13.35,January,Winter,Christmas & New Year,301.1918604651163,Very Poor,Munger,Bihar,25.2202864,86.5161484
2024-01-01 21:00:00,100.25,200.0,15.85,11.45,39.08,0.87,13.52,January,Winter,Christmas & New Year,232.57758620689654,Poor,Munger,Bihar,25.2202864,86.5161484
2024-01-01 22:00:00,97.25,193.75,15.78,13.08,39.2,0.87,11.75,January,Winter,Christmas & New Year,222.33620689655172,Poor,Munger,Bihar,25.2202864,86.5161484
2024-01-01 23:00:00,79.25,158.5,16.02,13.58,38.8,0.8,11.08,January,Winter,Christmas & New Year,163.30172413793105,Moderate,Munger,Bihar,25.2202864,86.5161484
2024-01-02 00:00:00,67.5,135.5,15.65,13.02,35.67,0.36,10.9,January,Winter,Christmas & New Year,123.92281879194631,Moderate,Munger,Bihar,25.2202864,86.5161484
