TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,60.0,103.75,35.42,14.9,15.9,1.18,2.72,January,Winter,Christmas & New Year,102.82718120805369,Moderate,Purnia,Bihar,25.7758723,87.4087667
2024-01-01 01:00:00,56.75,98.0,36.15,13.82,15.45,1.12,3.18,January,Winter,Christmas & New Year,98.0,Satisfactory,Purnia,Bihar,25.7758723,87.4087667
2024-01-01 02:00:00,55.25,94.0,36.28,13.28,15.88,1.08,2.72,January,Winter,Christmas & New Year,94.0,Satisfactory,Purnia,Bihar,25.7758723,87.4087667
2024-01-01 03:00:00,53.25,92.75,38.08,13.42,14.77,1.05,3.02,January,Winter,Christmas & New Year,92.75,Satisfactory,Purnia,Bihar,25.7758723,87.4087667
2024-01-01 04:00:00,54.0,88.75,37.05,14.0,14.75,1.03,2.7,January,Winter,Christmas & New Year,89.86206896551724,Satisfactory,Purnia,Bihar,25.7758723,87.4087667
2024-01-01 05:00:00,49.0,91.5,35.4,14.25,15.58,1.03,2.25,January,Winter,Christmas & New Year,91.5,Satisfactory,Purnia,Bihar,25.7758723,87.4087667
2024-01-01 06:00:00,45.75,94.75,36.67,14.48,14.9,1.0,1.95,January,Winter,Christmas & New Year,94.75,Satisfactory,Purnia,Bihar,25.7758723,87.4087667
2024-01-01 07:00:00,56.0,102.25,37.85,15.35,14.65,0.97,1.7,January,Winter,Christmas & New Year,101.83053691275168,Moderate,Purnia,Bihar,25.7758723,87.4087667
2024-01-01 08:00:00,56.75,104.5,36.15,15.6,14.37,0.97,1.8,January,Winter,Christmas & New Year,103.3255033557047,Moderate,Purnia,Bihar,25.7758723,87.4087667
2024-01-01 09:00:00,62.75,110.0,37.05,21.25,15.05,0.98,1.78,January,Winter,Christmas & New Year,106.97986577181209,Moderate,Purnia,Bihar,25.7758723,87.4087667
2024-01-01 10:00:00,70.0,112.0,35.17,16.08,14.38,1.02,1.82,January,Winter,Christmas & New Year,131.72413793103448,Moderate,Purnia,Bihar,25.7758723,87.4087667
2024-01-01 11:00:00,67.0,124.75,36.98,14.38,14.28,1.04,2.1,January,Winter,Christmas & New Year,121.48275862068965,Moderate,Purnia,Bihar,25.7758723,87.4087667
2024-01-01 12:00:00,68.75,128.0,34.83,14.12,14.45,1.04,2.7,January,Winter,Christmas & New Year,127.45689655172414,Moderate,Purnia,Bihar,25.7758723,87.4087667
2024-01-01 13:00:00,63.75,124.25,36.75,13.85,14.72,1.04,3.15,January,Winter,Christmas & New Year,116.44798657718121,Moderate,Purnia,Bihar,25.7758723,87.4087667
2024-01-01 14:00:00,69.0,118.0,35.88,13.82,14.9,1.05,5.7,January,Winter,Christmas & New Year,128.31034482758622,Moderate,Purnia,Bihar,25.7758723,87.4087667
2024-01-01 15:00:00,60.75,115.75,36.3,13.22,14.4,1.06,7.05,January,Winter,Christmas & New Year,110.8003355704698,Moderate,Purnia,Bihar,25.7758723,87.4087667
2024-01-01 16:00:00,64.5,124.75,35.03,13.32,14.6,1.08,6.0,January,Winter,Christmas & New Year,116.78020134228188,Moderate,Purnia,Bihar,25.7758723,87.4087667
2024-01-01 17:00:00,70.0,136.25,37.17,13.12,14.65,1.16,4.18,January,Winter,Christmas & New Year,131.72413793103448,Moderate,Purnia,Bihar,25.7758723,87.4087667
2024-01-01 18:00:00,85.0,160.75,35.33,12.88,15.4,1.3,3.08,January,Winter,Christmas & New Year,182.9310344827586,Moderate,Purnia,Bihar,25.7758723,87.4087667
2024-01-01 19:00:00,94.0,192.75,36.08,13.92,15.02,1.51,2.15,January,Winter,Christmas & New Year,211.24137931034483,Poor,Purnia,Bihar,25.7758723,87.4087667
2024-01-01 20:00:00,118.75,219.5,35.8,14.78,15.32,1.68,1.38,January,Winter,Christmas & New Year,295.73275862068965,Poor,Purnia,Bihar,25.7758723,87.4087667
2024-01-01 21:00:00,121.0,232.5,35.45,15.08,15.6,1.76,1.33,January,Winter,Christmas & New Year,301.0,Very Poor,Purnia,Bihar,25.7758723,87.4087667
2024-01-01 22:00:00,109.25,223.0,37.2,15.6,15.08,1.71,0.8,January,Winter,Christmas & New Year,263.30172413793105,Poor,Purnia,Bihar,25.7758723,87.4087667
2024-01-01 23:00:00,96.0,208.0,34.88,16.2,14.4,1.63,0.57,January,Winter,Christmas & New Year,218.0689655172414,Poor,Purnia,Bihar,25.7758723,87.4087667
2024-01-02 00:00:00,97.0,196.25,34.7,16.95,13.92,1.53,0.6,January,Winter,Christmas & New Year,221.48275862068965,Poor,Purnia,Bihar,25.7758723,87.4087667
2024-01-02 01:00:00,84.5,194.0,36.92,7.0,14.0,1.48,13.6,January,Winter,Christmas & New Year,181.22413793103448,Moderate,Purnia,Bihar,25.7758723,87.4087667
2024-01-02 02:00:00,74.0,167.0,35.8,7.0,13.9,1.39,13.6,January,Winter,Christmas & New Year,145.3793103448276,Moderate,Purnia,Bihar,25.7758723,87.4087667
2024-01-02 03:00:00,69.75,161.75,35.55,7.0,13.78,1.28,0.2,January,Winter,Christmas & New Year,141.36409395973155,Moderate,Purnia,Bihar,25.7758723,87.4087667
2024-01-02 04:00:00,63.0,148.75,36.5,7.0,14.08,1.19,0.3,January,Winter,Christmas & New Year,132.7265100671141,Moderate,Purnia,Bihar,25.7758723,87.4087667
2024-01-02 05:00:00,54.5,128.75,37.5,7.0,14.1,1.16,0.1,January,Winter,Christmas & New Year,119.43791946308725,Moderate,Purnia,Bihar,25.7758723,87.4087667
2024-01-02 06:00:00,53.5,123.0,36.02,7.0,13.92,1.17,0.9,January,Winter,Christmas & New Year,115.61744966442953,Moderate,Purnia,Bihar,25.7758723,87.4087667
2024-01-02 07:00:00,55.25,123.0,36.02,7.0,14.38,1.17,1.37,January,Winter,Christmas & New Year,115.61744966442953,Moderate,Purnia,Bihar,25.7758723,87.4087667
2024-01-02 08:00:00,59.0,125.75,35.72,7.0,14.2,1.17,1.5,January,Winter,Christmas & New Year,117.44463087248323,Moderate,Purnia,Bihar,25.7758723,87.4087667
2024-01-02 09:00:00,71.25,138.5,34.52,7.0,14.1,1.25,0.38,January,Winter,Christmas & New Year,135.99137931034483,Moderate,Purnia,Bihar,25.7758723,87.4087667
2024-01-02 10:00:00,76.0,146.5,37.12,7.0,14.28,1.31,0.98,January,Winter,Christmas & New Year,152.20689655172413,Moderate,Purnia,Bihar,25.7758723,87.4087667
2024-01-02 11:00:00,94.5,154.75,36.98,7.0,14.58,1.36,5.2,January,Winter,Christmas & New Year,212.94827586206895,Poor,Purnia,Bihar,25.7758723,87.4087667
2024-01-02 12:00:00,96.0,150.0,37.57,7.0,14.67,1.34,2.43,January,Winter,Christmas & New Year,218.0689655172414,Poor,Purnia,Bihar,25.7758723,87.4087667
2024-01-02 13:00:00,45.5,98.0,37.55,7.0,16.85,1.36,2.5,January,Winter,Christmas & New Year,98.0,Satisfactory,Purnia,Bihar,25.7758723,87.4087667
