TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,113.25,245.25,6.6,6.78,3.52,0.22,22.88,January,Winter,Christmas & New Year,276.9568965517241,Poor,Rajgir,Bihar,25.0299973,85.4207368
2024-01-01 01:00:00,126.25,251.5,5.7,7.32,3.35,0.2,21.8,January,Winter,Christmas & New Year,305.02906976744185,Very Poor,Rajgir,Bihar,25.0299973,85.4207368
2024-01-01 02:00:00,95.5,239.0,5.62,6.08,3.6,0.22,22.48,January,Winter,Christmas & New Year,216.36206896551724,Poor,Rajgir,Bihar,25.0299973,85.4207368
2024-01-01 03:00:00,98.25,247.75,5.75,7.15,3.58,0.22,23.88,January,Winter,Christmas & New Year,225.75,Poor,Rajgir,Bihar,25.0299973,85.4207368
2024-01-01 04:00:00,115.0,255.0,5.5,7.3,3.62,0.22,24.18,January,Winter,Christmas & New Year,282.9310344827586,Poor,Rajgir,Bihar,25.0299973,85.4207368
2024-01-01 05:00:00,148.0,263.5,5.95,6.72,3.65,0.23,22.92,January,Winter,Christmas & New Year,321.72093023255815,Very Poor,Rajgir,Bihar,25.0299973,85.4207368
2024-01-01 06:00:00,131.33,266.5,6.05,6.78,4.18,0.25,24.5,January,Winter,Christmas & New Year,308.9276744186047,Very Poor,Rajgir,Bihar,25.0299973,85.4207368
2024-01-01 07:00:00,100.75,255.75,5.85,8.32,4.07,0.25,24.5,January,Winter,Christmas & New Year,234.2844827586207,Poor,Rajgir,Bihar,25.0299973,85.4207368
2024-01-01 08:00:00,112.75,237.0,5.83,7.3,4.23,0.25,22.75,January,Winter,Christmas & New Year,275.25,Poor,Rajgir,Bihar,25.0299973,85.4207368
2024-01-01 09:00:00,116.25,232.5,6.45,7.05,4.05,0.25,22.85,January,Winter,Christmas & New Year,287.19827586206895,Poor,Rajgir,Bihar,25.0299973,85.4207368
2024-01-01 10:00:00,113.75,231.0,6.8,6.55,4.25,0.26,23.68,January,Winter,Christmas & New Year,278.66379310344826,Poor,Rajgir,Bihar,25.0299973,85.4207368
2024-01-01 11:00:00,102.0,233.5,5.25,6.02,4.5,0.28,23.75,January,Winter,Christmas & New Year,238.55172413793105,Poor,Rajgir,Bihar,25.0299973,85.4207368
2024-01-01 12:00:00,122.0,208.0,4.5,7.15,4.27,0.26,24.8,January,Winter,Christmas & New Year,301.7674418604651,Very Poor,Rajgir,Bihar,25.0299973,85.4207368
2024-01-01 13:00:00,40.5,91.25,4.95,6.93,4.25,0.26,23.52,January,Winter,Christmas & New Year,91.25,Satisfactory,Rajgir,Bihar,25.0299973,85.4207368
2024-01-01 14:00:00,126.0,222.75,5.18,6.1,4.12,0.26,22.12,January,Winter,Christmas & New Year,304.83720930232556,Very Poor,Rajgir,Bihar,25.0299973,85.4207368
2024-01-01 15:00:00,112.75,243.25,5.28,6.4,3.92,0.24,22.6,January,Winter,Christmas & New Year,275.25,Poor,Rajgir,Bihar,25.0299973,85.4207368
2024-01-01 16:00:00,131.25,250.5,6.9,6.15,4.05,0.25,23.3,January,Winter,Christmas & New Year,308.8662790697674,Very Poor,Rajgir,Bihar,25.0299973,85.4207368
2024-01-01 17:00:00,169.0,268.75,10.1,7.22,4.47,0.27,22.68,January,Winter,Christmas & New Year,337.83720930232556,Very Poor,Rajgir,Bihar,25.0299973,85.4207368
2024-01-01 18:00:00,177.75,314.5,13.45,7.38,4.6,0.28,23.22,January,Winter,Christmas & New Year,344.55232558139534,Very Poor,Rajgir,Bihar,25.0299973,85.4207368
2024-01-01 19:00:00,143.0,341.25,12.38,6.78,3.97,0.24,22.85,January,Winter,Christmas & New Year,317.8837209302326,Very Poor,Rajgir,Bihar,25.0299973,85.4207368
2024-01-01 20:00:00,175.0,278.25,11.3,6.2,4.08,0.25,21.85,January,Winter,Christmas & New Year,342.4418604651163,Very Poor,Rajgir,Bihar,25.0299973,85.4207368
2024-01-01 21:00:00,133.75,255.25,10.2,5.4,4.15,0.26,22.42,January,Winter,Christmas & New Year,310.7848837209302,Very Poor,Rajgir,Bihar,25.0299973,85.4207368
2024-01-01 22:00:00,96.67,226.25,8.55,5.05,3.6,0.22,23.38,January,Winter,Christmas & New Year,220.35620689655173,Poor,Rajgir,Bihar,25.0299973,85.4207368
2024-01-01 23:00:00,97.0,202.0,6.72,5.75,3.58,0.22,23.28,January,Winter,Christmas & New Year,221.48275862068965,Poor,Rajgir,Bihar,25.0299973,85.4207368
2024-01-02 00:00:00,102.75,190.5,5.4,6.18,3.6,0.22,23.38,January,Winter,Christmas & New Year,241.11206896551724,Poor,Rajgir,Bihar,25.0299973,85.4207368
2024-01-02 01:00:00,104.0,180.25,5.3,7.0,3.42,0.22,22.8,January,Winter,Christmas & New Year,245.3793103448276,Poor,Rajgir,Bihar,25.0299973,85.4207368
2024-01-02 02:00:00,86.0,194.5,5.18,6.52,3.28,0.2,21.45,January,Winter,Christmas & New Year,186.3448275862069,Moderate,Rajgir,Bihar,25.0299973,85.4207368
2024-01-02 03:00:00,114.0,197.25,5.18,6.38,3.35,0.2,22.62,January,Winter,Christmas & New Year,279.51724137931035,Poor,Rajgir,Bihar,25.0299973,85.4207368
