TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,82.25,120.25,5.3,36.15,14.5,0.26,2.75,January,Winter,Christmas & New Year,173.54310344827587,Moderate,Saharsa,Bihar,25.8330757,86.6143751
2024-01-01 01:00:00,91.25,122.5,5.5,35.75,14.5,0.26,2.7,January,Winter,Christmas & New Year,201.85344827586206,Poor,Saharsa,Bihar,25.8330757,86.6143751
2024-01-01 02:00:00,82.0,127.5,5.52,35.25,14.5,0.26,2.65,January,Winter,Christmas & New Year,172.68965517241378,Moderate,Saharsa,Bihar,25.8330757,86.6143751
2024-01-01 03:00:00,88.25,124.25,6.35,35.88,14.5,0.26,2.78,January,Winter,Christmas & New Year,194.02586206896552,Moderate,Saharsa,Bihar,25.8330757,86.6143751
2024-01-01 04:00:00,76.25,116.0,6.28,36.75,14.5,0.25,2.72,January,Winter,Christmas & New Year,153.06034482758622,Moderate,Saharsa,Bihar,25.8330757,86.6143751
2024-01-01 05:00:00,78.75,107.75,5.4,36.12,14.5,0.25,2.68,January,Winter,Christmas & New Year,161.5948275862069,Moderate,Saharsa,Bihar,25.8330757,86.6143751
2024-01-01 06:00:00,81.5,115.0,5.3,35.85,14.5,0.25,2.63,January,Winter,Christmas & New Year,170.98275862068965,Moderate,Saharsa,Bihar,25.8330757,86.6143751
2024-01-01 07:00:00,75.75,116.0,5.17,37.03,14.5,0.25,2.6,January,Winter,Christmas & New Year,151.35344827586206,Moderate,Saharsa,Bihar,25.8330757,86.6143751
2024-01-01 08:00:00,82.25,111.75,5.85,36.25,14.5,0.25,2.68,January,Winter,Christmas & New Year,173.54310344827587,Moderate,Saharsa,Bihar,25.8330757,86.6143751
2024-01-01 09:00:00,80.5,122.75,5.5,36.8,14.5,0.25,2.7,January,Winter,Christmas & New Year,167.5689655172414,Moderate,Saharsa,Bihar,25.8330757,86.6143751
2024-01-01 10:00:00,92.75,138.75,5.95,35.45,14.5,0.25,2.88,January,Winter,Christmas & New Year,206.97413793103448,Poor,Saharsa,Bihar,25.8330757,86.6143751
2024-01-01 11:00:00,91.75,142.25,5.75,37.48,14.5,0.26,2.9,January,Winter,Christmas & New Year,203.56034482758622,Poor,Saharsa,Bihar,25.8330757,86.6143751
2024-01-01 12:00:00,117.25,158.25,6.08,35.62,14.5,0.28,3.22,January,Winter,Christmas & New Year,290.6120689655172,Poor,Saharsa,Bihar,25.8330757,86.6143751
2024-01-01 13:00:00,123.75,168.0,5.2,35.48,14.5,0.28,3.55,January,Winter,Christmas & New Year,303.11046511627904,Very Poor,Saharsa,Bihar,25.8330757,86.6143751
2024-01-01 14:00:00,112.75,167.25,5.9,35.67,14.45,0.27,3.78,January,Winter,Christmas & New Year,275.25,Poor,Saharsa,Bihar,25.8330757,86.6143751
2024-01-01 15:00:00,119.25,175.75,5.35,36.48,14.4,0.27,3.95,January,Winter,Christmas & New Year,297.4396551724138,Poor,Saharsa,Bihar,25.8330757,86.6143751
2024-01-01 16:00:00,113.75,182.25,5.68,36.1,14.32,0.26,3.7,January,Winter,Christmas & New Year,278.66379310344826,Poor,Saharsa,Bihar,25.8330757,86.6143751
2024-01-01 17:00:00,126.0,198.75,5.38,36.88,14.4,0.26,3.08,January,Winter,Christmas & New Year,304.83720930232556,Very Poor,Saharsa,Bihar,25.8330757,86.6143751
2024-01-01 18:00:00,126.0,208.0,5.6,33.1,14.6,0.27,2.3,January,Winter,Christmas & New Year,304.83720930232556,Very Poor,Saharsa,Bihar,25.8330757,86.6143751
2024-01-01 19:00:00,40.0,97.5,5.65,36.38,13.15,0.64,18.84,January,Winter,Christmas & New Year,97.5,Satisfactory,Saharsa,Bihar,25.8330757,86.6143751
