TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,47.25,73.75,12.98,6.38,31.58,2.85,20.35,January,Winter,Christmas & New Year,110.39873417721519,Moderate,Siwan,Bihar,26.131008,84.3910745
2024-01-01 01:00:00,48.5,75.5,12.25,6.12,34.52,2.58,20.88,January,Winter,Christmas & New Year,107.01518987341773,Moderate,Siwan,Bihar,26.131008,84.3910745
2024-01-01 02:00:00,47.0,73.0,12.65,6.38,37.42,2.6,20.27,January,Winter,Christmas & New Year,107.26582278481013,Moderate,Siwan,Bihar,26.131008,84.3910745
2024-01-01 03:00:00,47.0,73.0,13.8,6.88,41.92,2.86,18.27,January,Winter,Christmas & New Year,110.52405063291138,Moderate,Siwan,Bihar,26.131008,84.3910745
2024-01-01 04:00:00,47.75,74.25,14.2,6.95,51.8,2.94,18.62,January,Winter,Christmas & New Year,111.52658227848102,Moderate,Siwan,Bihar,26.131008,84.3910745
2024-01-01 05:00:00,50.25,78.0,14.0,6.85,48.88,2.84,19.18,January,Winter,Christmas & New Year,110.27341772151898,Moderate,Siwan,Bihar,26.131008,84.3910745
2024-01-01 06:00:00,47.5,74.75,13.78,6.85,50.62,2.56,22.1,January,Winter,Christmas & New Year,106.76455696202531,Moderate,Siwan,Bihar,26.131008,84.3910745
2024-01-01 07:00:00,49.75,77.5,13.0,6.6,54.08,2.48,24.43,January,Winter,Christmas & New Year,105.76202531645569,Moderate,Siwan,Bihar,26.131008,84.3910745
2024-01-01 08:00:00,49.25,77.5,14.43,7.3,53.42,3.17,25.55,January,Winter,Christmas & New Year,114.40886075949366,Moderate,Siwan,Bihar,26.131008,84.3910745
2024-01-01 09:00:00,54.5,84.75,0.9,1.05,45.25,3.85,23.35,January,Winter,Christmas & New Year,122.93037974683544,Moderate,Siwan,Bihar,26.131008,84.3910745
2024-01-01 10:00:00,56.75,89.0,22.18,0.35,36.12,3.62,25.42,January,Winter,Christmas & New Year,120.04810126582278,Moderate,Siwan,Bihar,26.131008,84.3910745
2024-01-01 11:00:00,58.25,91.75,22.18,0.4,28.7,3.31,31.98,January,Winter,Christmas & New Year,116.1632911392405,Moderate,Siwan,Bihar,26.131008,84.3910745
2024-01-01 12:00:00,55.0,86.25,22.18,0.45,31.22,2.81,50.08,January,Winter,Christmas & New Year,109.89746835443037,Moderate,Siwan,Bihar,26.131008,84.3910745
2024-01-01 13:00:00,54.25,85.75,22.18,0.48,28.75,2.87,67.4,January,Winter,Christmas & New Year,110.64936708860759,Moderate,Siwan,Bihar,26.131008,84.3910745
2024-01-01 14:00:00,51.25,80.5,22.18,0.43,28.65,2.88,82.18,January,Winter,Christmas & New Year,110.7746835443038,Moderate,Siwan,Bihar,26.131008,84.3910745
2024-01-01 15:00:00,53.5,83.0,22.18,0.52,42.5,2.94,85.02,January,Winter,Christmas & New Year,111.52658227848102,Moderate,Siwan,Bihar,26.131008,84.3910745
2024-01-01 16:00:00,56.25,88.5,22.18,0.48,46.9,4.77,54.82,January,Winter,Christmas & New Year,134.45949367088608,Moderate,Siwan,Bihar,26.131008,84.3910745
2024-01-01 17:00:00,65.25,101.75,22.18,0.45,43.0,7.39,16.42,January,Winter,Christmas & New Year,167.29240506329114,Moderate,Siwan,Bihar,26.131008,84.3910745
2024-01-01 18:00:00,86.25,134.25,22.18,0.45,41.12,7.38,9.72,January,Winter,Christmas & New Year,187.19827586206895,Moderate,Siwan,Bihar,26.131008,84.3910745
2024-01-01 19:00:00,101.0,158.0,0.3,0.5,40.25,6.94,3.15,January,Winter,Christmas & New Year,235.13793103448276,Poor,Siwan,Bihar,26.131008,84.3910745
2024-01-01 20:00:00,111.25,173.5,0.1,0.6,39.55,6.52,7.07,January,Winter,Christmas & New Year,270.12931034482756,Poor,Siwan,Bihar,26.131008,84.3910745
2024-01-01 21:00:00,114.75,179.75,22.18,0.5,39.08,6.12,18.55,January,Winter,Christmas & New Year,282.07758620689657,Poor,Siwan,Bihar,26.131008,84.3910745
