TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,89.88,208.48,37.39,20.54,10.15,1.47,9.69,January,Winter,Christmas & New Year,199.5903448275862,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-01 01:00:00,94.55,216.07,34.4,20.71,12.8,1.61,10.44,January,Winter,Christmas & New Year,213.11896551724138,Poor,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-01 02:00:00,95.42,210.99,27.87,21.06,14.91,1.52,11.83,January,Winter,Christmas & New Year,216.08896551724138,Poor,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-01 03:00:00,88.61,186.47,22.61,21.13,10.48,1.3,11.75,January,Winter,Christmas & New Year,195.2548275862069,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-01 04:00:00,83.17,172.65,21.76,21.17,13.66,0.98,13.34,January,Winter,Christmas & New Year,176.6837931034483,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-01 05:00:00,77.89,158.98,21.08,21.26,12.78,0.89,12.95,January,Winter,Christmas & New Year,158.65896551724137,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-01 06:00:00,76.43,149.38,22.45,21.24,14.04,0.83,11.15,January,Winter,Christmas & New Year,153.6748275862069,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-01 07:00:00,66.78,141.65,27.08,21.03,14.58,0.89,10.25,January,Winter,Christmas & New Year,128.00906040268455,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-01 08:00:00,69.49,151.18,31.72,20.62,30.3,1.19,10.68,January,Winter,Christmas & New Year,134.34107382550337,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-01 09:00:00,85.92,183.26,30.84,20.85,38.49,1.23,13.39,January,Winter,Christmas & New Year,186.07172413793103,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-01 10:00:00,92.17,200.4,24.13,21.05,28.54,1.09,20.15,January,Winter,Christmas & New Year,204.9941379310345,Poor,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-01 11:00:00,83.91,185.4,23.4,21.03,34.66,0.99,25.34,January,Winter,Christmas & New Year,179.20999999999998,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-01 12:00:00,76.23,160.09,26.12,21.15,47.99,1.09,28.52,January,Winter,Christmas & New Year,152.99206896551726,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-01 13:00:00,77.46,145.18,22.94,21.38,41.38,1.1,29.27,January,Winter,Christmas & New Year,157.1910344827586,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-01 14:00:00,71.99,138.29,27.42,28.1,36.29,1.16,28.8,January,Winter,Christmas & New Year,138.51758620689654,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-01 15:00:00,69.79,133.38,22.16,21.83,22.53,1.19,29.45,January,Winter,Christmas & New Year,131.00724137931036,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-01 16:00:00,64.17,128.48,22.09,21.85,28.34,0.79,25.31,January,Winter,Christmas & New Year,119.25852348993288,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-01 17:00:00,62.38,127.2,21.47,21.62,21.67,0.81,22.85,January,Winter,Christmas & New Year,118.40805369127517,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-01 18:00:00,62.82,137.74,22.19,21.53,13.11,0.89,18.59,January,Winter,Christmas & New Year,125.41114093959732,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-01 19:00:00,65.71,142.82,21.68,21.59,16.5,1.03,17.65,January,Winter,Christmas & New Year,128.78644295302013,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-01 20:00:00,58.09,147.04,23.94,21.63,15.77,1.18,15.89,January,Winter,Christmas & New Year,131.5903355704698,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-01 21:00:00,52.18,157.69,34.66,21.25,11.17,1.15,12.39,January,Winter,Christmas & New Year,138.6665100671141,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-01 22:00:00,48.16,162.1,35.07,21.04,15.65,1.14,11.7,January,Winter,Christmas & New Year,141.596644295302,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-01 23:00:00,48.07,161.59,34.47,20.91,12.03,1.1,10.31,January,Winter,Christmas & New Year,141.25778523489933,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-02 00:00:00,50.89,155.19,30.45,21.06,12.62,1.28,12.68,January,Winter,Christmas & New Year,137.00543624161074,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-02 01:00:00,50.53,152.5,26.69,21.01,16.36,1.46,11.38,January,Winter,Christmas & New Year,135.21812080536913,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-02 02:00:00,52.42,154.74,27.87,20.87,14.14,1.48,9.99,January,Winter,Christmas & New Year,136.70644295302014,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-02 03:00:00,57.39,164.35,24.74,20.99,11.97,1.21,10.65,January,Winter,Christmas & New Year,143.09161073825504,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-02 04:00:00,54.98,155.46,20.99,21.32,10.51,1.03,11.58,January,Winter,Christmas & New Year,137.1848322147651,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-02 05:00:00,45.45,141.63,20.8,21.39,11.12,0.92,10.47,January,Winter,Christmas & New Year,127.99577181208053,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-02 06:00:00,45.0,132.99,22.1,21.33,13.23,0.96,11.37,January,Winter,Christmas & New Year,122.25510067114095,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-02 07:00:00,46.81,134.91,23.22,21.05,9.71,1.16,10.74,January,Winter,Christmas & New Year,123.53080536912752,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-02 08:00:00,55.94,136.18,28.55,20.52,23.98,1.09,11.44,January,Winter,Christmas & New Year,124.37463087248322,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-02 09:00:00,59.39,132.77,25.05,20.88,36.26,0.97,16.09,January,Winter,Christmas & New Year,122.10892617449664,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-02 10:00:00,62.23,178.35,20.26,21.41,28.68,0.84,20.7,January,Winter,Christmas & New Year,152.39362416107383,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-02 11:00:00,52.02,159.73,19.95,21.65,25.11,0.97,33.42,January,Winter,Christmas & New Year,140.02194630872484,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-02 12:00:00,46.92,150.58,19.6,21.87,25.99,0.89,26.69,January,Winter,Christmas & New Year,133.94241610738257,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-02 13:00:00,42.37,133.21,19.39,22.02,24.76,0.88,27.01,January,Winter,Christmas & New Year,122.40127516778524,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-02 14:00:00,40.39,134.96,22.56,28.54,20.32,0.82,25.62,January,Winter,Christmas & New Year,123.56402684563758,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-02 15:00:00,25.02,117.27,22.5,28.3,23.33,0.81,26.8,January,Winter,Christmas & New Year,111.81026845637584,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-02 16:00:00,24.74,116.29,26.08,28.01,28.96,0.83,25.28,January,Winter,Christmas & New Year,111.15912751677853,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-02 17:00:00,30.06,110.02,34.22,27.49,18.42,2.13,21.35,January,Winter,Christmas & New Year,106.9931543624161,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-02 18:00:00,48.89,174.86,38.28,27.31,13.86,1.8,18.01,January,Winter,Christmas & New Year,150.07476510067116,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-02 19:00:00,55.2,177.88,37.58,27.5,14.82,1.55,16.82,January,Winter,Christmas & New Year,152.0813422818792,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-02 20:00:00,63.3,187.71,38.9,27.54,17.22,1.64,14.81,January,Winter,Christmas & New Year,158.6126845637584,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-02 21:00:00,66.48,188.73,43.36,27.14,16.16,1.71,12.74,January,Winter,Christmas & New Year,159.29040268456376,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-02 22:00:00,66.11,184.13,17.34,25.92,14.92,1.6,10.37,January,Winter,Christmas & New Year,156.23402684563757,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-02 23:00:00,57.0,173.02,37.88,26.83,13.82,1.31,16.69,January,Winter,Christmas & New Year,148.85221476510068,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-03 00:00:00,51.14,137.43,31.12,27.24,11.48,1.08,16.45,January,Winter,Christmas & New Year,125.2051677852349,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-03 01:00:00,47.8,112.94,33.86,27.09,11.51,0.97,15.21,January,Winter,Christmas & New Year,108.93328859060402,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-03 02:00:00,45.78,110.28,31.96,27.24,10.02,0.92,13.73,January,Winter,Christmas & New Year,107.16590604026845,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-03 03:00:00,40.39,118.94,35.66,27.01,12.84,1.08,11.18,January,Winter,Christmas & New Year,112.91986577181208,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-03 04:00:00,46.07,144.1,31.48,27.1,18.84,1.08,11.22,January,Winter,Christmas & New Year,129.63691275167784,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-03 05:00:00,55.93,150.78,27.12,27.06,14.84,1.07,10.82,January,Winter,Christmas & New Year,134.07530201342283,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-03 06:00:00,41.14,152.14,22.0,20.91,11.51,0.99,9.85,January,Winter,Christmas & New Year,134.97892617449662,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-03 07:00:00,34.84,112.53,23.01,20.78,8.94,0.99,10.13,January,Winter,Christmas & New Year,108.66087248322148,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-03 08:00:00,40.22,116.63,25.0,20.74,13.24,0.97,12.33,January,Winter,Christmas & New Year,111.38503355704698,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-03 09:00:00,46.93,133.12,25.47,21.02,21.32,0.99,15.51,January,Winter,Christmas & New Year,122.34147651006711,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-03 10:00:00,103.15,147.51,22.14,21.43,23.39,0.88,26.89,January,Winter,Christmas & New Year,242.47758620689658,Poor,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-03 11:00:00,70.02,132.74,25.84,28.04,23.9,0.82,26.97,January,Winter,Christmas & New Year,131.79241379310344,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-03 12:00:00,64.0,114.16,18.12,21.6,13.65,0.76,31.19,January,Winter,Christmas & New Year,111.24137931034483,Moderate,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-03 13:00:00,47.66,96.23,17.65,21.74,16.01,0.6,30.71,January,Winter,Christmas & New Year,96.23,Satisfactory,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-03 14:00:00,45.92,89.69,17.37,21.74,16.23,0.57,31.49,January,Winter,Christmas & New Year,89.69,Satisfactory,Bhilai,Chhattisgarh,21.2120677,81.3732849
2024-01-03 15:00:00,52.47,97.68,21.49,28.29,16.68,0.65,25.78,January,Winter,Christmas & New Year,97.68,Satisfactory,Bhilai,Chhattisgarh,21.2120677,81.3732849
