TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE
2024-01-01 00:00:00,62.37,93.1,12.23,6.91,8.18,0.75,18.41,January,Winter,Christmas & New Year,105.67689655172413,Moderate,Milupara,Chhattisgarh
2024-01-01 01:00:00,57.03,78.04,11.85,6.92,7.8,0.75,17.33,January,Winter,Christmas & New Year,94.98172413793104,Satisfactory,Milupara,Chhattisgarh
2024-01-01 02:00:00,53.67,75.96,10.35,6.99,7.41,0.68,13.79,January,Winter,Christmas & New Year,89.3044827586207,Satisfactory,Milupara,Chhattisgarh
2024-01-01 03:00:00,49.2,63.47,8.98,7.11,7.34,0.56,16.7,January,Winter,Christmas & New Year,81.75172413793103,Satisfactory,Milupara,Chhattisgarh
2024-01-01 04:00:00,48.0,60.0,8.84,7.04,7.33,0.53,17.29,January,Winter,Christmas & New Year,79.72413793103448,Satisfactory,Milupara,Chhattisgarh
2024-01-01 05:00:00,42.0,46.35,10.1,6.92,7.31,0.54,16.66,January,Winter,Christmas & New Year,69.58620689655173,Satisfactory,Milupara,Chhattisgarh
2024-01-01 06:00:00,37.38,43.86,15.27,6.62,7.33,0.62,13.75,January,Winter,Christmas & New Year,61.78,Satisfactory,Milupara,Chhattisgarh
2024-01-01 07:00:00,36.67,47.56,13.73,6.65,7.24,0.57,13.86,January,Winter,Christmas & New Year,60.58034482758621,Satisfactory,Milupara,Chhattisgarh
2024-01-01 08:00:00,38.2,49.99,12.13,6.8,8.4,0.5,22.58,January,Winter,Christmas & New Year,63.16551724137932,Satisfactory,Milupara,Chhattisgarh
2024-01-01 09:00:00,35.61,51.02,13.64,6.7,10.73,0.5,41.08,January,Winter,Christmas & New Year,58.789310344827584,Satisfactory,Milupara,Chhattisgarh
2024-01-01 10:00:00,33.96,50.61,10.55,6.49,11.57,0.44,70.1,January,Winter,Christmas & New Year,70.1,Satisfactory,Milupara,Chhattisgarh
2024-01-01 11:00:00,30.99,53.41,14.1,5.89,11.43,0.46,80.21,January,Winter,Christmas & New Year,80.21,Satisfactory,Milupara,Chhattisgarh
2024-01-01 12:00:00,35.09,53.27,9.62,5.74,12.3,0.43,84.26,January,Winter,Christmas & New Year,84.26,Satisfactory,Milupara,Chhattisgarh
2024-01-01 13:00:00,30.57,56.22,9.67,5.36,12.22,0.4,89.15,January,Winter,Christmas & New Year,89.15,Satisfactory,Milupara,Chhattisgarh
2024-01-01 14:00:00,33.08,58.49,10.13,5.25,11.19,0.42,93.38,January,Winter,Christmas & New Year,93.38,Satisfactory,Milupara,Chhattisgarh
2024-01-01 15:00:00,32.77,57.08,12.26,5.33,12.74,0.47,92.17,January,Winter,Christmas & New Year,92.17,Satisfactory,Milupara,Chhattisgarh
2024-01-01 16:00:00,31.86,57.14,21.36,5.03,12.31,0.74,70.55,January,Winter,Christmas & New Year,70.55,Satisfactory,Milupara,Chhattisgarh
2024-01-01 17:00:00,34.99,62.1,48.76,3.05,9.9,0.94,28.82,January,Winter,Christmas & New Year,62.1,Satisfactory,Milupara,Chhattisgarh
2024-01-01 18:00:00,44.49,85.32,31.62,5.27,8.94,0.93,25.22,January,Winter,Christmas & New Year,85.32,Satisfactory,Milupara,Chhattisgarh
2024-01-01 19:00:00,41.97,80.81,16.9,6.14,8.13,0.72,19.65,January,Winter,Christmas & New Year,80.81,Satisfactory,Milupara,Chhattisgarh
2024-01-01 20:00:00,40.96,75.51,17.73,6.12,7.81,0.86,16.04,January,Winter,Christmas & New Year,75.51,Satisfactory,Milupara,Chhattisgarh
2024-01-01 21:00:00,41.44,66.41,13.41,6.45,7.34,0.76,16.56,January,Winter,Christmas & New Year,68.64,Satisfactory,Milupara,Chhattisgarh
2024-01-01 22:00:00,38.68,61.03,12.98,6.53,7.2,0.71,14.34,January,Winter,Christmas & New Year,63.976551724137934,Satisfactory,Milupara,Chhattisgarh
2024-01-01 23:00:00,35.08,55.83,12.08,6.64,6.92,0.69,10.16,January,Winter,Christmas & New Year,57.893793103448274,Satisfactory,Milupara,Chhattisgarh
2024-01-02 00:00:00,32.71,49.23,9.34,6.97,6.7,0.67,13.15,January,Winter,Christmas & New Year,53.889310344827585,Satisfactory,Milupara,Chhattisgarh
2024-01-02 01:00:00,31.42,41.76,8.94,7.04,6.82,0.6,17.75,January,Winter,Christmas & New Year,51.7096551724138,Satisfactory,Milupara,Chhattisgarh
2024-01-02 02:00:00,31.22,43.23,9.04,7.0,6.87,0.58,17.42,January,Winter,Christmas & New Year,51.37172413793103,Satisfactory,Milupara,Chhattisgarh
2024-01-02 03:00:00,29.57,40.01,8.56,6.9,6.82,0.55,19.5,January,Winter,Christmas & New Year,49.28333333333334,Good,Milupara,Chhattisgarh
2024-01-02 04:00:00,30.02,39.88,8.48,6.94,6.55,0.64,12.52,January,Winter,Christmas & New Year,39.88,Good,Milupara,Chhattisgarh
2024-01-02 05:00:00,24.86,31.27,10.96,6.84,6.52,0.64,10.06,January,Winter,Christmas & New Year,41.43333333333334,Good,Milupara,Chhattisgarh
2024-01-02 06:00:00,25.6,35.04,12.6,6.74,6.36,0.72,9.54,January,Winter,Christmas & New Year,42.66666666666667,Good,Milupara,Chhattisgarh
2024-01-02 07:00:00,28.02,41.21,11.37,6.91,6.43,0.72,13.39,January,Winter,Christmas & New Year,46.7,Good,Milupara,Chhattisgarh
2024-01-02 08:00:00,27.55,63.0,18.895,5.42,8.74,0.48,21.634999999999998,January,Winter,Christmas & New Year,63.0,Satisfactory,Milupara,Chhattisgarh
2024-01-02 09:00:00,27.55,63.0,18.895,5.42,8.74,0.48,21.634999999999998,January,Winter,Christmas & New Year,63.0,Satisfactory,Milupara,Chhattisgarh
2024-01-02 10:00:00,27.55,63.0,18.895,5.42,8.74,0.48,21.634999999999998,January,Winter,Christmas & New Year,63.0,Satisfactory,Milupara,Chhattisgarh
2024-01-02 11:00:00,27.55,63.0,18.895,5.42,8.74,0.48,21.634999999999998,January,Winter,Christmas & New Year,63.0,Satisfactory,Milupara,Chhattisgarh
2024-01-02 12:00:00,27.55,63.0,18.895,5.42,8.74,0.48,21.634999999999998,January,Winter,Christmas & New Year,63.0,Satisfactory,Milupara,Chhattisgarh
2024-01-02 13:00:00,27.55,63.0,18.895,5.42,8.74,0.48,21.634999999999998,January,Winter,Christmas & New Year,63.0,Satisfactory,Milupara,Chhattisgarh
2024-01-02 14:00:00,27.55,63.0,18.895,5.42,8.74,0.48,21.634999999999998,January,Winter,Christmas & New Year,63.0,Satisfactory,Milupara,Chhattisgarh
2024-01-02 15:00:00,27.55,63.0,18.895,5.42,8.74,0.48,21.634999999999998,January,Winter,Christmas & New Year,63.0,Satisfactory,Milupara,Chhattisgarh
2024-01-02 16:00:00,27.55,63.0,18.895,5.42,8.74,0.48,21.634999999999998,January,Winter,Christmas & New Year,63.0,Satisfactory,Milupara,Chhattisgarh
2024-01-02 17:00:00,27.55,63.0,18.895,5.42,8.74,0.48,21.634999999999998,January,Winter,Christmas & New Year,63.0,Satisfactory,Milupara,Chhattisgarh
2024-01-02 18:00:00,27.55,63.0,18.895,5.42,8.74,0.48,21.634999999999998,January,Winter,Christmas & New Year,63.0,Satisfactory,Milupara,Chhattisgarh
2024-01-02 19:00:00,27.55,63.0,18.895,5.42,8.74,0.48,21.634999999999998,January,Winter,Christmas & New Year,63.0,Satisfactory,Milupara,Chhattisgarh
2024-01-02 20:00:00,27.55,63.0,18.895,5.42,8.74,0.48,21.634999999999998,January,Winter,Christmas & New Year,63.0,Satisfactory,Milupara,Chhattisgarh
2024-01-02 21:00:00,27.55,63.0,18.895,5.42,8.74,0.48,21.634999999999998,January,Winter,Christmas & New Year,63.0,Satisfactory,Milupara,Chhattisgarh
2024-01-02 22:00:00,27.55,63.0,18.895,5.42,8.74,0.48,21.634999999999998,January,Winter,Christmas & New Year,63.0,Satisfactory,Milupara,Chhattisgarh
2024-01-02 23:00:00,27.55,63.0,18.895,5.42,8.74,0.48,21.634999999999998,January,Winter,Christmas & New Year,63.0,Satisfactory,Milupara,Chhattisgarh
2024-01-03 00:00:00,27.55,63.0,18.895,5.42,8.74,0.48,21.634999999999998,January,Winter,Christmas & New Year,63.0,Satisfactory,Milupara,Chhattisgarh
2024-01-03 01:00:00,27.55,63.0,18.895,5.42,8.74,0.48,21.634999999999998,January,Winter,Christmas & New Year,63.0,Satisfactory,Milupara,Chhattisgarh
2024-01-03 02:00:00,27.55,63.0,18.895,5.42,8.74,0.48,21.634999999999998,January,Winter,Christmas & New Year,63.0,Satisfactory,Milupara,Chhattisgarh
2024-01-03 03:00:00,27.55,63.0,18.895,5.42,8.74,0.48,21.634999999999998,January,Winter,Christmas & New Year,63.0,Satisfactory,Milupara,Chhattisgarh
2024-01-03 04:00:00,27.55,63.0,18.895,5.42,8.74,0.48,21.634999999999998,January,Winter,Christmas & New Year,63.0,Satisfactory,Milupara,Chhattisgarh
2024-01-03 05:00:00,27.55,63.0,18.895,5.42,8.74,0.48,21.634999999999998,January,Winter,Christmas & New Year,63.0,Satisfactory,Milupara,Chhattisgarh
2024-01-03 06:00:00,27.55,63.0,18.895,5.42,8.74,0.48,21.634999999999998,January,Winter,Christmas & New Year,63.0,Satisfactory,Milupara,Chhattisgarh
2024-01-03 07:00:00,27.55,63.0,18.895,5.42,8.74,0.48,21.634999999999998,January,Winter,Christmas & New Year,63.0,Satisfactory,Milupara,Chhattisgarh
2024-01-03 08:00:00,27.55,63.0,18.895,5.42,8.74,0.48,21.634999999999998,January,Winter,Christmas & New Year,63.0,Satisfactory,Milupara,Chhattisgarh
2024-01-03 09:00:00,44.18,62.38,15.31,6.74,10.89,0.76,47.33,January,Winter,Christmas & New Year,73.26965517241379,Satisfactory,Milupara,Chhattisgarh
2024-01-03 10:00:00,42.17,62.22,14.72,6.63,14.08,0.77,59.02,January,Winter,Christmas & New Year,69.87344827586207,Satisfactory,Milupara,Chhattisgarh
2024-01-03 11:00:00,42.94,71.96,18.84,5.9,20.23,0.85,75.51,January,Winter,Christmas & New Year,75.51,Satisfactory,Milupara,Chhattisgarh
2024-01-03 12:00:00,45.74,76.36,24.22,5.2,34.24,0.89,85.47,January,Winter,Christmas & New Year,85.47,Satisfactory,Milupara,Chhattisgarh
2024-01-03 13:00:00,46.16,86.16,20.45,5.41,35.01,0.91,91.2,January,Winter,Christmas & New Year,91.2,Satisfactory,Milupara,Chhattisgarh
2024-01-03 14:00:00,47.88,91.68,19.74,4.75,8.74,1.01,104.51,January,Winter,Christmas & New Year,106.18641791044777,Moderate,Milupara,Chhattisgarh
2024-01-03 15:00:00,51.78,95.98,20.33,5.22,8.74,0.71,85.63,January,Winter,Christmas & New Year,95.98,Satisfactory,Milupara,Chhattisgarh
2024-01-03 16:00:00,50.3,96.26,22.26,5.12,8.74,0.8,68.17,January,Winter,Christmas & New Year,96.26,Satisfactory,Milupara,Chhattisgarh
2024-01-03 17:00:00,53.11,103.39,29.57,5.12,8.74,0.69,34.68,January,Winter,Christmas & New Year,102.58798657718121,Moderate,Milupara,Chhattisgarh
2024-01-03 18:00:00,63.82,124.48,33.85,5.22,8.74,0.92,27.15,January,Winter,Christmas & New Year,116.60080536912753,Moderate,Milupara,Chhattisgarh
2024-01-03 19:00:00,61.77,120.55,22.75,6.52,8.74,0.88,16.09,January,Winter,Christmas & New Year,113.98959731543624,Moderate,Milupara,Chhattisgarh
2024-01-03 20:00:00,53.3,107.48,15.36,7.02,8.74,0.9,11.82,January,Winter,Christmas & New Year,105.3055033557047,Moderate,Milupara,Chhattisgarh
2024-01-03 21:00:00,49.64,87.1,12.68,7.36,8.74,0.78,12.18,January,Winter,Christmas & New Year,87.1,Satisfactory,Milupara,Chhattisgarh
2024-01-03 22:00:00,46.94,77.07,11.31,7.26,8.74,0.73,11.49,January,Winter,Christmas & New Year,77.93310344827586,Satisfactory,Milupara,Chhattisgarh
2024-01-03 23:00:00,44.75,67.1,9.87,7.17,8.74,0.68,13.21,January,Winter,Christmas & New Year,74.23275862068965,Satisfactory,Milupara,Chhattisgarh
2024-01-04 00:00:00,44.6,63.8,9.3,7.74,8.74,0.64,9.77,January,Winter,Christmas & New Year,73.97931034482758,Satisfactory,Milupara,Chhattisgarh
2024-01-04 01:00:00,42.83,55.96,8.69,7.77,8.74,0.61,14.08,January,Winter,Christmas & New Year,70.98862068965516,Satisfactory,Milupara,Chhattisgarh
2024-01-04 02:00:00,38.15,54.54,8.22,7.66,8.74,0.6,13.88,January,Winter,Christmas & New Year,63.08103448275862,Satisfactory,Milupara,Chhattisgarh
2024-01-04 03:00:00,36.6,53.17,8.56,7.48,8.74,0.61,11.67,January,Winter,Christmas & New Year,60.46206896551725,Satisfactory,Milupara,Chhattisgarh
