TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,47.97,83.92,9.91,10.65,6.12,0.64,12.0,January,Winter,Christmas & New Year,83.92,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-01 01:00:00,42.78,83.93,9.67,10.71,6.32,0.59,12.3,January,Winter,Christmas & New Year,83.93,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-01 02:00:00,44.78,86.59,9.25,10.74,6.27,0.59,11.31,January,Winter,Christmas & New Year,86.59,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-01 03:00:00,45.09,85.81,9.04,10.81,6.28,0.56,11.29,January,Winter,Christmas & New Year,85.81,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-01 04:00:00,40.55,75.84,9.3,10.68,6.23,0.55,11.51,January,Winter,Christmas & New Year,75.84,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-01 05:00:00,39.26,69.01,9.6,10.62,6.32,0.55,11.58,January,Winter,Christmas & New Year,69.01,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-01 06:00:00,40.64,68.1,8.9,10.71,6.22,0.54,12.99,January,Winter,Christmas & New Year,68.1,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-01 07:00:00,42.96,74.62,9.59,10.5,6.33,0.59,12.43,January,Winter,Christmas & New Year,74.62,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-01 08:00:00,47.42,83.92,9.55,10.58,6.08,0.55,12.36,January,Winter,Christmas & New Year,83.92,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-01 09:00:00,48.79,87.42,9.17,10.89,6.16,0.55,13.76,January,Winter,Christmas & New Year,87.42,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-01 10:00:00,47.81,85.83,9.6,10.65,6.34,0.53,15.18,January,Winter,Christmas & New Year,85.83,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-01 11:00:00,48.71,91.84,9.28,10.72,6.37,0.51,16.25,January,Winter,Christmas & New Year,91.84,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-01 12:00:00,41.19,75.09,9.42,10.72,6.56,0.49,17.33,January,Winter,Christmas & New Year,75.09,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-01 13:00:00,40.2,76.96,9.56,10.37,7.48,0.49,18.38,January,Winter,Christmas & New Year,76.96,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-01 14:00:00,42.55,85.46,9.58,10.81,7.01,0.46,18.64,January,Winter,Christmas & New Year,85.46,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-01 15:00:00,43.4,85.84,9.27,10.62,6.92,0.46,19.28,January,Winter,Christmas & New Year,85.84,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-01 16:00:00,53.08,100.98,8.89,10.51,6.66,0.47,19.5,January,Winter,Christmas & New Year,88.30758620689656,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-01 17:00:00,51.1,94.42,9.45,10.56,6.42,0.59,17.47,January,Winter,Christmas & New Year,94.42,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-01 18:00:00,42.99,87.47,10.23,9.85,6.48,0.9,14.25,January,Winter,Christmas & New Year,87.47,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-01 19:00:00,47.82,104.47,9.92,10.0,6.88,1.37,12.07,January,Winter,Christmas & New Year,103.30557046979865,Moderate,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-01 20:00:00,46.49,107.32,10.23,10.69,6.3,1.05,14.19,January,Winter,Christmas & New Year,105.19919463087248,Moderate,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-01 21:00:00,46.78,105.25,9.4,10.99,6.2,0.6,14.47,January,Winter,Christmas & New Year,103.8238255033557,Moderate,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-01 22:00:00,47.02,92.72,9.67,11.33,6.06,0.54,15.45,January,Winter,Christmas & New Year,92.72,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-01 23:00:00,44.21,75.62,9.11,11.05,6.07,0.52,14.83,January,Winter,Christmas & New Year,75.62,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-02 00:00:00,42.7,76.83,9.29,10.71,6.0,0.51,13.72,January,Winter,Christmas & New Year,76.83,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-02 01:00:00,38.5,70.03,9.19,10.55,6.08,0.52,13.17,January,Winter,Christmas & New Year,70.03,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-02 02:00:00,37.9,70.07,8.92,10.85,5.92,0.51,12.76,January,Winter,Christmas & New Year,70.07,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-02 03:00:00,39.6,74.72,9.06,10.69,5.95,0.51,12.41,January,Winter,Christmas & New Year,74.72,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-02 04:00:00,41.55,78.57,9.05,10.58,6.04,0.51,12.95,January,Winter,Christmas & New Year,78.57,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-02 05:00:00,40.63,78.09,8.63,10.46,6.0,0.52,12.73,January,Winter,Christmas & New Year,78.09,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-02 06:00:00,37.74,71.46,8.42,10.12,6.06,0.52,12.62,January,Winter,Christmas & New Year,71.46,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-02 07:00:00,38.87,76.41,8.48,10.47,6.14,0.54,12.47,January,Winter,Christmas & New Year,76.41,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-02 08:00:00,43.21,83.69,8.37,10.32,6.06,0.54,12.74,January,Winter,Christmas & New Year,83.69,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-02 09:00:00,76.28,131.48,8.94,10.61,6.2,0.51,13.23,January,Winter,Christmas & New Year,153.16275862068966,Moderate,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-02 10:00:00,114.5,189.44,9.39,10.56,6.28,0.5,14.42,January,Winter,Christmas & New Year,281.2241379310345,Poor,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-02 11:00:00,36.05,70.87,9.53,10.5,6.44,0.49,15.82,January,Winter,Christmas & New Year,70.87,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-02 12:00:00,38.75,75.81,9.01,10.69,6.28,0.46,17.19,January,Winter,Christmas & New Year,75.81,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-02 13:00:00,39.22,81.7,9.37,10.59,8.77,0.45,19.4,January,Winter,Christmas & New Year,81.7,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-02 14:00:00,42.86,89.52,9.75,10.46,10.74,0.44,31.05,January,Winter,Christmas & New Year,89.52,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-02 15:00:00,51.74,104.54,9.55,10.67,7.85,0.43,37.28,January,Winter,Christmas & New Year,103.35208053691275,Moderate,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-02 16:00:00,44.49,93.42,9.46,10.52,6.85,0.44,30.34,January,Winter,Christmas & New Year,93.42,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-02 17:00:00,42.61,86.9,8.93,10.92,6.35,0.5,24.56,January,Winter,Christmas & New Year,86.9,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-02 18:00:00,48.99,94.0,8.68,10.43,6.28,0.55,15.11,January,Winter,Christmas & New Year,94.0,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-02 19:00:00,48.88,94.22,8.72,10.62,6.46,0.52,14.19,January,Winter,Christmas & New Year,94.22,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-02 20:00:00,41.67,83.9,9.35,10.51,5.99,0.55,12.52,January,Winter,Christmas & New Year,83.9,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-02 21:00:00,38.76,79.47,8.79,10.66,5.92,0.53,11.14,January,Winter,Christmas & New Year,79.47,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-02 22:00:00,37.89,78.87,8.85,10.64,6.03,0.51,10.1,January,Winter,Christmas & New Year,78.87,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-02 23:00:00,40.05,78.51,8.89,10.67,6.1,0.52,10.11,January,Winter,Christmas & New Year,78.51,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-03 00:00:00,34.62,66.5,9.5,10.13,5.88,0.51,10.08,January,Winter,Christmas & New Year,66.5,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-03 01:00:00,32.23,63.07,8.92,10.57,5.92,0.49,10.04,January,Winter,Christmas & New Year,63.07,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-03 02:00:00,37.77,72.37,8.66,10.49,5.77,0.49,9.9,January,Winter,Christmas & New Year,72.37,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-03 03:00:00,38.22,72.28,8.63,10.54,5.77,0.47,9.7,January,Winter,Christmas & New Year,72.28,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-03 04:00:00,33.0,64.64,8.19,10.6,5.91,0.46,9.99,January,Winter,Christmas & New Year,64.64,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-03 05:00:00,36.44,66.0,8.39,10.42,5.9,0.45,10.53,January,Winter,Christmas & New Year,66.0,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-03 06:00:00,40.93,71.49,8.36,10.4,5.68,0.46,9.99,January,Winter,Christmas & New Year,71.49,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-03 07:00:00,40.02,75.42,8.16,10.49,5.72,0.48,10.16,January,Winter,Christmas & New Year,75.42,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-03 08:00:00,42.39,80.95,8.24,10.45,5.76,0.47,10.55,January,Winter,Christmas & New Year,80.95,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-03 09:00:00,45.92,87.31,8.52,10.64,5.8,0.47,11.02,January,Winter,Christmas & New Year,87.31,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-03 10:00:00,43.6,88.3,8.81,10.81,5.98,0.46,13.65,January,Winter,Christmas & New Year,88.3,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-03 11:00:00,48.11,96.74,9.26,10.5,6.11,0.44,16.94,January,Winter,Christmas & New Year,96.74,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-03 12:00:00,45.42,88.88,9.2,10.46,7.67,0.42,19.0,January,Winter,Christmas & New Year,88.88,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-03 13:00:00,37.89,78.74,9.6,10.65,12.64,0.4,19.61,January,Winter,Christmas & New Year,78.74,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-03 14:00:00,41.73,87.28,10.15,10.49,14.63,0.34,21.31,January,Winter,Christmas & New Year,87.28,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-03 15:00:00,44.24,93.05,9.97,10.65,9.22,0.35,24.56,January,Winter,Christmas & New Year,93.05,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-03 16:00:00,35.8,80.94,9.52,10.32,7.79,0.35,26.63,January,Winter,Christmas & New Year,80.94,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-03 17:00:00,33.76,72.03,9.48,10.95,7.08,0.43,23.39,January,Winter,Christmas & New Year,72.03,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-03 18:00:00,53.52,102.01,9.7,9.97,6.39,1.05,8.06,January,Winter,Christmas & New Year,101.67107382550336,Moderate,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-03 19:00:00,71.64,136.29,9.93,9.56,6.75,1.44,6.48,January,Winter,Christmas & New Year,137.32275862068965,Moderate,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-03 20:00:00,48.66,113.43,10.01,10.38,6.32,1.07,6.95,January,Winter,Christmas & New Year,109.25885906040268,Moderate,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-03 21:00:00,48.11,112.67,9.1,10.75,6.17,0.51,11.53,January,Winter,Christmas & New Year,108.75389261744967,Moderate,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-03 22:00:00,46.8,98.71,9.49,10.7,6.06,0.52,11.37,January,Winter,Christmas & New Year,98.71,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-03 23:00:00,41.28,82.78,8.83,10.66,6.01,0.52,11.59,January,Winter,Christmas & New Year,82.78,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-04 00:00:00,42.01,74.45,8.7,10.62,5.99,0.49,11.83,January,Winter,Christmas & New Year,74.45,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-04 01:00:00,42.04,75.97,9.35,10.61,6.0,0.48,10.51,January,Winter,Christmas & New Year,75.97,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-04 02:00:00,40.85,75.44,9.27,10.86,5.94,0.46,9.91,January,Winter,Christmas & New Year,75.44,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-04 03:00:00,39.15,73.25,8.95,10.62,5.93,0.47,10.09,January,Winter,Christmas & New Year,73.25,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-04 04:00:00,38.03,70.47,8.75,10.49,5.94,0.47,10.06,January,Winter,Christmas & New Year,70.47,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-04 05:00:00,38.53,68.13,8.65,10.25,5.98,0.46,10.31,January,Winter,Christmas & New Year,68.13,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-04 06:00:00,38.49,63.6,8.41,10.4,5.84,0.46,9.57,January,Winter,Christmas & New Year,63.655517241379314,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-04 07:00:00,39.19,64.42,8.34,10.67,5.84,0.47,9.99,January,Winter,Christmas & New Year,64.83827586206897,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
2024-01-04 08:00:00,37.77,64.41,8.28,10.38,5.82,0.47,10.82,January,Winter,Christmas & New Year,64.41,Satisfactory,Gandhinagar,Gujarat,23.2232877,72.6492267
