TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,54.53,60.78,6.05,22.62,3.78,1.0,20.76,January,Winter,Christmas & New Year,90.75758620689655,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-01 01:00:00,52.46,58.93,7.48,20.23,2.3,1.01,18.48,January,Winter,Christmas & New Year,87.26,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-01 02:00:00,53.86,57.91,7.92,19.88,6.88,0.99,20.91,January,Winter,Christmas & New Year,89.62551724137931,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-01 03:00:00,50.96,64.13,8.02,19.82,9.63,1.0,22.73,January,Winter,Christmas & New Year,84.72551724137932,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-01 04:00:00,49.95,56.86,8.04,20.02,8.96,1.01,22.07,January,Winter,Christmas & New Year,83.01896551724138,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-01 05:00:00,45.5,52.61,7.97,19.48,10.02,1.0,22.59,January,Winter,Christmas & New Year,75.5,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-01 06:00:00,41.54,49.38,8.0,20.08,3.66,1.0,22.84,January,Winter,Christmas & New Year,68.80896551724138,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-01 07:00:00,38.16,43.02,8.02,20.65,1.3,1.01,20.36,January,Winter,Christmas & New Year,63.097931034482755,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-01 08:00:00,35.47,37.64,14.16,41.0,1.4,1.15,22.84,January,Winter,Christmas & New Year,58.55275862068965,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-01 09:00:00,27.6,40.43,16.25,48.22,1.77,1.2,20.62,January,Winter,Christmas & New Year,56.444444444444436,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-01 10:00:00,28.92,40.56,16.06,48.6,4.97,1.19,24.15,January,Winter,Christmas & New Year,55.89999999999999,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-01 11:00:00,30.68,37.37,16.48,47.9,6.06,0.91,26.09,January,Winter,Christmas & New Year,45.5,Good,Ambala,Haryana,30.3843674,76.770421
2024-01-01 12:00:00,28.07,32.87,16.07,48.22,5.1,0.78,27.84,January,Winter,Christmas & New Year,46.78333333333334,Good,Ambala,Haryana,30.3843674,76.770421
2024-01-01 13:00:00,27.74,31.94,15.88,47.4,5.59,0.79,25.48,January,Winter,Christmas & New Year,46.233333333333334,Good,Ambala,Haryana,30.3843674,76.770421
2024-01-01 14:00:00,39.98,42.63,15.64,48.22,4.27,0.78,27.74,January,Winter,Christmas & New Year,66.17310344827585,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-01 15:00:00,53.27,56.93,15.78,47.7,3.97,0.79,28.24,January,Winter,Christmas & New Year,88.62862068965518,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-01 16:00:00,63.1,64.64,11.92,37.33,4.16,0.82,23.52,January,Winter,Christmas & New Year,108.16896551724139,Moderate,Ambala,Haryana,30.3843674,76.770421
2024-01-01 17:00:00,65.19,65.93,10.06,34.3,4.7,0.81,22.4,January,Winter,Christmas & New Year,115.30379310344827,Moderate,Ambala,Haryana,30.3843674,76.770421
2024-01-01 18:00:00,37.345,70.52,10.0,33.98,4.6,0.78,25.88,January,Winter,Christmas & New Year,70.52,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-01 19:00:00,59.36,62.59,10.02,33.78,3.62,0.81,33.93,January,Winter,Christmas & New Year,98.91862068965517,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-01 20:00:00,41.39,54.36,9.88,33.52,4.9,0.82,23.66,January,Winter,Christmas & New Year,68.5555172413793,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-01 21:00:00,33.3,63.57,10.08,34.35,2.75,0.83,23.66,January,Winter,Christmas & New Year,63.57,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-01 22:00:00,31.53,54.58,9.99,33.55,5.47,0.65,27.07,January,Winter,Christmas & New Year,54.58,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-01 23:00:00,31.82,47.18,9.87,33.6,5.31,0.59,26.07,January,Winter,Christmas & New Year,52.38551724137931,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-02 00:00:00,28.04,40.82,5.93,21.6,4.96,0.99,26.12,January,Winter,Christmas & New Year,49.5,Good,Ambala,Haryana,30.3843674,76.770421
2024-01-02 01:00:00,23.4,30.45,7.55,19.98,7.25,1.02,30.74,January,Winter,Christmas & New Year,39.0,Good,Ambala,Haryana,30.3843674,76.770421
2024-01-02 02:00:00,24.72,28.5,7.93,20.4,5.55,1.02,24.53,January,Winter,Christmas & New Year,41.2,Good,Ambala,Haryana,30.3843674,76.770421
2024-01-02 03:00:00,19.61,32.11,7.95,20.15,4.6,1.0,24.25,January,Winter,Christmas & New Year,50.0,Good,Ambala,Haryana,30.3843674,76.770421
2024-01-02 04:00:00,13.71,27.32,8.02,19.82,4.03,1.0,27.74,January,Winter,Christmas & New Year,50.0,Good,Ambala,Haryana,30.3843674,76.770421
2024-01-02 05:00:00,17.24,27.39,8.13,19.92,3.98,1.0,23.64,January,Winter,Christmas & New Year,50.0,Good,Ambala,Haryana,30.3843674,76.770421
2024-01-02 06:00:00,19.03,23.97,7.91,19.63,9.84,0.76,28.96,January,Winter,Christmas & New Year,38.0,Good,Ambala,Haryana,30.3843674,76.770421
2024-01-02 07:00:00,19.08,22.17,7.95,19.23,10.4,1.03,27.52,January,Winter,Christmas & New Year,31.799999999999997,Good,Ambala,Haryana,30.3843674,76.770421
2024-01-02 08:00:00,15.71,21.75,13.73,41.0,11.18,1.15,24.94,January,Winter,Christmas & New Year,53.722222222222214,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-02 09:00:00,11.7,26.62,15.88,47.68,9.79,1.2,30.41,January,Winter,Christmas & New Year,56.444444444444436,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-02 10:00:00,13.11,24.84,15.55,47.52,3.66,1.21,28.68,January,Winter,Christmas & New Year,56.98888888888888,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-02 11:00:00,16.26,23.42,16.33,47.7,3.1,0.88,29.1,January,Winter,Christmas & New Year,44.0,Good,Ambala,Haryana,30.3843674,76.770421
2024-01-02 12:00:00,19.67,27.01,16.2,47.88,2.31,0.81,28.51,January,Winter,Christmas & New Year,40.5,Good,Ambala,Haryana,30.3843674,76.770421
2024-01-02 13:00:00,23.07,25.75,15.34,47.85,3.6,0.79,26.76,January,Winter,Christmas & New Year,39.5,Good,Ambala,Haryana,30.3843674,76.770421
2024-01-02 14:00:00,24.84,28.14,15.56,47.8,2.57,0.82,24.59,January,Winter,Christmas & New Year,41.4,Good,Ambala,Haryana,30.3843674,76.770421
2024-01-02 15:00:00,24.62,28.5,15.64,47.92,1.97,0.82,24.78,January,Winter,Christmas & New Year,41.03333333333334,Good,Ambala,Haryana,30.3843674,76.770421
2024-01-02 16:00:00,24.71,28.26,11.0,36.85,1.13,0.8,25.92,January,Winter,Christmas & New Year,41.18333333333334,Good,Ambala,Haryana,30.3843674,76.770421
2024-01-02 17:00:00,27.49,34.83,10.11,34.0,0.4,0.8,24.04,January,Winter,Christmas & New Year,45.81666666666666,Good,Ambala,Haryana,30.3843674,76.770421
2024-01-02 18:00:00,32.52,36.64,9.88,33.78,6.03,0.82,27.51,January,Winter,Christmas & New Year,53.56827586206897,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-02 19:00:00,35.31,37.4,9.94,34.05,5.22,0.83,26.0,January,Winter,Christmas & New Year,58.28241379310345,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-02 20:00:00,37.345,70.52,10.07,34.45,6.66,0.79,25.75,January,Winter,Christmas & New Year,70.52,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-02 21:00:00,57.65,58.58,9.98,33.52,8.43,0.82,29.29,January,Winter,Christmas & New Year,96.02931034482759,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-02 22:00:00,57.5,58.18,10.11,34.08,3.49,0.66,25.61,January,Winter,Christmas & New Year,95.77586206896552,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-02 23:00:00,55.51,55.4,10.02,34.43,5.2,0.59,21.9,January,Winter,Christmas & New Year,92.41344827586207,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-03 00:00:00,52.26,52.85,5.92,21.75,3.97,1.02,18.24,January,Winter,Christmas & New Year,86.92206896551724,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-03 01:00:00,52.12,52.5,7.62,20.9,2.54,1.01,22.42,January,Winter,Christmas & New Year,86.6855172413793,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-03 02:00:00,50.68,55.41,8.03,20.12,5.11,1.01,23.29,January,Winter,Christmas & New Year,84.25241379310344,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-03 03:00:00,55.59,63.18,8.04,19.9,6.71,1.04,20.74,January,Winter,Christmas & New Year,92.54862068965518,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-03 04:00:00,58.34,63.3,7.95,20.2,7.02,1.01,21.0,January,Winter,Christmas & New Year,97.1951724137931,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-03 05:00:00,57.68,63.36,8.02,19.55,7.9,0.99,23.58,January,Winter,Christmas & New Year,96.08,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-03 06:00:00,54.82,60.83,8.07,20.25,7.82,0.99,21.16,January,Winter,Christmas & New Year,91.24758620689656,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-03 07:00:00,54.0,59.5,7.96,19.68,8.14,1.02,24.01,January,Winter,Christmas & New Year,89.86206896551724,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-03 08:00:00,56.47,59.68,14.07,40.98,6.81,1.14,26.01,January,Winter,Christmas & New Year,94.03551724137931,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-03 09:00:00,53.69,63.99,15.93,47.82,6.26,1.2,24.67,January,Winter,Christmas & New Year,89.33827586206897,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-03 10:00:00,57.06,65.64,16.34,48.18,7.29,1.2,25.74,January,Winter,Christmas & New Year,95.03241379310344,Satisfactory,Ambala,Haryana,30.3843674,76.770421
2024-01-03 11:00:00,57.54,63.37,15.84,47.45,6.63,0.89,25.69,January,Winter,Christmas & New Year,95.84344827586207,Satisfactory,Ambala,Haryana,30.3843674,76.770421
