TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,79.73,120.68,9.92,6.46,9.37,0.6,0.9,January,Winter,Christmas & New Year,164.94034482758622,Moderate,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-01 01:00:00,86.19,121.02,10.03,6.09,10.72,0.67,1.14,January,Winter,Christmas & New Year,186.99344827586208,Moderate,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-01 02:00:00,86.83,127.01,10.46,7.9,18.73,0.7,0.21,January,Winter,Christmas & New Year,189.17827586206897,Moderate,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-01 03:00:00,89.0,131.5,10.31,6.84,21.88,0.73,0.16,January,Winter,Christmas & New Year,196.58620689655172,Moderate,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-01 04:00:00,86.17,134.57,10.82,7.99,18.41,0.8,0.61,January,Winter,Christmas & New Year,186.92517241379312,Moderate,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-01 05:00:00,85.57,138.14,10.12,6.22,16.22,0.97,0.37,January,Winter,Christmas & New Year,184.87689655172412,Moderate,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-01 06:00:00,88.93,141.77,9.66,5.66,18.86,0.99,1.07,January,Winter,Christmas & New Year,196.34724137931036,Moderate,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-01 07:00:00,91.32,141.56,10.32,8.0,19.64,0.95,1.69,January,Winter,Christmas & New Year,202.09241379310342,Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-01 08:00:00,91.19,139.45,10.17,6.73,14.35,0.91,3.76,January,Winter,Christmas & New Year,201.64862068965516,Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-01 09:00:00,96.97,144.88,9.71,4.8,11.89,1.16,4.15,January,Winter,Christmas & New Year,221.3803448275862,Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-01 10:00:00,112.6,169.91,9.91,5.57,15.44,0.81,6.7,January,Winter,Christmas & New Year,274.73793103448276,Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-01 11:00:00,126.58,187.61,9.8,6.11,17.51,0.84,11.04,January,Winter,Christmas & New Year,305.28232558139536,Very Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-01 12:00:00,120.52,187.9,10.22,6.18,6.95,0.97,13.58,January,Winter,Christmas & New Year,158.73892617449667,Moderate,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-01 13:00:00,119.32,198.12,9.9,6.18,2.5,1.06,19.18,January,Winter,Christmas & New Year,297.67862068965513,Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-01 14:00:00,127.63,203.18,10.64,6.0,13.28,1.01,21.06,January,Winter,Christmas & New Year,306.08813953488374,Very Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-01 15:00:00,134.88,215.58,10.26,7.4,18.38,1.03,22.02,January,Winter,Christmas & New Year,311.6520930232558,Very Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-01 16:00:00,144.43,218.42,9.41,4.76,19.63,1.1,18.07,January,Winter,Christmas & New Year,318.9811627906977,Very Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-01 17:00:00,148.71,235.31,10.28,7.27,19.77,1.48,12.01,January,Winter,Christmas & New Year,322.26581395348836,Very Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-01 18:00:00,143.02,259.84,10.21,8.04,22.18,1.08,6.14,January,Winter,Christmas & New Year,317.89906976744186,Very Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-01 19:00:00,146.23,266.82,10.46,6.92,22.92,0.97,6.02,January,Winter,Christmas & New Year,320.3625581395349,Very Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-01 20:00:00,141.02,248.57,10.6,7.55,8.92,0.75,3.33,January,Winter,Christmas & New Year,316.36418604651163,Very Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-01 21:00:00,135.03,230.28,10.62,6.99,1.62,0.54,4.68,January,Winter,Christmas & New Year,311.76720930232557,Very Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-01 22:00:00,126.9,201.9,10.49,7.89,0.88,0.7,5.47,January,Winter,Christmas & New Year,305.5279069767442,Very Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-01 23:00:00,119.53,194.76,9.56,4.66,0.58,0.6,8.44,January,Winter,Christmas & New Year,298.3955172413793,Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-02 00:00:00,121.12,187.88,9.32,4.36,5.81,0.67,8.77,January,Winter,Christmas & New Year,301.0920930232558,Very Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-02 01:00:00,128.97,196.3,10.37,6.97,8.55,0.68,10.15,January,Winter,Christmas & New Year,307.11651162790696,Very Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-02 02:00:00,127.18,204.43,9.83,6.02,10.29,0.51,6.86,January,Winter,Christmas & New Year,305.7427906976744,Very Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-02 03:00:00,124.32,212.07,10.1,7.2,11.6,0.51,7.86,January,Winter,Christmas & New Year,303.5479069767442,Very Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-02 04:00:00,129.14,214.88,10.28,7.01,11.77,0.46,4.83,January,Winter,Christmas & New Year,307.24697674418604,Very Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-02 05:00:00,129.76,208.79,9.11,3.24,12.06,0.29,5.7,January,Winter,Christmas & New Year,307.72279069767444,Very Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-02 06:00:00,111.69,190.56,10.23,7.32,10.93,0.36,3.69,January,Winter,Christmas & New Year,271.6313793103448,Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-02 07:00:00,98.07,160.57,9.89,5.79,10.28,0.59,3.77,January,Winter,Christmas & New Year,225.1355172413793,Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-02 08:00:00,90.0,157.69,9.43,4.16,4.7,0.72,4.47,January,Winter,Christmas & New Year,200.0,Moderate,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-02 09:00:00,96.74,164.11,10.18,6.63,1.72,0.82,6.0,January,Winter,Christmas & New Year,220.59517241379308,Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-02 10:00:00,120.21,187.19,10.07,6.23,3.84,0.86,7.02,January,Winter,Christmas & New Year,158.2671812080537,Moderate,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-02 11:00:00,138.14,212.91,9.27,5.11,4.66,0.81,9.46,January,Winter,Christmas & New Year,314.1539534883721,Very Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-02 12:00:00,130.7,216.29,10.66,8.18,11.11,0.89,11.66,January,Winter,Christmas & New Year,308.4441860465116,Very Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-02 13:00:00,131.44,225.82,9.66,5.32,15.14,0.76,19.35,January,Winter,Christmas & New Year,309.01209302325583,Very Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-02 14:00:00,148.28,232.86,9.64,5.12,9.34,0.66,23.34,January,Winter,Christmas & New Year,321.9358139534884,Very Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-02 15:00:00,160.82,262.18,10.34,6.4,5.83,0.68,23.76,January,Winter,Christmas & New Year,331.5595348837209,Very Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-02 16:00:00,159.82,275.51,10.16,7.18,7.47,0.82,19.44,January,Winter,Christmas & New Year,330.7920930232558,Very Poor,Ballabgarh,Haryana,28.2940728,77.3592238
2024-01-02 17:00:00,165.82,289.27,10.17,6.78,8.0,1.32,16.62,January,Winter,Christmas & New Year,335.3967441860465,Very Poor,Ballabgarh,Haryana,28.2940728,77.3592238
