TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,81.4,125.25,6.98,24.3,9.25,1.47,11.14,January,Winter,Christmas & New Year,170.64137931034486,Moderate,Bhiwani,Haryana,28.7931703,76.1391283
2024-01-01 01:00:00,82.58,126.95,7.28,24.84,10.2,1.55,9.25,January,Winter,Christmas & New Year,174.6696551724138,Moderate,Bhiwani,Haryana,28.7931703,76.1391283
2024-01-01 02:00:00,87.5,134.6,7.25,24.52,9.47,1.65,9.74,January,Winter,Christmas & New Year,191.4655172413793,Moderate,Bhiwani,Haryana,28.7931703,76.1391283
2024-01-01 03:00:00,86.82,133.6,6.48,24.36,8.45,1.65,8.86,January,Winter,Christmas & New Year,189.14413793103446,Moderate,Bhiwani,Haryana,28.7931703,76.1391283
2024-01-01 04:00:00,88.55,136.25,7.22,24.31,10.16,1.67,9.39,January,Winter,Christmas & New Year,195.04999999999998,Moderate,Bhiwani,Haryana,28.7931703,76.1391283
2024-01-01 05:00:00,89.08,137.1,7.95,24.65,10.04,1.56,9.95,January,Winter,Christmas & New Year,196.85931034482758,Moderate,Bhiwani,Haryana,28.7931703,76.1391283
2024-01-01 06:00:00,90.25,138.85,6.64,24.29,11.62,1.54,13.16,January,Winter,Christmas & New Year,126.1486577181208,Moderate,Bhiwani,Haryana,28.7931703,76.1391283
2024-01-01 07:00:00,93.1,143.3,6.84,24.0,11.67,1.53,10.82,January,Winter,Christmas & New Year,208.16896551724136,Poor,Bhiwani,Haryana,28.7931703,76.1391283
2024-01-01 08:00:00,91.55,140.85,6.76,23.49,8.24,1.66,72.88,January,Winter,Christmas & New Year,202.87758620689655,Poor,Bhiwani,Haryana,28.7931703,76.1391283
2024-01-01 09:00:00,83.4,128.35,6.63,24.82,8.24,1.16,9.61,January,Winter,Christmas & New Year,177.4689655172414,Moderate,Bhiwani,Haryana,28.7931703,76.1391283
2024-01-01 10:00:00,89.25,137.38,6.64,24.8,8.24,1.1,13.35,January,Winter,Christmas & New Year,197.43965517241378,Moderate,Bhiwani,Haryana,28.7931703,76.1391283
2024-01-01 11:00:00,97.0,149.18,6.74,24.78,8.24,1.09,10.6,January,Winter,Christmas & New Year,221.48275862068965,Poor,Bhiwani,Haryana,28.7931703,76.1391283
2024-01-01 12:00:00,104.95,161.45,7.6,24.7,13.44,1.04,8.69,January,Winter,Christmas & New Year,248.62241379310345,Poor,Bhiwani,Haryana,28.7931703,76.1391283
2024-01-01 13:00:00,110.35,169.8,6.46,24.16,13.31,1.08,9.64,January,Winter,Christmas & New Year,267.0568965517241,Poor,Bhiwani,Haryana,28.7931703,76.1391283
2024-01-01 14:00:00,111.88,172.18,7.31,24.97,11.85,1.14,9.54,January,Winter,Christmas & New Year,272.28,Poor,Bhiwani,Haryana,28.7931703,76.1391283
2024-01-01 15:00:00,111.6,171.75,7.27,24.71,11.33,1.1,8.54,January,Winter,Christmas & New Year,271.32413793103444,Poor,Bhiwani,Haryana,28.7931703,76.1391283
2024-01-01 16:00:00,104.92,161.4,7.09,24.39,9.14,1.06,11.84,January,Winter,Christmas & New Year,248.52,Poor,Bhiwani,Haryana,28.7931703,76.1391283
2024-01-01 17:00:00,89.98,138.38,6.75,24.52,10.07,1.25,10.68,January,Winter,Christmas & New Year,199.93172413793104,Moderate,Bhiwani,Haryana,28.7931703,76.1391283
2024-01-01 18:00:00,79.82,122.88,6.28,24.77,10.24,1.3,10.44,January,Winter,Christmas & New Year,165.24758620689653,Moderate,Bhiwani,Haryana,28.7931703,76.1391283
2024-01-01 19:00:00,59.78,91.93,7.8,24.44,10.15,1.28,10.59,January,Winter,Christmas & New Year,99.62827586206896,Satisfactory,Bhiwani,Haryana,28.7931703,76.1391283
2024-01-01 20:00:00,53.37,82.07,7.8,25.02,10.58,1.37,9.71,January,Winter,Christmas & New Year,88.79758620689654,Satisfactory,Bhiwani,Haryana,28.7931703,76.1391283
2024-01-01 21:00:00,40.72,62.68,7.69,24.44,10.38,1.26,8.85,January,Winter,Christmas & New Year,67.42344827586207,Satisfactory,Bhiwani,Haryana,28.7931703,76.1391283
