TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,117.1,217.13,20.99,25.97,11.04,0.68,27.5,January,Winter,Christmas & New Year,290.09999999999997,Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-01 01:00:00,113.96,212.95,19.74,25.65,11.5,0.69,22.91,January,Winter,Christmas & New Year,279.3806896551724,Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-01 02:00:00,115.35,203.04,21.6,24.93,11.46,0.7,23.94,January,Winter,Christmas & New Year,284.1258620689655,Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-01 03:00:00,111.18,201.54,21.07,24.73,11.52,0.71,21.57,January,Winter,Christmas & New Year,269.8903448275862,Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-01 04:00:00,112.81,206.71,23.42,24.66,11.61,0.59,25.82,January,Winter,Christmas & New Year,275.4548275862069,Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-01 05:00:00,124.76,211.18,24.16,24.55,13.57,0.96,29.31,January,Winter,Christmas & New Year,303.8855813953488,Very Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-01 06:00:00,128.03,235.55,25.06,24.64,13.51,1.01,37.11,January,Winter,Christmas & New Year,306.3951162790698,Very Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-01 07:00:00,119.41,208.3,24.68,24.69,11.44,0.93,23.29,January,Winter,Christmas & New Year,297.9858620689655,Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-01 08:00:00,125.44,219.67,22.15,24.56,11.47,0.9,28.98,January,Winter,Christmas & New Year,304.4074418604651,Very Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-01 09:00:00,125.0,229.77,22.16,25.2,11.46,0.92,31.87,January,Winter,Christmas & New Year,304.06976744186045,Very Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-01 10:00:00,128.97,229.98,22.36,25.78,11.54,0.88,31.79,January,Winter,Christmas & New Year,307.11651162790696,Very Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-01 11:00:00,139.36,235.86,24.66,25.96,11.48,0.82,36.68,January,Winter,Christmas & New Year,315.0902325581395,Very Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-01 12:00:00,146.38,248.78,25.42,25.89,11.39,0.92,32.74,January,Winter,Christmas & New Year,320.47767441860464,Very Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-01 13:00:00,160.05,272.1,27.64,25.8,11.28,1.0,43.1,January,Winter,Christmas & New Year,330.9686046511628,Very Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-01 14:00:00,180.87,301.24,26.36,25.87,10.98,0.9,56.17,January,Winter,Christmas & New Year,346.94674418604654,Very Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-01 15:00:00,180.6,315.1,27.2,24.96,10.84,0.82,40.75,January,Winter,Christmas & New Year,346.7395348837209,Very Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-01 16:00:00,180.16,315.43,30.42,24.79,10.93,1.12,43.8,January,Winter,Christmas & New Year,346.4018604651163,Very Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-01 17:00:00,183.84,326.57,31.94,24.77,10.72,1.13,40.31,January,Winter,Christmas & New Year,349.22604651162794,Very Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-01 18:00:00,181.99,326.8,29.13,24.64,10.71,1.19,32.45,January,Winter,Christmas & New Year,347.80627906976747,Very Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-01 19:00:00,174.85,314.96,27.28,24.49,11.28,1.17,23.48,January,Winter,Christmas & New Year,342.32674418604654,Very Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-01 20:00:00,156.74,288.77,23.58,24.31,11.08,1.1,31.25,January,Winter,Christmas & New Year,328.42837209302326,Very Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-01 21:00:00,155.89,267.89,26.3,24.31,11.15,0.99,25.97,January,Winter,Christmas & New Year,327.7760465116279,Very Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-01 22:00:00,153.38,261.78,24.96,24.14,11.09,0.96,24.88,January,Winter,Christmas & New Year,325.8497674418605,Very Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-01 23:00:00,148.37,259.89,23.84,23.85,11.14,0.85,31.99,January,Winter,Christmas & New Year,322.00488372093025,Very Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-02 00:00:00,146.97,259.6,21.84,23.27,11.22,0.82,28.91,January,Winter,Christmas & New Year,320.9304651162791,Very Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-02 01:00:00,147.9,264.41,22.97,23.15,11.42,0.92,29.28,January,Winter,Christmas & New Year,321.6441860465116,Very Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-02 02:00:00,150.5,273.04,23.68,23.18,11.43,0.8,29.26,January,Winter,Christmas & New Year,323.63953488372096,Very Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-02 03:00:00,149.19,284.86,21.73,22.77,11.46,0.76,26.54,January,Winter,Christmas & New Year,322.6341860465116,Very Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-02 04:00:00,146.01,281.26,22.78,22.83,11.36,0.71,24.33,January,Winter,Christmas & New Year,320.19372093023253,Very Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-02 05:00:00,133.32,268.73,23.38,22.92,11.26,0.66,26.7,January,Winter,Christmas & New Year,310.45488372093024,Very Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-02 06:00:00,117.53,235.1,21.39,23.18,11.16,0.63,23.31,January,Winter,Christmas & New Year,291.56793103448274,Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-02 07:00:00,117.32,211.36,22.58,23.16,11.48,0.57,24.18,January,Winter,Christmas & New Year,290.85103448275856,Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-02 08:00:00,123.39,214.99,21.39,23.29,11.62,0.6,31.02,January,Winter,Christmas & New Year,302.8341860465116,Very Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-02 09:00:00,128.92,229.27,19.37,23.99,11.54,0.65,24.17,January,Winter,Christmas & New Year,307.0781395348837,Very Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-02 10:00:00,141.65,247.09,20.42,24.52,11.22,0.68,29.68,January,Winter,Christmas & New Year,316.84767441860464,Very Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-02 11:00:00,156.98,270.62,20.49,23.69,11.2,0.7,31.17,January,Winter,Christmas & New Year,328.6125581395349,Very Poor,Faridabad,Haryana,28.4031478,77.3105561
2024-01-02 12:00:00,174.22,295.67,21.86,24.31,9.52,0.88,42.54,January,Winter,Christmas & New Year,341.8432558139535,Very Poor,Faridabad,Haryana,28.4031478,77.3105561
