TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,121.42,253.82,21.43,93.46,10.02,2.03,16.74,January,Winter,Christmas & New Year,301.3223255813954,Very Poor,Gurugram,Haryana,28.4808629,77.0848883
2024-01-01 01:00:00,120.72,248.78,22.59,101.84,10.26,2.04,21.92,January,Winter,Christmas & New Year,199.18939597315438,Moderate,Gurugram,Haryana,28.4808629,77.0848883
2024-01-01 02:00:00,121.62,232.97,20.19,99.9,11.26,1.77,18.93,January,Winter,Christmas & New Year,301.4758139534884,Very Poor,Gurugram,Haryana,28.4808629,77.0848883
2024-01-01 03:00:00,114.74,227.51,21.23,103.73,11.15,2.21,18.94,January,Winter,Christmas & New Year,282.04344827586203,Poor,Gurugram,Haryana,28.4808629,77.0848883
2024-01-01 04:00:00,113.82,236.8,22.22,97.81,10.99,2.02,15.29,January,Winter,Christmas & New Year,278.9027586206896,Poor,Gurugram,Haryana,28.4808629,77.0848883
2024-01-01 05:00:00,116.16,238.36,22.64,92.9,11.65,1.8,15.48,January,Winter,Christmas & New Year,286.89103448275864,Poor,Gurugram,Haryana,28.4808629,77.0848883
2024-01-01 06:00:00,124.03,235.94,24.19,92.96,11.45,2.41,18.35,January,Winter,Christmas & New Year,303.3253488372093,Very Poor,Gurugram,Haryana,28.4808629,77.0848883
2024-01-01 07:00:00,119.89,239.18,24.81,91.42,11.31,2.57,18.8,January,Winter,Christmas & New Year,299.6244827586207,Poor,Gurugram,Haryana,28.4808629,77.0848883
2024-01-01 08:00:00,117.14,234.93,22.13,83.22,11.25,1.74,27.4,January,Winter,Christmas & New Year,290.23655172413794,Poor,Gurugram,Haryana,28.4808629,77.0848883
2024-01-01 09:00:00,120.51,229.41,22.77,91.37,11.08,2.56,31.02,January,Winter,Christmas & New Year,186.31939597315437,Moderate,Gurugram,Haryana,28.4808629,77.0848883
2024-01-01 10:00:00,115.29,238.51,29.54,92.47,11.03,2.0,32.04,January,Winter,Christmas & New Year,283.9210344827586,Poor,Gurugram,Haryana,28.4808629,77.0848883
2024-01-01 11:00:00,105.92,193.04,30.82,96.22,11.36,2.0,39.26,January,Winter,Christmas & New Year,251.9337931034483,Poor,Gurugram,Haryana,28.4808629,77.0848883
2024-01-01 12:00:00,118.86,302.55,34.72,101.88,11.12,2.68,38.44,January,Winter,Christmas & New Year,296.108275862069,Poor,Gurugram,Haryana,28.4808629,77.0848883
2024-01-01 13:00:00,141.11,322.91,54.64,104.05,4.36,2.12,36.98,January,Winter,Christmas & New Year,316.4332558139535,Very Poor,Gurugram,Haryana,28.4808629,77.0848883
2024-01-01 14:00:00,128.08,313.34,52.6,96.74,4.44,1.95,39.91,January,Winter,Christmas & New Year,306.43348837209305,Very Poor,Gurugram,Haryana,28.4808629,77.0848883
2024-01-01 15:00:00,89.78,213.44,52.33,99.14,3.77,1.91,34.17,January,Winter,Christmas & New Year,199.2489655172414,Moderate,Gurugram,Haryana,28.4808629,77.0848883
2024-01-01 16:00:00,102.38,239.61,42.85,85.2,2.73,1.65,36.6,January,Winter,Christmas & New Year,239.84896551724137,Poor,Gurugram,Haryana,28.4808629,77.0848883
2024-01-01 17:00:00,66.45,231.04,31.22,89.62,12.29,2.08,33.46,January,Winter,Christmas & New Year,187.40241610738255,Moderate,Gurugram,Haryana,28.4808629,77.0848883
2024-01-01 18:00:00,66.15,218.45,29.1,92.22,11.07,1.42,28.29,January,Winter,Christmas & New Year,179.03724832214766,Moderate,Gurugram,Haryana,28.4808629,77.0848883
2024-01-01 19:00:00,85.02,213.17,28.24,93.26,9.37,1.48,26.9,January,Winter,Christmas & New Year,182.99931034482756,Moderate,Gurugram,Haryana,28.4808629,77.0848883
2024-01-01 20:00:00,107.36,236.06,27.52,88.68,8.61,1.82,20.91,January,Winter,Christmas & New Year,256.8496551724138,Poor,Gurugram,Haryana,28.4808629,77.0848883
2024-01-01 21:00:00,106.92,259.26,27.15,83.68,8.12,1.83,20.88,January,Winter,Christmas & New Year,255.34758620689655,Poor,Gurugram,Haryana,28.4808629,77.0848883
2024-01-01 22:00:00,112.64,278.23,27.39,80.1,9.23,2.59,20.48,January,Winter,Christmas & New Year,274.8744827586207,Poor,Gurugram,Haryana,28.4808629,77.0848883
