TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,60.75,100.08,5.22,10.43,4.28,2.04,31.88,January,Winter,Christmas & New Year,31.88,Good,Hisar,Haryana,29.2396596,75.8174505
2024-01-01 01:00:00,66.45,104.0,4.97,9.95,6.63,2.03,28.44,January,Winter,Christmas & New Year,119.60517241379311,Moderate,Hisar,Haryana,29.2396596,75.8174505
2024-01-01 02:00:00,68.6,110.42,4.58,9.15,21.5,2.06,24.54,January,Winter,Christmas & New Year,126.94482758620688,Moderate,Hisar,Haryana,29.2396596,75.8174505
2024-01-01 03:00:00,71.2,125.62,5.98,11.95,28.08,2.06,21.1,January,Winter,Christmas & New Year,135.82068965517243,Moderate,Hisar,Haryana,29.2396596,75.8174505
2024-01-01 04:00:00,75.35,133.98,6.44,12.87,28.08,2.02,25.34,January,Winter,Christmas & New Year,149.98793103448276,Moderate,Hisar,Haryana,29.2396596,75.8174505
2024-01-01 05:00:00,70.92,129.8,5.18,10.36,27.88,2.01,28.2,January,Winter,Christmas & New Year,134.8648275862069,Moderate,Hisar,Haryana,29.2396596,75.8174505
2024-01-01 06:00:00,66.68,118.78,6.1,12.2,21.95,2.03,27.23,January,Winter,Christmas & New Year,120.39034482758623,Moderate,Hisar,Haryana,29.2396596,75.8174505
2024-01-01 07:00:00,62.65,109.5,7.05,14.1,12.75,2.01,21.74,January,Winter,Christmas & New Year,106.64765100671141,Moderate,Hisar,Haryana,29.2396596,75.8174505
2024-01-01 08:00:00,65.32,106.95,5.29,10.58,7.43,2.05,18.12,January,Winter,Christmas & New Year,115.74758620689653,Moderate,Hisar,Haryana,29.2396596,75.8174505
2024-01-01 09:00:00,75.38,117.5,6.22,12.43,5.63,2.11,17.36,January,Winter,Christmas & New Year,150.0903448275862,Moderate,Hisar,Haryana,29.2396596,75.8174505
2024-01-01 10:00:00,81.45,132.98,7.02,14.03,7.08,2.16,17.4,January,Winter,Christmas & New Year,170.81206896551726,Moderate,Hisar,Haryana,29.2396596,75.8174505
2024-01-01 11:00:00,85.32,144.02,6.91,13.82,5.6,2.14,17.58,January,Winter,Christmas & New Year,184.02344827586205,Moderate,Hisar,Haryana,29.2396596,75.8174505
2024-01-01 12:00:00,90.98,155.82,6.82,13.64,12.03,2.14,24.78,January,Winter,Christmas & New Year,137.42402684563757,Moderate,Hisar,Haryana,29.2396596,75.8174505
2024-01-01 13:00:00,92.45,153.65,7.65,15.3,23.69,2.2,29.76,January,Winter,Christmas & New Year,205.95000000000002,Poor,Hisar,Haryana,29.2396596,75.8174505
2024-01-01 14:00:00,89.98,144.78,6.3,12.6,15.6,2.25,23.84,January,Winter,Christmas & New Year,199.93172413793104,Moderate,Hisar,Haryana,29.2396596,75.8174505
2024-01-01 15:00:00,91.43,147.07,5.66,11.34,7.06,2.19,21.37,January,Winter,Christmas & New Year,202.46793103448277,Poor,Hisar,Haryana,29.2396596,75.8174505
2024-01-01 16:00:00,95.55,154.8,5.94,11.87,11.73,2.15,30.02,January,Winter,Christmas & New Year,216.53275862068963,Poor,Hisar,Haryana,29.2396596,75.8174505
2024-01-01 17:00:00,81.82,145.88,5.96,11.93,9.13,2.22,30.42,January,Winter,Christmas & New Year,172.0751724137931,Moderate,Hisar,Haryana,29.2396596,75.8174505
2024-01-01 18:00:00,67.95,124.93,6.34,12.68,12.83,2.24,28.04,January,Winter,Christmas & New Year,124.72586206896553,Moderate,Hisar,Haryana,29.2396596,75.8174505
2024-01-01 19:00:00,61.8,107.48,7.04,14.07,18.56,2.26,26.58,January,Winter,Christmas & New Year,105.3055033557047,Moderate,Hisar,Haryana,29.2396596,75.8174505
2024-01-01 20:00:00,55.62,99.82,7.81,15.62,10.48,2.1,25.99,January,Winter,Christmas & New Year,101.0,Moderate,Hisar,Haryana,29.2396596,75.8174505
2024-01-01 21:00:00,51.75,90.12,6.86,13.73,5.16,2.02,26.46,January,Winter,Christmas & New Year,90.12,Satisfactory,Hisar,Haryana,29.2396596,75.8174505
2024-01-01 22:00:00,47.02,82.92,6.6,13.21,1.76,2.0,26.1,January,Winter,Christmas & New Year,100.0,Satisfactory,Hisar,Haryana,29.2396596,75.8174505
