TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,78.12,183.12,16.8,28.7,11.3,0.95,10.86,January,Winter,Christmas & New Year,159.4441379310345,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-01 01:00:00,84.7,198.35,14.31,20.84,8.59,0.85,12.22,January,Winter,Christmas & New Year,181.90689655172415,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-01 02:00:00,79.95,187.32,15.16,18.64,10.56,0.86,11.33,January,Winter,Christmas & New Year,165.69137931034484,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-01 03:00:00,74.8,175.32,13.95,17.49,13.01,0.98,10.98,January,Winter,Christmas & New Year,150.38040268456376,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-01 04:00:00,75.75,177.58,13.04,20.05,14.15,1.11,9.5,January,Winter,Christmas & New Year,151.8820134228188,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-01 05:00:00,74.75,175.2,15.46,24.6,10.72,1.06,7.95,January,Winter,Christmas & New Year,150.30067114093958,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-01 06:00:00,76.22,178.55,15.32,23.96,7.99,0.86,10.63,January,Winter,Christmas & New Year,152.95793103448275,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-01 07:00:00,76.5,179.18,13.37,17.84,8.61,0.88,10.82,January,Winter,Christmas & New Year,153.91379310344828,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-01 08:00:00,73.53,172.22,12.92,14.58,12.35,0.95,13.47,January,Winter,Christmas & New Year,148.3206711409396,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-01 09:00:00,74.63,174.9,15.82,19.13,14.0,0.95,17.86,January,Winter,Christmas & New Year,150.1013422818792,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-01 10:00:00,81.4,190.68,16.4,26.02,13.86,0.92,21.54,January,Winter,Christmas & New Year,170.64137931034486,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-01 11:00:00,88.02,206.22,15.07,22.71,11.99,0.88,26.09,January,Winter,Christmas & New Year,193.2406896551724,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-01 12:00:00,90.2,211.3,14.62,23.94,12.67,0.89,30.95,January,Winter,Christmas & New Year,174.28657718120806,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-01 13:00:00,92.0,215.52,13.47,15.18,15.84,0.92,32.74,January,Winter,Christmas & New Year,204.41379310344828,Poor,Manesar,Haryana,28.3247096,76.9263787
2024-01-01 14:00:00,84.05,196.9,14.33,18.43,19.32,0.88,37.04,January,Winter,Christmas & New Year,179.68793103448274,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-01 15:00:00,77.78,182.12,13.84,21.13,20.54,0.82,33.33,January,Winter,Christmas & New Year,158.28344827586207,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-01 16:00:00,74.72,175.08,12.22,19.79,16.08,0.73,28.45,January,Winter,Christmas & New Year,150.22093959731546,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-01 17:00:00,65.15,152.57,15.04,20.6,14.78,0.68,20.16,January,Winter,Christmas & New Year,135.26463087248322,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-01 18:00:00,62.4,146.32,13.06,16.61,16.12,0.64,13.29,January,Winter,Christmas & New Year,131.11194630872484,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-01 19:00:00,61.52,144.18,12.66,16.65,18.34,0.68,12.07,January,Winter,Christmas & New Year,129.69006711409398,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-01 20:00:00,59.0,138.28,12.18,18.27,19.57,0.83,13.75,January,Winter,Christmas & New Year,125.76993288590604,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-01 21:00:00,72.4,169.52,12.84,23.23,16.04,0.76,13.3,January,Winter,Christmas & New Year,146.526711409396,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-01 22:00:00,69.18,162.07,15.35,21.9,13.71,0.55,14.43,January,Winter,Christmas & New Year,141.57671140939595,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-01 23:00:00,75.7,177.37,11.54,19.68,14.14,0.35,17.27,January,Winter,Christmas & New Year,151.7424832214765,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-02 00:00:00,93.62,219.32,13.3,11.84,15.73,0.44,16.74,January,Winter,Christmas & New Year,209.9441379310345,Poor,Manesar,Haryana,28.3247096,76.9263787
2024-01-02 01:00:00,88.48,207.3,13.79,16.29,15.95,0.44,15.67,January,Winter,Christmas & New Year,194.81103448275863,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-02 02:00:00,84.58,198.18,13.72,18.59,14.46,0.38,15.65,January,Winter,Christmas & New Year,181.49724137931034,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-02 03:00:00,72.28,169.25,12.22,20.22,11.27,0.28,18.68,January,Winter,Christmas & New Year,146.34731543624162,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-02 04:00:00,55.7,130.62,14.29,15.45,10.7,0.46,16.11,January,Winter,Christmas & New Year,120.68040268456376,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-02 05:00:00,34.3,80.42,12.77,14.05,12.95,0.5,17.02,January,Winter,Christmas & New Year,80.42,Satisfactory,Manesar,Haryana,28.3247096,76.9263787
2024-01-02 06:00:00,33.78,79.07,11.93,15.82,14.24,0.56,16.53,January,Winter,Christmas & New Year,79.07,Satisfactory,Manesar,Haryana,28.3247096,76.9263787
2024-01-02 07:00:00,56.3,92.41,16.884999999999998,20.42,9.06,0.58,21.58,January,Winter,Christmas & New Year,93.74827586206897,Satisfactory,Manesar,Haryana,28.3247096,76.9263787
2024-01-02 08:00:00,56.3,92.41,16.884999999999998,20.42,9.06,0.58,21.58,January,Winter,Christmas & New Year,93.74827586206897,Satisfactory,Manesar,Haryana,28.3247096,76.9263787
2024-01-02 09:00:00,56.3,92.41,16.884999999999998,20.42,9.06,0.58,21.58,January,Winter,Christmas & New Year,93.74827586206897,Satisfactory,Manesar,Haryana,28.3247096,76.9263787
2024-01-02 10:00:00,56.3,92.41,16.884999999999998,20.42,9.06,0.58,21.58,January,Winter,Christmas & New Year,93.74827586206897,Satisfactory,Manesar,Haryana,28.3247096,76.9263787
2024-01-02 11:00:00,56.3,92.41,16.884999999999998,20.42,9.06,0.58,21.58,January,Winter,Christmas & New Year,93.74827586206897,Satisfactory,Manesar,Haryana,28.3247096,76.9263787
2024-01-02 12:00:00,56.3,92.41,16.884999999999998,20.42,9.06,0.58,21.58,January,Winter,Christmas & New Year,93.74827586206897,Satisfactory,Manesar,Haryana,28.3247096,76.9263787
2024-01-02 13:00:00,56.3,92.41,16.884999999999998,20.42,9.06,0.58,21.58,January,Winter,Christmas & New Year,93.74827586206897,Satisfactory,Manesar,Haryana,28.3247096,76.9263787
2024-01-02 14:00:00,56.3,92.41,16.884999999999998,20.42,9.06,0.58,21.58,January,Winter,Christmas & New Year,93.74827586206897,Satisfactory,Manesar,Haryana,28.3247096,76.9263787
2024-01-02 15:00:00,25.35,57.9,12.58,13.62,9.06,0.08,39.67,January,Winter,Christmas & New Year,57.9,Satisfactory,Manesar,Haryana,28.3247096,76.9263787
2024-01-02 16:00:00,46.08,108.0,12.94,13.14,3.16,0.52,40.37,January,Winter,Christmas & New Year,105.6510067114094,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-02 17:00:00,54.1,126.7,14.62,10.31,9.06,0.49,22.94,January,Winter,Christmas & New Year,118.0758389261745,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-02 18:00:00,67.0,157.02,16.13,6.86,9.06,0.66,12.3,January,Winter,Christmas & New Year,138.2213422818792,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-02 19:00:00,89.93,210.58,15.1,10.9,9.06,0.65,9.0,January,Winter,Christmas & New Year,199.76103448275865,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-02 20:00:00,99.22,232.45,14.83,14.74,9.06,1.11,7.56,January,Winter,Christmas & New Year,229.06137931034482,Poor,Manesar,Haryana,28.3247096,76.9263787
2024-01-02 21:00:00,102.48,240.1,16.76,16.48,9.06,1.14,8.06,January,Winter,Christmas & New Year,240.19034482758622,Poor,Manesar,Haryana,28.3247096,76.9263787
2024-01-02 22:00:00,109.4,256.27,16.61,12.83,9.06,0.86,6.89,January,Winter,Christmas & New Year,263.8137931034483,Poor,Manesar,Haryana,28.3247096,76.9263787
2024-01-02 23:00:00,99.9,234.07,13.42,7.9,9.06,0.9,6.01,January,Winter,Christmas & New Year,231.38275862068969,Poor,Manesar,Haryana,28.3247096,76.9263787
2024-01-03 00:00:00,98.72,231.35,12.99,8.13,15.14,0.84,6.19,January,Winter,Christmas & New Year,227.3544827586207,Poor,Manesar,Haryana,28.3247096,76.9263787
2024-01-03 01:00:00,97.28,227.85,15.37,15.5,12.04,0.86,6.65,January,Winter,Christmas & New Year,222.43862068965518,Poor,Manesar,Haryana,28.3247096,76.9263787
2024-01-03 02:00:00,95.2,223.1,13.55,9.86,8.28,0.78,6.1,January,Winter,Christmas & New Year,215.33793103448278,Poor,Manesar,Haryana,28.3247096,76.9263787
2024-01-03 03:00:00,89.48,209.58,13.98,9.46,5.56,0.73,6.32,January,Winter,Christmas & New Year,198.2248275862069,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-03 04:00:00,84.22,197.32,13.28,6.25,6.3,0.99,6.23,January,Winter,Christmas & New Year,180.26827586206895,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-03 05:00:00,77.58,181.75,14.0,8.17,8.15,0.98,7.51,January,Winter,Christmas & New Year,157.6006896551724,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-03 06:00:00,80.75,189.12,13.59,9.84,8.32,1.04,8.16,January,Winter,Christmas & New Year,168.42241379310343,Moderate,Manesar,Haryana,28.3247096,76.9263787
2024-01-03 07:00:00,80.15,187.77,16.42,14.01,4.71,0.92,10.2,January,Winter,Christmas & New Year,166.3741379310345,Moderate,Manesar,Haryana,28.3247096,76.9263787
