TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,67.02,154.45,13.0,20.8,10.21,0.3,0.54,January,Winter,Christmas & New Year,136.51375838926174,Moderate,Narnaul,Haryana,28.0438456,76.1062015
2024-01-01 01:00:00,70.68,156.28,13.7,21.92,10.22,0.29,0.67,January,Winter,Christmas & New Year,137.7296644295302,Moderate,Narnaul,Haryana,28.0438456,76.1062015
2024-01-01 02:00:00,69.6,154.28,14.03,22.44,10.23,0.28,1.62,January,Winter,Christmas & New Year,136.4008053691275,Moderate,Narnaul,Haryana,28.0438456,76.1062015
2024-01-01 03:00:00,66.08,149.78,14.18,22.68,10.23,0.26,2.72,January,Winter,Christmas & New Year,133.41087248322148,Moderate,Narnaul,Haryana,28.0438456,76.1062015
2024-01-01 04:00:00,63.72,148.95,14.18,22.69,10.18,0.25,2.65,January,Winter,Christmas & New Year,132.85939597315436,Moderate,Narnaul,Haryana,28.0438456,76.1062015
2024-01-01 05:00:00,62.99,150.3,14.58,23.33,10.17,0.23,2.78,January,Winter,Christmas & New Year,133.75637583892617,Moderate,Narnaul,Haryana,28.0438456,76.1062015
2024-01-01 06:00:00,63.21,149.32,14.16,22.66,10.15,0.22,2.81,January,Winter,Christmas & New Year,133.10523489932885,Moderate,Narnaul,Haryana,28.0438456,76.1062015
2024-01-01 07:00:00,62.12,139.2,13.37,21.39,10.12,0.2,3.0,January,Winter,Christmas & New Year,126.38120805369127,Moderate,Narnaul,Haryana,28.0438456,76.1062015
2024-01-01 08:00:00,60.33,139.3,24.9,39.84,10.11,0.21,2.7,January,Winter,Christmas & New Year,126.44765100671142,Moderate,Narnaul,Haryana,28.0438456,76.1062015
2024-01-01 09:00:00,60.55,141.62,27.87,44.6,10.13,0.21,2.73,January,Winter,Christmas & New Year,127.98912751677852,Moderate,Narnaul,Haryana,28.0438456,76.1062015
2024-01-01 10:00:00,61.09,143.95,28.52,45.64,10.13,0.21,2.5,January,Winter,Christmas & New Year,129.53724832214763,Moderate,Narnaul,Haryana,28.0438456,76.1062015
2024-01-01 11:00:00,63.41,150.75,27.22,43.55,10.22,0.28,7.32,January,Winter,Christmas & New Year,134.05536912751677,Moderate,Narnaul,Haryana,28.0438456,76.1062015
