TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,88.92,207.88,24.08,9.88,9.94,0.48,31.28,January,Winter,Christmas & New Year,196.31310344827585,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-01 01:00:00,89.2,208.43,23.92,10.21,9.95,0.49,31.46,January,Winter,Christmas & New Year,197.26896551724138,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-01 02:00:00,91.65,213.28,24.49,10.17,10.1,0.52,33.11,January,Winter,Christmas & New Year,203.2189655172414,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-01 03:00:00,92.72,215.45,23.62,9.99,10.16,0.53,33.85,January,Winter,Christmas & New Year,206.87172413793104,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-01 04:00:00,91.5,213.02,24.69,10.15,10.09,0.52,33.03,January,Winter,Christmas & New Year,202.70689655172413,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-01 05:00:00,91.55,213.1,25.2,9.84,10.1,0.52,33.06,January,Winter,Christmas & New Year,202.87758620689655,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-01 06:00:00,85.9,201.82,25.09,9.97,9.75,0.45,29.22,January,Winter,Christmas & New Year,186.00344827586207,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-01 07:00:00,90.88,211.78,24.45,10.42,10.06,0.51,32.61,January,Winter,Christmas & New Year,174.60550335570468,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-01 08:00:00,91.55,213.12,23.74,9.67,10.09,0.52,33.05,January,Winter,Christmas & New Year,202.87758620689655,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-01 09:00:00,91.72,213.45,24.15,9.98,10.1,0.52,33.18,January,Winter,Christmas & New Year,203.45793103448275,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-01 10:00:00,88.7,207.4,24.03,9.46,9.92,0.48,31.12,January,Winter,Christmas & New Year,195.56206896551726,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-01 11:00:00,89.98,209.98,24.15,9.68,10.0,0.5,31.98,January,Winter,Christmas & New Year,199.93172413793104,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-01 12:00:00,95.0,220.1,24.76,9.32,10.3,0.56,35.42,January,Winter,Christmas & New Year,214.6551724137931,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-01 13:00:00,90.7,211.3,23.38,9.91,10.04,0.51,32.44,January,Winter,Christmas & New Year,174.28657718120806,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-01 14:00:00,94.5,219.1,26.64,10.26,10.27,0.55,35.09,January,Winter,Christmas & New Year,212.94827586206895,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-01 15:00:00,90.8,211.5,24.06,10.15,10.05,0.51,32.52,January,Winter,Christmas & New Year,174.41946308724835,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-01 16:00:00,89.4,208.8,23.89,10.27,9.96,0.49,31.58,January,Winter,Christmas & New Year,197.95172413793105,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-01 17:00:00,84.0,197.9,24.69,8.97,9.64,0.43,27.89,January,Winter,Christmas & New Year,179.51724137931035,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-01 18:00:00,93.35,216.68,23.17,9.76,10.2,0.54,34.27,January,Winter,Christmas & New Year,209.02241379310342,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-01 19:00:00,89.95,209.85,23.44,10.85,10.0,0.5,31.95,January,Winter,Christmas & New Year,199.8293103448276,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-01 20:00:00,90.3,210.6,24.53,9.72,10.02,0.5,32.2,January,Winter,Christmas & New Year,173.8214765100671,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-01 21:00:00,89.18,208.32,23.46,9.96,9.95,0.49,31.42,January,Winter,Christmas & New Year,197.20068965517243,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-01 22:00:00,92.68,215.32,24.44,9.4,10.16,0.54,33.82,January,Winter,Christmas & New Year,206.73517241379312,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-01 23:00:00,89.93,209.8,23.9,9.72,10.0,0.5,31.94,January,Winter,Christmas & New Year,199.76103448275865,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-02 00:00:00,92.15,214.35,24.21,9.52,10.13,0.52,33.47,January,Winter,Christmas & New Year,204.92586206896553,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-02 01:00:00,90.15,210.32,23.98,9.98,10.01,0.5,32.1,January,Winter,Christmas & New Year,173.63543624161073,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-02 02:00:00,90.68,211.4,23.72,9.56,10.04,0.51,32.48,January,Winter,Christmas & New Year,174.3530201342282,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-02 03:00:00,88.28,206.5,23.27,10.46,9.9,0.48,30.82,January,Winter,Christmas & New Year,194.12827586206896,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-02 04:00:00,95.95,221.92,24.08,9.85,10.36,0.57,36.05,January,Winter,Christmas & New Year,217.89827586206897,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-02 05:00:00,89.72,209.45,23.77,9.72,9.98,0.5,31.81,January,Winter,Christmas & New Year,199.04413793103447,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-02 06:00:00,92.22,214.42,23.96,9.9,10.13,0.52,33.51,January,Winter,Christmas & New Year,205.16482758620688,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-02 07:00:00,92.8,215.6,24.24,10.44,10.17,0.54,33.91,January,Winter,Christmas & New Year,207.14482758620687,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-02 08:00:00,89.52,209.05,24.28,10.26,9.97,0.5,31.68,January,Winter,Christmas & New Year,198.36137931034483,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-02 09:00:00,90.15,210.3,23.12,10.09,10.01,0.5,32.11,January,Winter,Christmas & New Year,173.62214765100674,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-02 10:00:00,87.58,205.12,23.09,10.3,9.85,0.47,30.34,January,Winter,Christmas & New Year,191.73862068965516,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-02 11:00:00,85.75,201.5,22.84,9.74,9.75,0.45,29.11,January,Winter,Christmas & New Year,185.49137931034483,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-02 12:00:00,86.8,203.62,23.02,9.59,9.81,0.46,29.83,January,Winter,Christmas & New Year,189.0758620689655,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-02 13:00:00,88.75,207.48,24.82,9.59,9.93,0.48,31.15,January,Winter,Christmas & New Year,195.73275862068965,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-02 14:00:00,89.3,208.62,25.0,9.55,9.96,0.49,31.53,January,Winter,Christmas & New Year,197.61034482758618,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-02 15:00:00,88.25,206.52,23.65,9.82,9.9,0.48,30.82,January,Winter,Christmas & New Year,194.02586206896552,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-02 16:00:00,89.0,208.0,23.8,9.87,9.94,0.49,31.32,January,Winter,Christmas & New Year,196.58620689655172,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-02 17:00:00,94.18,218.32,24.71,9.86,10.25,0.55,34.83,January,Winter,Christmas & New Year,211.85586206896554,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-02 18:00:00,91.4,212.8,24.44,10.71,10.08,0.52,32.96,January,Winter,Christmas & New Year,202.36551724137934,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-02 19:00:00,89.3,208.62,24.06,9.98,9.96,0.49,31.52,January,Winter,Christmas & New Year,197.61034482758618,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-02 20:00:00,91.72,213.4,23.72,10.01,10.1,0.52,33.16,January,Winter,Christmas & New Year,203.45793103448275,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-02 21:00:00,92.02,214.0,24.22,10.14,10.12,0.52,33.37,January,Winter,Christmas & New Year,204.48206896551721,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-02 22:00:00,90.6,211.15,24.48,9.78,10.03,0.5,32.39,January,Winter,Christmas & New Year,174.18691275167788,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-02 23:00:00,91.03,212.03,23.99,9.78,10.06,0.51,32.69,January,Winter,Christmas & New Year,201.10241379310347,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-03 00:00:00,90.82,211.7,23.47,10.08,10.05,0.51,32.57,January,Winter,Christmas & New Year,174.5523489932886,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-03 01:00:00,89.32,208.65,24.04,10.05,9.96,0.49,31.54,January,Winter,Christmas & New Year,197.67862068965513,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-03 02:00:00,91.32,212.7,24.44,9.42,10.08,0.52,32.91,January,Winter,Christmas & New Year,202.09241379310342,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-03 03:00:00,92.2,214.42,22.2,9.87,10.13,0.52,33.5,January,Winter,Christmas & New Year,205.09655172413795,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-03 04:00:00,88.92,207.9,23.08,9.4,9.94,0.49,31.29,January,Winter,Christmas & New Year,196.31310344827585,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-03 05:00:00,90.02,210.12,23.35,10.12,10.0,0.5,32.03,January,Winter,Christmas & New Year,173.50255033557048,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-03 06:00:00,92.92,215.88,23.78,9.5,10.18,0.54,33.99,January,Winter,Christmas & New Year,207.5544827586207,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-03 07:00:00,88.65,207.3,23.72,9.93,9.92,0.48,31.08,January,Winter,Christmas & New Year,195.39137931034486,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-03 08:00:00,87.9,205.85,23.22,10.53,9.88,0.48,30.59,January,Winter,Christmas & New Year,192.83103448275864,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-03 09:00:00,89.0,207.92,22.77,10.48,9.94,0.49,31.3,January,Winter,Christmas & New Year,196.58620689655172,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-03 10:00:00,89.8,209.62,24.33,9.94,9.99,0.5,31.87,January,Winter,Christmas & New Year,199.31724137931033,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-03 11:00:00,88.15,206.3,22.74,9.86,9.89,0.48,30.74,January,Winter,Christmas & New Year,193.6844827586207,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-03 12:00:00,90.08,210.18,23.16,10.03,10.0,0.5,32.06,January,Winter,Christmas & New Year,173.54241610738256,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-03 13:00:00,89.62,209.22,24.82,9.56,9.98,0.5,31.73,January,Winter,Christmas & New Year,198.70275862068968,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-03 14:00:00,91.3,212.5,22.88,10.0,10.08,0.52,32.86,January,Winter,Christmas & New Year,202.02413793103446,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-03 15:00:00,93.15,216.25,20.73,9.57,10.19,0.53,34.12,January,Winter,Christmas & New Year,208.3396551724138,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-03 16:00:00,92.15,214.3,23.88,10.3,10.13,0.53,33.47,January,Winter,Christmas & New Year,204.92586206896553,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-03 17:00:00,91.22,212.42,23.72,10.33,10.07,0.52,32.83,January,Winter,Christmas & New Year,201.75103448275863,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-03 18:00:00,89.52,209.1,24.46,9.7,9.97,0.5,31.69,January,Winter,Christmas & New Year,198.36137931034483,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-03 19:00:00,90.18,210.32,23.56,10.24,10.01,0.5,32.11,January,Winter,Christmas & New Year,173.63543624161073,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-03 20:00:00,90.22,210.42,24.73,9.98,10.01,0.5,32.15,January,Winter,Christmas & New Year,173.70187919463086,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-03 21:00:00,94.4,218.8,24.46,10.44,10.26,0.55,34.99,January,Winter,Christmas & New Year,212.60689655172416,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-03 22:00:00,92.05,214.12,23.77,10.37,10.12,0.52,33.4,January,Winter,Christmas & New Year,204.58448275862068,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-03 23:00:00,90.57,211.1,24.29,9.96,10.03,0.51,32.37,January,Winter,Christmas & New Year,174.15369127516777,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-04 00:00:00,88.42,206.82,24.46,9.68,9.91,0.48,30.93,January,Winter,Christmas & New Year,194.60620689655173,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-04 01:00:00,92.22,214.5,24.19,10.59,10.14,0.53,33.53,January,Winter,Christmas & New Year,205.16482758620688,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-04 02:00:00,90.62,211.3,21.61,10.36,10.04,0.51,32.44,January,Winter,Christmas & New Year,174.28657718120806,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-04 03:00:00,91.9,213.78,22.22,9.82,10.11,0.52,33.29,January,Winter,Christmas & New Year,204.07241379310346,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-04 04:00:00,88.62,207.28,24.04,10.18,9.92,0.48,31.08,January,Winter,Christmas & New Year,195.2889655172414,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-04 05:00:00,88.88,207.78,24.46,10.02,9.93,0.49,31.24,January,Winter,Christmas & New Year,196.1765517241379,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-04 06:00:00,91.12,212.22,23.56,10.12,10.07,0.52,32.75,January,Winter,Christmas & New Year,201.4096551724138,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-04 07:00:00,92.18,214.32,24.11,9.49,10.13,0.52,33.47,January,Winter,Christmas & New Year,205.028275862069,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-04 08:00:00,91.95,213.9,23.5,9.74,10.12,0.52,33.33,January,Winter,Christmas & New Year,204.24310344827586,Poor,Panipat,Haryana,29.3912753,76.9771675
2024-01-04 09:00:00,88.55,210.08,24.07,10.18,10.0,0.5,32.03,January,Winter,Christmas & New Year,195.04999999999998,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-04 10:00:00,68.6,207.3,24.06,10.79,9.92,0.48,31.08,January,Winter,Christmas & New Year,171.6288590604027,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-04 11:00:00,70.42,210.78,23.7,9.83,10.02,0.51,32.26,January,Winter,Christmas & New Year,173.94107382550337,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-04 12:00:00,70.15,210.32,23.14,9.83,10.01,0.5,32.11,January,Winter,Christmas & New Year,173.63543624161073,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-04 13:00:00,69.05,208.1,24.47,9.65,9.94,0.49,31.35,January,Winter,Christmas & New Year,172.16040268456376,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-04 14:00:00,68.28,206.6,25.9,10.28,9.9,0.48,30.84,January,Winter,Christmas & New Year,171.16375838926174,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-04 15:00:00,70.53,210.98,23.66,10.6,10.03,0.5,32.34,January,Winter,Christmas & New Year,174.07395973154362,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-04 16:00:00,69.62,209.25,24.3,10.16,9.98,0.5,31.74,January,Winter,Christmas & New Year,172.9244966442953,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-04 17:00:00,67.8,205.62,23.66,9.81,9.87,0.48,30.52,January,Winter,Christmas & New Year,170.51261744966445,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-04 18:00:00,70.3,210.62,22.65,9.68,10.02,0.5,32.2,January,Winter,Christmas & New Year,173.83476510067115,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-04 19:00:00,68.22,206.48,23.66,9.79,9.9,0.48,30.8,January,Winter,Christmas & New Year,171.0840268456376,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-04 20:00:00,69.75,209.48,23.02,9.97,9.98,0.5,31.82,January,Winter,Christmas & New Year,173.0773154362416,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-04 21:00:00,68.88,207.77,23.61,9.89,9.93,0.49,31.24,January,Winter,Christmas & New Year,171.94114093959735,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-04 22:00:00,71.15,216.8,25.04,10.15,10.2,0.54,34.31,January,Winter,Christmas & New Year,177.94093959731543,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-04 23:00:00,67.73,205.47,24.76,10.01,9.87,0.47,30.45,January,Winter,Christmas & New Year,170.41295302013424,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-05 00:00:00,69.12,208.25,25.62,10.16,9.94,0.49,31.41,January,Winter,Christmas & New Year,172.26006711409397,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-05 01:00:00,70.28,210.65,23.82,9.69,10.02,0.5,32.21,January,Winter,Christmas & New Year,173.8546979865772,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-05 02:00:00,70.62,211.22,23.06,9.59,10.04,0.51,32.42,January,Winter,Christmas & New Year,174.23342281879195,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-05 03:00:00,69.2,208.4,23.97,9.5,9.95,0.49,31.46,January,Winter,Christmas & New Year,172.35973154362415,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-05 04:00:00,67.25,204.5,22.01,9.56,9.84,0.47,30.13,January,Winter,Christmas & New Year,169.76845637583892,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-05 05:00:00,71.8,213.65,23.92,10.16,10.11,0.52,33.24,January,Winter,Christmas & New Year,175.84798657718122,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-05 06:00:00,69.47,209.0,24.22,10.13,9.97,0.49,31.66,January,Winter,Christmas & New Year,172.75838926174498,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-05 07:00:00,71.9,213.82,25.39,10.84,10.11,0.52,33.3,January,Winter,Christmas & New Year,175.96093959731542,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-05 08:00:00,70.22,210.48,26.14,9.38,10.02,0.5,32.15,January,Winter,Christmas & New Year,173.74174496644295,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-05 09:00:00,70.65,211.32,23.84,10.26,10.04,0.51,32.45,January,Winter,Christmas & New Year,174.29986577181208,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-05 10:00:00,70.6,211.2,25.85,9.97,10.04,0.51,32.41,January,Winter,Christmas & New Year,174.22013422818793,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-05 11:00:00,70.82,211.7,23.18,10.12,10.05,0.51,32.57,January,Winter,Christmas & New Year,174.5523489932886,Moderate,Panipat,Haryana,29.3912753,76.9771675
2024-01-05 12:00:00,70.85,211.7,23.07,9.65,10.05,0.52,32.58,January,Winter,Christmas & New Year,174.5523489932886,Moderate,Panipat,Haryana,29.3912753,76.9771675
