TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,47.14,69.76,7.82,50.66,5.51,1.05,16.97,January,Winter,Christmas & New Year,78.27103448275862,Satisfactory,Sirsa,Haryana,29.6063041,74.9036568
2024-01-01 01:00:00,41.83,61.94,7.9,50.29,3.71,0.98,21.44,January,Winter,Christmas & New Year,69.29896551724138,Satisfactory,Sirsa,Haryana,29.6063041,74.9036568
2024-01-01 02:00:00,40.33,59.69,8.13,50.35,4.04,0.94,21.71,January,Winter,Christmas & New Year,66.76448275862069,Satisfactory,Sirsa,Haryana,29.6063041,74.9036568
2024-01-01 03:00:00,39.5,58.45,8.05,50.13,9.59,0.92,19.29,January,Winter,Christmas & New Year,65.36206896551724,Satisfactory,Sirsa,Haryana,29.6063041,74.9036568
2024-01-01 04:00:00,32.28,47.76,8.17,50.56,9.88,0.9,15.43,January,Winter,Christmas & New Year,53.16275862068966,Satisfactory,Sirsa,Haryana,29.6063041,74.9036568
2024-01-01 05:00:00,34.5,51.03,8.06,51.76,9.62,0.87,17.98,January,Winter,Christmas & New Year,56.91379310344828,Satisfactory,Sirsa,Haryana,29.6063041,74.9036568
2024-01-01 06:00:00,36.34,53.78,8.02,50.31,4.28,0.44,18.38,January,Winter,Christmas & New Year,60.02275862068966,Satisfactory,Sirsa,Haryana,29.6063041,74.9036568
2024-01-01 07:00:00,28.81,42.64,8.07,51.02,2.88,0.42,22.7,January,Winter,Christmas & New Year,48.016666666666666,Good,Sirsa,Haryana,29.6063041,74.9036568
2024-01-01 08:00:00,31.44,46.58,8.06,50.32,3.0,0.43,20.19,January,Winter,Christmas & New Year,51.74344827586207,Satisfactory,Sirsa,Haryana,29.6063041,74.9036568
2024-01-01 09:00:00,40.56,60.0,8.04,50.21,4.38,0.47,17.94,January,Winter,Christmas & New Year,67.15310344827587,Satisfactory,Sirsa,Haryana,29.6063041,74.9036568
2024-01-01 10:00:00,45.55,67.43,8.16,50.02,5.29,0.8,16.02,January,Winter,Christmas & New Year,75.58448275862068,Satisfactory,Sirsa,Haryana,29.6063041,74.9036568
2024-01-01 11:00:00,49.39,73.1,8.18,51.32,5.48,0.78,14.76,January,Winter,Christmas & New Year,82.07275862068965,Satisfactory,Sirsa,Haryana,29.6063041,74.9036568
2024-01-01 12:00:00,51.06,75.56,7.87,50.25,7.12,0.77,17.76,January,Winter,Christmas & New Year,84.8944827586207,Satisfactory,Sirsa,Haryana,29.6063041,74.9036568
2024-01-01 13:00:00,48.88,72.36,8.18,51.05,4.81,0.76,22.35,January,Winter,Christmas & New Year,81.21103448275863,Satisfactory,Sirsa,Haryana,29.6063041,74.9036568
2024-01-01 14:00:00,51.66,76.46,8.12,50.78,5.3,0.77,18.1,January,Winter,Christmas & New Year,85.90827586206896,Satisfactory,Sirsa,Haryana,29.6063041,74.9036568
2024-01-01 15:00:00,57.23,84.67,8.09,50.48,7.61,0.82,14.28,January,Winter,Christmas & New Year,95.31965517241379,Satisfactory,Sirsa,Haryana,29.6063041,74.9036568
2024-01-01 16:00:00,59.83,88.55,7.86,50.69,7.52,0.82,17.98,January,Winter,Christmas & New Year,99.71275862068966,Satisfactory,Sirsa,Haryana,29.6063041,74.9036568
2024-01-01 17:00:00,60.32,89.27,8.14,50.9,7.73,0.82,16.69,January,Winter,Christmas & New Year,89.27,Satisfactory,Sirsa,Haryana,29.6063041,74.9036568
