TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,101.85,175.51,34.76,30.01,10.53,0.59,20.06,January,Winter,Christmas & New Year,238.03965517241377,Poor,Sonipat,Haryana,28.9953758,77.0233627
2024-01-01 01:00:00,100.87,170.46,35.16,30.03,10.53,0.55,20.05,January,Winter,Christmas & New Year,234.6941379310345,Poor,Sonipat,Haryana,28.9953758,77.0233627
2024-01-01 02:00:00,95.16,165.42,35.29,30.17,10.73,0.54,20.38,January,Winter,Christmas & New Year,215.2013793103448,Poor,Sonipat,Haryana,28.9953758,77.0233627
2024-01-01 03:00:00,99.28,170.79,34.75,29.87,10.92,0.54,20.68,January,Winter,Christmas & New Year,229.26620689655172,Poor,Sonipat,Haryana,28.9953758,77.0233627
2024-01-01 04:00:00,95.33,171.76,34.7,30.0,10.73,0.62,20.38,January,Winter,Christmas & New Year,215.78172413793104,Poor,Sonipat,Haryana,28.9953758,77.0233627
2024-01-01 05:00:00,97.74,164.09,34.66,30.13,10.71,0.6,20.35,January,Winter,Christmas & New Year,224.00896551724136,Poor,Sonipat,Haryana,28.9953758,77.0233627
2024-01-01 06:00:00,90.0,162.34,35.17,30.06,9.95,0.58,19.09,January,Winter,Christmas & New Year,200.0,Moderate,Sonipat,Haryana,28.9953758,77.0233627
2024-01-01 07:00:00,90.08,142.92,34.81,29.97,10.46,0.56,19.94,January,Winter,Christmas & New Year,128.85288590604026,Moderate,Sonipat,Haryana,28.9953758,77.0233627
2024-01-01 08:00:00,76.26,138.32,29.84,39.96,10.54,0.54,20.06,January,Winter,Christmas & New Year,153.0944827586207,Moderate,Sonipat,Haryana,28.9953758,77.0233627
2024-01-01 09:00:00,76.66,131.34,29.97,40.06,10.45,0.54,19.92,January,Winter,Christmas & New Year,154.45999999999998,Moderate,Sonipat,Haryana,28.9953758,77.0233627
2024-01-01 10:00:00,74.86,137.34,30.04,39.74,9.88,0.53,33.9,January,Winter,Christmas & New Year,148.3151724137931,Moderate,Sonipat,Haryana,28.9953758,77.0233627
2024-01-01 11:00:00,75.95,155.66,29.92,40.13,10.46,0.5,34.92,January,Winter,Christmas & New Year,152.03620689655173,Moderate,Sonipat,Haryana,28.9953758,77.0233627
2024-01-01 12:00:00,74.41,142.26,29.91,39.89,10.64,0.5,35.25,January,Winter,Christmas & New Year,146.77896551724137,Moderate,Sonipat,Haryana,28.9953758,77.0233627
2024-01-01 13:00:00,74.54,136.6,30.11,40.04,22.96,0.52,34.89,January,Winter,Christmas & New Year,147.22275862068966,Moderate,Sonipat,Haryana,28.9953758,77.0233627
2024-01-01 14:00:00,80.93,149.82,30.01,39.96,22.76,0.52,34.26,January,Winter,Christmas & New Year,169.03689655172417,Moderate,Sonipat,Haryana,28.9953758,77.0233627
2024-01-01 15:00:00,98.84,161.2,29.96,40.07,22.83,0.51,34.47,January,Winter,Christmas & New Year,227.7641379310345,Poor,Sonipat,Haryana,28.9953758,77.0233627
2024-01-01 16:00:00,102.44,193.51,30.33,40.04,23.22,0.49,35.7,January,Winter,Christmas & New Year,240.05379310344827,Poor,Sonipat,Haryana,28.9953758,77.0233627
2024-01-01 17:00:00,133.84,272.66,29.82,40.03,22.87,0.5,34.58,January,Winter,Christmas & New Year,310.8539534883721,Very Poor,Sonipat,Haryana,28.9953758,77.0233627
2024-01-01 18:00:00,134.07,268.44,30.04,39.82,22.94,0.5,34.81,January,Winter,Christmas & New Year,311.03046511627906,Very Poor,Sonipat,Haryana,28.9953758,77.0233627
2024-01-01 19:00:00,134.77,277.05,29.96,39.83,23.47,0.48,18.37,January,Winter,Christmas & New Year,311.56767441860467,Very Poor,Sonipat,Haryana,28.9953758,77.0233627
2024-01-01 20:00:00,133.24,263.04,29.92,39.86,23.07,0.5,17.22,January,Winter,Christmas & New Year,310.39348837209303,Very Poor,Sonipat,Haryana,28.9953758,77.0233627
2024-01-01 21:00:00,140.21,261.29,30.03,40.1,22.86,0.48,16.59,January,Winter,Christmas & New Year,315.7425581395349,Very Poor,Sonipat,Haryana,28.9953758,77.0233627
2024-01-01 22:00:00,143.58,271.74,29.9,39.75,22.96,0.49,16.89,January,Winter,Christmas & New Year,318.3288372093023,Very Poor,Sonipat,Haryana,28.9953758,77.0233627
2024-01-01 23:00:00,153.04,282.65,29.98,40.22,16.95,0.46,17.61,January,Winter,Christmas & New Year,325.5888372093023,Very Poor,Sonipat,Haryana,28.9953758,77.0233627
2024-01-02 00:00:00,148.3,275.16,35.47,29.96,10.68,0.46,20.31,January,Winter,Christmas & New Year,321.9511627906977,Very Poor,Sonipat,Haryana,28.9953758,77.0233627
2024-01-02 01:00:00,150.89,277.03,34.76,30.0,10.27,0.46,19.62,January,Winter,Christmas & New Year,323.93883720930233,Very Poor,Sonipat,Haryana,28.9953758,77.0233627
2024-01-02 02:00:00,135.03,232.22,35.01,30.25,10.51,0.46,20.01,January,Winter,Christmas & New Year,311.76720930232557,Very Poor,Sonipat,Haryana,28.9953758,77.0233627
2024-01-02 03:00:00,119.95,209.7,34.64,29.96,10.28,0.45,19.63,January,Winter,Christmas & New Year,299.8293103448276,Poor,Sonipat,Haryana,28.9953758,77.0233627
2024-01-02 04:00:00,115.24,213.16,35.12,29.92,10.22,0.46,19.54,January,Winter,Christmas & New Year,283.7503448275862,Poor,Sonipat,Haryana,28.9953758,77.0233627
2024-01-02 05:00:00,120.25,226.42,35.56,30.16,10.76,0.46,20.43,January,Winter,Christmas & New Year,184.33275167785234,Moderate,Sonipat,Haryana,28.9953758,77.0233627
2024-01-02 06:00:00,107.42,214.84,35.47,30.02,10.53,0.44,20.05,January,Winter,Christmas & New Year,257.0544827586207,Poor,Sonipat,Haryana,28.9953758,77.0233627
2024-01-02 07:00:00,91.03,181.94,35.15,29.92,10.22,0.46,19.54,January,Winter,Christmas & New Year,201.10241379310347,Poor,Sonipat,Haryana,28.9953758,77.0233627
2024-01-02 08:00:00,83.57,154.51,30.29,39.94,10.75,0.46,20.42,January,Winter,Christmas & New Year,178.04931034482757,Moderate,Sonipat,Haryana,28.9953758,77.0233627
2024-01-02 09:00:00,77.78,154.87,29.94,39.84,10.32,0.51,19.71,January,Winter,Christmas & New Year,158.28344827586207,Moderate,Sonipat,Haryana,28.9953758,77.0233627
2024-01-02 10:00:00,83.16,151.77,30.26,40.1,10.5,0.41,35.0,January,Winter,Christmas & New Year,176.64965517241376,Moderate,Sonipat,Haryana,28.9953758,77.0233627
2024-01-02 11:00:00,83.76,152.38,29.93,40.02,10.85,0.36,35.62,January,Winter,Christmas & New Year,178.6979310344828,Moderate,Sonipat,Haryana,28.9953758,77.0233627
2024-01-02 12:00:00,71.23,148.66,29.82,40.13,10.27,0.46,34.59,January,Winter,Christmas & New Year,135.92310344827587,Moderate,Sonipat,Haryana,28.9953758,77.0233627
2024-01-02 13:00:00,74.41,152.84,29.92,40.02,22.72,0.47,34.11,January,Winter,Christmas & New Year,146.77896551724137,Moderate,Sonipat,Haryana,28.9953758,77.0233627
2024-01-02 14:00:00,76.72,152.85,29.96,39.68,23.15,0.47,35.48,January,Winter,Christmas & New Year,154.66482758620688,Moderate,Sonipat,Haryana,28.9953758,77.0233627
2024-01-02 15:00:00,77.36,159.53,30.01,39.64,22.85,0.5,34.54,January,Winter,Christmas & New Year,156.8496551724138,Moderate,Sonipat,Haryana,28.9953758,77.0233627
2024-01-02 16:00:00,69.4,140.01,30.3,40.36,22.7,0.5,34.08,January,Winter,Christmas & New Year,129.67586206896553,Moderate,Sonipat,Haryana,28.9953758,77.0233627
2024-01-02 17:00:00,72.98,143.85,30.26,40.1,23.02,0.5,35.06,January,Winter,Christmas & New Year,141.89724137931034,Moderate,Sonipat,Haryana,28.9953758,77.0233627
