TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,175.25,328.5,31.7,18.13,24.47,1.16,11.18,January,Winter,Christmas & New Year,342.6337209302326,Very Poor,Baddi,Himachal Pradesh,30.9763026,76.7674001
2024-01-01 01:00:00,163.25,307.5,37.1,17.87,27.63,1.09,10.33,January,Winter,Christmas & New Year,333.4244186046512,Very Poor,Baddi,Himachal Pradesh,30.9763026,76.7674001
2024-01-01 02:00:00,156.0,289.0,30.52,20.52,25.5,0.98,15.4,January,Winter,Christmas & New Year,327.86046511627904,Very Poor,Baddi,Himachal Pradesh,30.9763026,76.7674001
2024-01-01 03:00:00,123.25,217.25,22.5,19.08,17.27,0.98,13.45,January,Winter,Christmas & New Year,302.7267441860465,Very Poor,Baddi,Himachal Pradesh,30.9763026,76.7674001
2024-01-01 04:00:00,97.75,162.5,20.2,18.5,16.32,0.96,13.12,January,Winter,Christmas & New Year,224.04310344827587,Poor,Baddi,Himachal Pradesh,30.9763026,76.7674001
2024-01-01 05:00:00,81.75,153.0,19.45,18.0,14.5,0.94,13.2,January,Winter,Christmas & New Year,171.83620689655174,Moderate,Baddi,Himachal Pradesh,30.9763026,76.7674001
2024-01-01 06:00:00,77.5,149.25,19.85,17.45,13.4,0.95,13.15,January,Winter,Christmas & New Year,157.32758620689654,Moderate,Baddi,Himachal Pradesh,30.9763026,76.7674001
2024-01-01 07:00:00,80.75,150.25,21.22,16.88,14.28,0.98,12.05,January,Winter,Christmas & New Year,168.42241379310343,Moderate,Baddi,Himachal Pradesh,30.9763026,76.7674001
2024-01-01 08:00:00,90.75,166.75,24.18,17.45,19.38,1.12,11.35,January,Winter,Christmas & New Year,144.68624161073825,Moderate,Baddi,Himachal Pradesh,30.9763026,76.7674001
2024-01-01 09:00:00,125.25,213.75,31.55,18.6,77.78,1.31,12.2,January,Winter,Christmas & New Year,304.26162790697674,Very Poor,Baddi,Himachal Pradesh,30.9763026,76.7674001
2024-01-01 10:00:00,195.75,316.5,33.0,18.68,89.28,1.24,14.08,January,Winter,Christmas & New Year,358.3662790697674,Very Poor,Baddi,Himachal Pradesh,30.9763026,76.7674001
2024-01-01 11:00:00,218.75,337.25,30.52,19.88,60.25,1.23,21.08,January,Winter,Christmas & New Year,376.0174418604651,Very Poor,Baddi,Himachal Pradesh,30.9763026,76.7674001
2024-01-01 12:00:00,210.25,310.75,27.22,19.68,73.1,1.19,38.28,January,Winter,Christmas & New Year,369.49418604651163,Very Poor,Baddi,Himachal Pradesh,30.9763026,76.7674001
