TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,13.9,45.93,11.75,6.4,7.36,0.7,31.51,January,Winter,Christmas & New Year,45.93,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-01 01:00:00,18.32,46.06,12.22,5.21,7.3,1.03,28.21,January,Winter,Christmas & New Year,46.06,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-01 02:00:00,17.97,45.66,12.28,5.22,7.26,0.69,28.08,January,Winter,Christmas & New Year,45.66,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-01 03:00:00,18.16,45.87,12.27,5.28,7.3,0.88,17.19,January,Winter,Christmas & New Year,45.87,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-01 04:00:00,18.23,45.96,12.24,5.26,7.32,0.95,17.62,January,Winter,Christmas & New Year,47.5,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-01 05:00:00,18.14,45.85,12.32,5.27,7.28,0.86,23.6,January,Winter,Christmas & New Year,45.85,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-01 06:00:00,18.11,45.81,12.22,5.26,7.27,0.83,21.47,January,Winter,Christmas & New Year,45.81,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-01 07:00:00,18.1,45.81,12.15,5.24,7.32,0.82,19.19,January,Winter,Christmas & New Year,45.81,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-01 08:00:00,18.32,46.05,12.3,5.21,7.32,1.04,18.62,January,Winter,Christmas & New Year,46.05,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-01 09:00:00,18.31,46.04,12.24,5.2,7.28,1.02,17.97,January,Winter,Christmas & New Year,46.04,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-01 10:00:00,17.91,45.6,12.28,5.31,7.28,0.63,22.26,January,Winter,Christmas & New Year,45.6,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-01 11:00:00,18.24,45.96,12.3,5.28,7.36,0.96,22.68,January,Winter,Christmas & New Year,48.0,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-01 12:00:00,17.91,45.59,12.34,5.29,7.39,0.63,26.06,January,Winter,Christmas & New Year,45.59,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-01 13:00:00,18.24,45.96,12.28,5.31,7.31,0.96,30.3,January,Winter,Christmas & New Year,48.0,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-01 14:00:00,18.15,45.86,12.3,5.21,7.29,0.87,33.07,January,Winter,Christmas & New Year,45.86,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-01 15:00:00,18.24,45.96,12.26,5.27,7.35,0.96,36.83,January,Winter,Christmas & New Year,48.0,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-01 16:00:00,18.22,45.94,12.18,5.24,7.32,0.94,33.13,January,Winter,Christmas & New Year,47.0,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-01 17:00:00,18.05,45.74,12.21,5.23,7.3,0.76,36.22,January,Winter,Christmas & New Year,45.74,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-01 18:00:00,18.05,45.74,12.24,5.24,7.3,0.77,30.44,January,Winter,Christmas & New Year,45.74,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-01 19:00:00,18.09,45.8,12.18,5.26,7.33,0.81,23.13,January,Winter,Christmas & New Year,45.8,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-01 20:00:00,18.15,45.86,12.31,5.22,7.32,0.87,18.96,January,Winter,Christmas & New Year,45.86,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-01 21:00:00,18.06,45.76,12.34,5.26,7.29,0.78,22.64,January,Winter,Christmas & New Year,45.76,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-01 22:00:00,18.01,45.7,12.32,5.24,7.3,0.73,26.17,January,Winter,Christmas & New Year,45.7,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-01 23:00:00,18.1,45.8,12.15,5.21,7.32,0.81,29.71,January,Winter,Christmas & New Year,45.8,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-02 00:00:00,18.15,45.86,12.3,5.24,7.3,0.87,28.43,January,Winter,Christmas & New Year,45.86,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-02 01:00:00,17.87,45.55,12.26,5.25,7.3,0.6,28.62,January,Winter,Christmas & New Year,45.55,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-02 02:00:00,17.84,45.51,12.22,5.26,7.3,0.56,30.05,January,Winter,Christmas & New Year,45.51,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-02 03:00:00,18.08,45.78,12.21,5.24,7.32,0.8,26.63,January,Winter,Christmas & New Year,45.78,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-02 04:00:00,18.37,46.1,12.34,5.29,7.3,1.08,24.1,January,Winter,Christmas & New Year,46.1,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-02 05:00:00,17.99,45.68,12.18,5.27,7.29,0.71,24.92,January,Winter,Christmas & New Year,45.68,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-02 06:00:00,18.24,45.96,12.21,5.22,7.3,0.96,21.65,January,Winter,Christmas & New Year,48.0,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-02 07:00:00,17.96,45.65,12.21,5.3,7.32,0.68,18.2,January,Winter,Christmas & New Year,45.65,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-02 08:00:00,18.03,45.73,12.32,5.25,7.3,0.75,18.16,January,Winter,Christmas & New Year,45.73,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-02 09:00:00,18.06,45.75,12.38,5.26,7.29,0.78,23.78,January,Winter,Christmas & New Year,45.75,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-02 10:00:00,18.17,45.88,12.41,5.2,7.3,0.89,30.97,January,Winter,Christmas & New Year,45.88,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-02 11:00:00,18.3,46.02,12.24,5.28,7.34,1.01,30.18,January,Winter,Christmas & New Year,46.02,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-02 12:00:00,18.1,45.8,12.22,5.26,7.31,0.82,28.76,January,Winter,Christmas & New Year,45.8,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-02 13:00:00,18.15,45.86,12.26,5.23,7.3,0.87,32.32,January,Winter,Christmas & New Year,45.86,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-02 14:00:00,18.14,45.86,12.22,5.29,7.32,0.87,39.16,January,Winter,Christmas & New Year,45.86,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-02 15:00:00,18.16,45.87,12.4,5.21,7.36,0.88,36.52,January,Winter,Christmas & New Year,45.87,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-02 16:00:00,18.05,45.74,12.27,5.22,7.37,0.77,33.02,January,Winter,Christmas & New Year,45.74,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-02 17:00:00,18.01,45.7,12.32,5.18,7.37,0.73,33.03,January,Winter,Christmas & New Year,45.7,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-02 18:00:00,17.55,45.19,12.12,5.22,7.37,0.28,30.76,January,Winter,Christmas & New Year,45.19,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-02 19:00:00,22.16,45.84,7.36,5.51,5.33,0.7,16.915,January,Winter,Christmas & New Year,45.84,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-02 20:00:00,22.16,45.84,7.36,5.51,5.33,0.7,16.915,January,Winter,Christmas & New Year,45.84,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-02 21:00:00,18.0,45.7,12.34,5.22,5.33,0.72,16.915,January,Winter,Christmas & New Year,45.7,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-02 22:00:00,18.26,45.98,12.31,5.24,5.33,0.98,16.915,January,Winter,Christmas & New Year,49.0,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-02 23:00:00,17.98,45.67,12.25,5.21,5.33,0.7,16.915,January,Winter,Christmas & New Year,45.67,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-03 00:00:00,13.87,45.87,11.78,6.43,5.33,0.66,16.915,January,Winter,Christmas & New Year,45.87,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-03 01:00:00,18.28,46.02,12.14,5.25,5.33,1.0,16.915,January,Winter,Christmas & New Year,50.0,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-03 02:00:00,18.06,45.76,12.33,5.24,5.33,0.78,16.915,January,Winter,Christmas & New Year,45.76,Good,Bagalkot,Karnataka,16.1793224,75.6999315
2024-01-03 03:00:00,18.03,45.72,12.35,5.21,5.33,0.75,16.915,January,Winter,Christmas & New Year,45.72,Good,Bagalkot,Karnataka,16.1793224,75.6999315
