TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,41.72,56.09,29.43,19.17,2.39,0.22,24.09,January,Winter,Christmas & New Year,69.11310344827587,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-01 01:00:00,46.54,55.78,29.06,18.98,1.83,0.22,23.78,January,Winter,Christmas & New Year,77.25724137931034,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-01 02:00:00,52.29,55.82,28.79,19.15,1.23,0.22,23.82,January,Winter,Christmas & New Year,86.97275862068966,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-01 03:00:00,54.92,56.51,28.96,19.04,0.95,0.22,24.51,January,Winter,Christmas & New Year,91.41655172413793,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-01 04:00:00,48.31,55.9,29.27,19.32,0.71,0.22,23.9,January,Winter,Christmas & New Year,80.24793103448276,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-01 05:00:00,42.93,55.74,29.08,19.31,0.99,0.22,23.74,January,Winter,Christmas & New Year,71.15758620689655,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-01 06:00:00,35.73,55.76,28.97,18.82,1.37,0.22,23.76,January,Winter,Christmas & New Year,58.992068965517234,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-01 07:00:00,38.92,56.11,28.81,19.19,1.0,0.22,24.11,January,Winter,Christmas & New Year,64.38206896551725,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-01 08:00:00,36.09,55.96,28.91,18.85,0.66,0.22,23.96,January,Winter,Christmas & New Year,59.60034482758621,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-01 09:00:00,39.33,56.26,28.96,19.06,1.46,2.3,24.26,January,Winter,Christmas & New Year,103.50632911392405,Moderate,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-01 10:00:00,35.42,55.9,28.82,18.81,1.23,1.89,23.9,January,Winter,Christmas & New Year,94.0111111111111,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-01 11:00:00,31.43,55.9,29.1,18.87,1.48,1.67,23.9,January,Winter,Christmas & New Year,82.03333333333333,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-01 12:00:00,34.27,56.07,28.37,19.38,0.7,0.22,24.07,January,Winter,Christmas & New Year,56.52517241379311,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-01 13:00:00,15.75,40.73,17.8,11.96,2.5949999999999998,0.0,22.36,January,Winter,Christmas & New Year,40.73,Good,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-01 14:00:00,40.46,61.32,29.08,18.68,2.86,0.54,30.54,January,Winter,Christmas & New Year,66.98413793103448,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-01 15:00:00,41.29,79.88,29.34,18.96,3.22,1.3,53.88,January,Winter,Christmas & New Year,79.88,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-01 16:00:00,38.41,79.74,28.61,18.76,3.88,1.11,53.74,January,Winter,Christmas & New Year,79.74,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-01 17:00:00,33.04,76.7,26.84,18.14,4.54,0.9,48.51,January,Winter,Christmas & New Year,76.7,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-01 18:00:00,34.63,65.96,16.73,13.96,4.03,0.67,26.96,January,Winter,Christmas & New Year,65.96,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-01 19:00:00,38.78,66.05,16.23,13.81,5.22,0.32,27.05,January,Winter,Christmas & New Year,66.05,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-01 20:00:00,36.83,65.93,17.36,13.91,6.68,0.22,26.93,January,Winter,Christmas & New Year,65.93,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-01 21:00:00,37.47,65.22,17.11,13.2,5.76,0.22,25.52,January,Winter,Christmas & New Year,65.22,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-01 22:00:00,39.54,79.1,12.91,9.95,1.67,0.22,14.94,January,Winter,Christmas & New Year,79.1,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-01 23:00:00,40.21,104.21,12.42,10.09,0.38,0.22,14.85,January,Winter,Christmas & New Year,103.1328187919463,Moderate,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-02 00:00:00,31.6,87.66,13.24,10.13,0.43,0.22,14.78,January,Winter,Christmas & New Year,87.66,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-02 01:00:00,36.32,75.06,13.3,10.21,0.12,0.22,15.12,January,Winter,Christmas & New Year,75.06,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-02 02:00:00,31.73,75.16,13.12,10.41,0.17,0.22,14.79,January,Winter,Christmas & New Year,75.16,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-02 03:00:00,30.59,70.0,12.76,10.1,0.31,0.23,14.96,January,Winter,Christmas & New Year,70.0,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-02 04:00:00,32.79,64.3,12.82,9.88,0.08,0.22,14.42,January,Winter,Christmas & New Year,64.3,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-02 05:00:00,32.51,59.02,13.43,9.96,2.5949999999999998,0.43,15.23,January,Winter,Christmas & New Year,59.02,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-02 06:00:00,35.06,46.14,12.78,9.76,0.2,2.2,15.04,January,Winter,Christmas & New Year,102.25316455696202,Moderate,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-02 07:00:00,35.87,41.47,18.42,15.62,0.54,1.29,15.03,January,Winter,Christmas & New Year,61.34444444444444,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-02 08:00:00,42.42,61.74,20.33,17.05,2.49,0.87,15.24,January,Winter,Christmas & New Year,70.29586206896552,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-02 09:00:00,42.82,87.8,19.84,17.32,2.87,0.87,14.8,January,Winter,Christmas & New Year,87.8,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-02 10:00:00,44.68,70.32,17.6,15.6,2.94,0.27,19.58,January,Winter,Christmas & New Year,74.11448275862068,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-02 11:00:00,51.0,53.78,14.96,14.03,2.02,0.22,25.02,January,Winter,Christmas & New Year,84.79310344827587,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-02 12:00:00,47.9,60.72,14.69,13.68,2.42,0.22,24.66,January,Winter,Christmas & New Year,79.5551724137931,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-02 13:00:00,39.26,63.85,17.46,11.75,2.7,0.22,34.41,January,Winter,Christmas & New Year,64.95655172413792,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-02 14:00:00,35.68,65.62,18.35,10.97,1.35,0.22,36.98,January,Winter,Christmas & New Year,65.62,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-02 15:00:00,36.68,64.88,18.02,10.94,1.12,1.49,36.97,January,Winter,Christmas & New Year,72.23333333333333,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-02 16:00:00,40.02,56.77,17.52,10.76,2.04,3.42,37.08,January,Winter,Christmas & New Year,117.54177215189873,Moderate,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-02 17:00:00,43.45,53.99,17.88,11.01,2.7,1.89,36.99,January,Winter,Christmas & New Year,94.0111111111111,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-02 18:00:00,15.75,40.73,18.14,11.22,2.14,0.22,36.4,January,Winter,Christmas & New Year,40.73,Good,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-02 19:00:00,31.58,43.07,23.45,20.68,2.51,1.74,20.97,January,Winter,Christmas & New Year,85.84444444444443,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-02 20:00:00,42.0,47.51,23.61,20.87,2.94,1.23,21.05,January,Winter,Christmas & New Year,69.58620689655173,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-02 21:00:00,36.97,46.91,24.44,20.94,3.23,0.76,20.74,January,Winter,Christmas & New Year,61.08724137931034,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-02 22:00:00,32.37,37.83,24.17,20.8,4.08,0.54,20.92,January,Winter,Christmas & New Year,53.31482758620689,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-02 23:00:00,36.21,30.8,23.99,20.56,3.72,0.3,21.22,January,Winter,Christmas & New Year,59.80310344827586,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-03 00:00:00,15.75,40.73,23.48,21.03,3.88,0.3,21.11,January,Winter,Christmas & New Year,40.73,Good,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-03 01:00:00,15.75,40.73,24.0,20.68,3.48,0.22,21.17,January,Winter,Christmas & New Year,40.73,Good,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-03 02:00:00,39.44,68.71,23.9,21.06,2.6,0.22,20.96,January,Winter,Christmas & New Year,68.71,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-03 03:00:00,37.52,86.02,23.95,21.1,2.1,0.22,20.83,January,Winter,Christmas & New Year,86.02,Satisfactory,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-03 04:00:00,31.06,105.92,23.99,21.07,1.83,0.22,21.25,January,Winter,Christmas & New Year,104.26899328859061,Moderate,Chikkamagaluru,Karnataka,13.4058699,75.638758
2024-01-03 05:00:00,31.09,115.12,24.2,20.92,1.8,0.22,20.75,January,Winter,Christmas & New Year,110.38174496644295,Moderate,Chikkamagaluru,Karnataka,13.4058699,75.638758
