TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,24.17,51.96,8.66,9.31,7.13,0.98,48.1,January,Winter,Christmas & New Year,51.96,Satisfactory,Gadag,Karnataka,15.416692,75.6815801
2024-01-01 01:00:00,26.73,51.19,5.45,8.07,7.48,0.99,43.62,January,Winter,Christmas & New Year,51.19,Satisfactory,Gadag,Karnataka,15.416692,75.6815801
2024-01-01 02:00:00,28.82,56.0,14.04,7.59,7.4,1.17,39.65,January,Winter,Christmas & New Year,56.0,Satisfactory,Gadag,Karnataka,15.416692,75.6815801
2024-01-01 03:00:00,33.54,56.08,8.94,9.18,9.2,1.07,38.16,January,Winter,Christmas & New Year,56.08,Satisfactory,Gadag,Karnataka,15.416692,75.6815801
2024-01-01 04:00:00,31.28,57.79,10.4,8.12,9.99,0.99,36.98,January,Winter,Christmas & New Year,57.79,Satisfactory,Gadag,Karnataka,15.416692,75.6815801
2024-01-01 05:00:00,29.18,52.96,13.42,7.18,7.06,0.99,34.95,January,Winter,Christmas & New Year,52.96,Satisfactory,Gadag,Karnataka,15.416692,75.6815801
2024-01-01 06:00:00,27.18,52.12,10.98,7.39,7.2,0.97,33.96,January,Winter,Christmas & New Year,52.12,Satisfactory,Gadag,Karnataka,15.416692,75.6815801
2024-01-01 07:00:00,24.28,55.08,4.93,8.6,7.99,0.99,34.42,January,Winter,Christmas & New Year,55.08,Satisfactory,Gadag,Karnataka,15.416692,75.6815801
2024-01-01 08:00:00,25.82,57.04,4.6,9.76,8.13,0.98,35.36,January,Winter,Christmas & New Year,57.04,Satisfactory,Gadag,Karnataka,15.416692,75.6815801
2024-01-01 09:00:00,21.46,58.29,8.4,8.47,7.15,0.99,36.84,January,Winter,Christmas & New Year,58.29,Satisfactory,Gadag,Karnataka,15.416692,75.6815801
2024-01-01 10:00:00,24.63,65.89,15.76,6.39,10.05,0.99,39.1,January,Winter,Christmas & New Year,65.89,Satisfactory,Gadag,Karnataka,15.416692,75.6815801
2024-01-01 11:00:00,22.27,62.58,6.8,8.53,12.44,1.0,44.13,January,Winter,Christmas & New Year,62.58,Satisfactory,Gadag,Karnataka,15.416692,75.6815801
2024-01-01 12:00:00,28.36,53.0,6.46,8.99,3.66,1.03,48.71,January,Winter,Christmas & New Year,53.0,Satisfactory,Gadag,Karnataka,15.416692,75.6815801
2024-01-01 13:00:00,21.74,53.12,15.1,8.74,8.91,1.07,57.21,January,Winter,Christmas & New Year,57.21,Satisfactory,Gadag,Karnataka,15.416692,75.6815801
