TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,80.0,48.0,25.57,12.61,10.84,0.65,18.63,January,Winter,Christmas & New Year,165.86206896551724,Moderate,Haveri,Karnataka,14.7180267,75.3656423
2024-01-01 01:00:00,94.67,48.0,25.47,12.58,10.8,0.66,18.67,January,Winter,Christmas & New Year,213.52862068965518,Poor,Haveri,Karnataka,14.7180267,75.3656423
2024-01-01 02:00:00,68.11,48.0,26.11,12.41,10.84,0.66,18.79,January,Winter,Christmas & New Year,125.27206896551724,Moderate,Haveri,Karnataka,14.7180267,75.3656423
2024-01-01 03:00:00,52.05,48.0,25.26,12.39,10.83,0.65,18.85,January,Winter,Christmas & New Year,86.56724137931033,Satisfactory,Haveri,Karnataka,14.7180267,75.3656423
2024-01-01 04:00:00,51.54,48.0,25.56,12.6,10.83,0.66,18.11,January,Winter,Christmas & New Year,85.70551724137931,Satisfactory,Haveri,Karnataka,14.7180267,75.3656423
2024-01-01 05:00:00,55.86,48.0,25.82,12.36,10.84,0.66,18.34,January,Winter,Christmas & New Year,93.00482758620689,Satisfactory,Haveri,Karnataka,14.7180267,75.3656423
2024-01-01 06:00:00,58.54,48.0,26.2,12.47,10.86,0.65,18.45,January,Winter,Christmas & New Year,97.53310344827585,Satisfactory,Haveri,Karnataka,14.7180267,75.3656423
2024-01-01 07:00:00,65.97,48.0,31.4,13.72,10.78,0.65,18.88,January,Winter,Christmas & New Year,117.96655172413793,Moderate,Haveri,Karnataka,14.7180267,75.3656423
2024-01-01 08:00:00,90.32,48.0,34.67,14.54,10.86,0.65,18.73,January,Winter,Christmas & New Year,48.0,Good,Haveri,Karnataka,14.7180267,75.3656423
2024-01-01 09:00:00,73.83,48.0,32.93,13.58,10.87,0.65,18.87,January,Winter,Christmas & New Year,144.79896551724136,Moderate,Haveri,Karnataka,14.7180267,75.3656423
2024-01-01 10:00:00,58.5,48.0,32.14,16.96,10.9,0.64,22.26,January,Winter,Christmas & New Year,97.4655172413793,Satisfactory,Haveri,Karnataka,14.7180267,75.3656423
2024-01-01 11:00:00,56.77,81.0,25.55,13.6,11.0,0.65,28.36,January,Winter,Christmas & New Year,94.54241379310346,Satisfactory,Haveri,Karnataka,14.7180267,75.3656423
2024-01-01 12:00:00,55.46,81.0,27.88,13.3,11.06,0.65,29.62,January,Winter,Christmas & New Year,92.32896551724139,Satisfactory,Haveri,Karnataka,14.7180267,75.3656423
