TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,148.79,142.63,22.61,12.12,7.84,0.8,25.21,January,Winter,Christmas & New Year,322.32720930232557,Very Poor,Kalaburagi,Karnataka,17.2408957,76.7697439
2024-01-01 01:00:00,110.98,116.48,22.25,11.68,7.71,0.78,27.93,January,Winter,Christmas & New Year,269.20758620689656,Poor,Kalaburagi,Karnataka,17.2408957,76.7697439
2024-01-01 02:00:00,26.12,41.3,12.64,10.4,7.8,0.76,31.38,January,Winter,Christmas & New Year,43.53333333333334,Good,Kalaburagi,Karnataka,17.2408957,76.7697439
2024-01-01 03:00:00,26.04,69.41,12.62,10.24,7.93,0.76,30.42,January,Winter,Christmas & New Year,69.41,Satisfactory,Kalaburagi,Karnataka,17.2408957,76.7697439
2024-01-01 04:00:00,26.15,50.8,12.64,10.39,8.09,0.77,31.21,January,Winter,Christmas & New Year,43.583333333333336,Good,Kalaburagi,Karnataka,17.2408957,76.7697439
2024-01-01 05:00:00,26.11,69.53,12.77,10.27,8.08,0.76,32.64,January,Winter,Christmas & New Year,69.53,Satisfactory,Kalaburagi,Karnataka,17.2408957,76.7697439
2024-01-01 06:00:00,26.18,62.33,12.71,10.23,8.11,0.78,30.22,January,Winter,Christmas & New Year,62.33,Satisfactory,Kalaburagi,Karnataka,17.2408957,76.7697439
2024-01-01 07:00:00,26.18,65.66,12.75,10.19,8.33,0.84,29.06,January,Winter,Christmas & New Year,65.66,Satisfactory,Kalaburagi,Karnataka,17.2408957,76.7697439
2024-01-01 08:00:00,16.52,59.11,8.83,11.02,8.18,0.84,30.98,January,Winter,Christmas & New Year,59.11,Satisfactory,Kalaburagi,Karnataka,17.2408957,76.7697439
2024-01-01 09:00:00,14.67,48.14,8.2,11.24,8.1,0.8,27.92,January,Winter,Christmas & New Year,48.14,Good,Kalaburagi,Karnataka,17.2408957,76.7697439
2024-01-01 10:00:00,17.17,43.26,8.91,10.26,8.07,0.77,33.82,January,Winter,Christmas & New Year,43.26,Good,Kalaburagi,Karnataka,17.2408957,76.7697439
2024-01-01 11:00:00,21.3,61.24,9.41,9.33,7.98,0.76,43.0,January,Winter,Christmas & New Year,61.24,Satisfactory,Kalaburagi,Karnataka,17.2408957,76.7697439
2024-01-01 12:00:00,15.39,36.54,9.43,9.4,8.09,0.75,48.23,January,Winter,Christmas & New Year,48.23,Good,Kalaburagi,Karnataka,17.2408957,76.7697439
2024-01-01 13:00:00,14.39,32.97,9.4,9.45,8.18,0.74,52.92,January,Winter,Christmas & New Year,52.92,Satisfactory,Kalaburagi,Karnataka,17.2408957,76.7697439
2024-01-01 14:00:00,11.56,30.32,9.42,9.39,8.31,0.73,54.87,January,Winter,Christmas & New Year,54.87,Satisfactory,Kalaburagi,Karnataka,17.2408957,76.7697439
