TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,37.07,71.51,6.07,10.26,14.17,0.02,21.6,January,Winter,Christmas & New Year,71.51,Satisfactory,Karwar,Karnataka,14.8120931,74.1319229
2024-01-01 01:00:00,22.02,43.72,5.88,10.24,14.14,0.02,21.58,January,Winter,Christmas & New Year,43.72,Good,Karwar,Karnataka,14.8120931,74.1319229
2024-01-01 02:00:00,39.0,75.15,5.34,10.05,14.2,2.51,21.46,January,Winter,Christmas & New Year,106.1379746835443,Moderate,Karwar,Karnataka,14.8120931,74.1319229
2024-01-01 03:00:00,43.0,82.53,5.46,9.84,14.31,2.14,21.62,January,Winter,Christmas & New Year,101.50126582278482,Moderate,Karwar,Karnataka,14.8120931,74.1319229
2024-01-01 04:00:00,34.03,65.9,5.66,9.72,14.27,0.03,21.46,January,Winter,Christmas & New Year,65.9,Satisfactory,Karwar,Karnataka,14.8120931,74.1319229
2024-01-01 05:00:00,27.04,53.02,5.5,9.4,14.25,0.04,21.52,January,Winter,Christmas & New Year,53.02,Satisfactory,Karwar,Karnataka,14.8120931,74.1319229
2024-01-01 06:00:00,28.0,54.79,5.8,9.18,14.26,0.03,21.55,January,Winter,Christmas & New Year,54.79,Satisfactory,Karwar,Karnataka,14.8120931,74.1319229
2024-01-01 07:00:00,45.9,87.92,5.6,8.92,14.18,0.02,21.54,January,Winter,Christmas & New Year,87.92,Satisfactory,Karwar,Karnataka,14.8120931,74.1319229
2024-01-01 08:00:00,73.84,139.76,5.24,8.83,14.28,0.03,21.43,January,Winter,Christmas & New Year,144.83310344827586,Moderate,Karwar,Karnataka,14.8120931,74.1319229
2024-01-01 09:00:00,67.02,126.98,5.32,8.54,14.2,0.02,21.62,January,Winter,Christmas & New Year,121.55103448275861,Moderate,Karwar,Karnataka,14.8120931,74.1319229
2024-01-01 10:00:00,51.04,97.35,6.76,10.16,14.27,0.03,21.6,January,Winter,Christmas & New Year,97.35,Satisfactory,Karwar,Karnataka,14.8120931,74.1319229
2024-01-01 11:00:00,50.0,95.5,6.39,8.98,14.28,0.03,21.5,January,Winter,Christmas & New Year,95.5,Satisfactory,Karwar,Karnataka,14.8120931,74.1319229
2024-01-01 12:00:00,49.0,93.65,5.84,9.3,14.27,0.03,21.74,January,Winter,Christmas & New Year,93.65,Satisfactory,Karwar,Karnataka,14.8120931,74.1319229
2024-01-01 13:00:00,43.03,82.61,6.35,10.16,14.25,0.02,21.8,January,Winter,Christmas & New Year,82.61,Satisfactory,Karwar,Karnataka,14.8120931,74.1319229
2024-01-01 14:00:00,42.0,80.71,6.88,10.95,14.29,0.03,21.52,January,Winter,Christmas & New Year,80.71,Satisfactory,Karwar,Karnataka,14.8120931,74.1319229
2024-01-01 15:00:00,45.99,88.06,7.66,11.74,14.32,0.03,21.72,January,Winter,Christmas & New Year,88.06,Satisfactory,Karwar,Karnataka,14.8120931,74.1319229
2024-01-01 16:00:00,42.02,80.74,8.47,12.85,14.35,0.02,21.77,January,Winter,Christmas & New Year,80.74,Satisfactory,Karwar,Karnataka,14.8120931,74.1319229
2024-01-01 17:00:00,43.0,82.54,7.87,13.12,14.2,1.12,21.7,January,Winter,Christmas & New Year,82.54,Satisfactory,Karwar,Karnataka,14.8120931,74.1319229
2024-01-01 18:00:00,51.95,99.16,6.77,11.34,14.35,2.41,21.75,January,Winter,Christmas & New Year,104.88481012658228,Moderate,Karwar,Karnataka,14.8120931,74.1319229
2024-01-01 19:00:00,60.98,115.76,5.6,9.03,14.36,2.17,21.8,January,Winter,Christmas & New Year,110.80697986577181,Moderate,Karwar,Karnataka,14.8120931,74.1319229
2024-01-01 20:00:00,69.95,132.45,6.31,9.1,14.28,0.02,21.65,January,Winter,Christmas & New Year,131.55344827586208,Moderate,Karwar,Karnataka,14.8120931,74.1319229
2024-01-01 21:00:00,56.08,106.67,6.46,9.96,14.22,0.02,21.7,January,Winter,Christmas & New Year,104.76731543624162,Moderate,Karwar,Karnataka,14.8120931,74.1319229
2024-01-01 22:00:00,43.0,82.68,6.32,10.21,14.12,4.93,21.76,January,Winter,Christmas & New Year,136.4645569620253,Moderate,Karwar,Karnataka,14.8120931,74.1319229
2024-01-01 23:00:00,44.0,84.39,6.08,10.07,14.21,0.02,21.6,January,Winter,Christmas & New Year,84.39,Satisfactory,Karwar,Karnataka,14.8120931,74.1319229
2024-01-02 00:00:00,46.98,89.94,5.7,10.09,14.13,0.03,21.72,January,Winter,Christmas & New Year,89.94,Satisfactory,Karwar,Karnataka,14.8120931,74.1319229
