TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,27.27,49.31,17.9,8.94,2.56,0.59,18.07,January,Winter,Christmas & New Year,49.31,Good,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-01 01:00:00,26.94,49.03,21.4,9.01,2.25,0.92,9.51,January,Winter,Christmas & New Year,49.03,Good,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-01 02:00:00,30.69,48.83,22.66,6.92,2.08,0.69,8.19,January,Winter,Christmas & New Year,48.83,Good,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-01 03:00:00,33.72,48.67,12.46,10.4,2.87,0.48,12.74,January,Winter,Christmas & New Year,55.595862068965516,Satisfactory,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-01 04:00:00,29.66,48.58,18.21,7.9,2.63,0.47,16.07,January,Winter,Christmas & New Year,49.43333333333334,Good,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-01 05:00:00,28.78,49.08,29.62,7.92,3.18,0.5,12.85,January,Winter,Christmas & New Year,49.08,Good,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-01 06:00:00,24.06,49.12,25.89,7.89,2.61,0.82,9.14,January,Winter,Christmas & New Year,49.12,Good,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-01 07:00:00,26.86,48.84,19.45,7.86,2.57,0.65,15.14,January,Winter,Christmas & New Year,48.84,Good,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-01 08:00:00,34.3,48.62,26.4,7.85,2.5,0.66,18.95,January,Winter,Christmas & New Year,56.57586206896551,Satisfactory,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-01 09:00:00,27.8,54.14,13.33,9.57,2.57,0.66,25.99,January,Winter,Christmas & New Year,54.14,Satisfactory,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-01 10:00:00,30.05,59.06,27.89,5.68,2.08,0.46,35.95,January,Winter,Christmas & New Year,59.06,Satisfactory,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-01 11:00:00,29.61,58.67,18.67,11.84,2.08,0.45,39.14,January,Winter,Christmas & New Year,58.67,Satisfactory,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-01 12:00:00,32.67,59.04,14.06,11.08,1.79,0.42,40.02,January,Winter,Christmas & New Year,59.04,Satisfactory,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-01 13:00:00,34.8,58.62,31.55,5.16,1.46,0.3,47.57,January,Winter,Christmas & New Year,58.62,Satisfactory,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-01 14:00:00,37.99,59.12,9.68,12.88,1.98,0.49,47.27,January,Winter,Christmas & New Year,62.81068965517242,Satisfactory,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-01 15:00:00,35.9,59.05,21.9,7.52,1.14,0.42,47.87,January,Winter,Christmas & New Year,59.279310344827586,Satisfactory,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-01 16:00:00,32.3,58.87,37.44,5.09,1.88,0.37,45.06,January,Winter,Christmas & New Year,58.87,Satisfactory,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-01 17:00:00,29.87,60.61,17.19,13.48,1.82,0.68,30.2,January,Winter,Christmas & New Year,60.61,Satisfactory,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-01 18:00:00,34.35,64.96,44.98,7.36,1.81,1.34,12.57,January,Winter,Christmas & New Year,64.96,Satisfactory,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-01 19:00:00,39.24,74.67,28.87,8.89,3.02,1.12,9.02,January,Winter,Christmas & New Year,74.67,Satisfactory,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-01 20:00:00,37.52,86.21,23.69,9.35,3.31,2.03,5.03,January,Winter,Christmas & New Year,86.21,Satisfactory,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-01 21:00:00,42.06,85.74,25.68,8.7,2.5,0.53,21.31,January,Winter,Christmas & New Year,85.74,Satisfactory,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-01 22:00:00,39.78,81.92,13.34,12.25,2.58,0.27,35.24,January,Winter,Christmas & New Year,81.92,Satisfactory,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-01 23:00:00,34.7,70.7,6.92,11.45,2.18,0.29,31.9,January,Winter,Christmas & New Year,70.7,Satisfactory,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-02 00:00:00,33.85,69.85,58.22,4.47,2.66,0.32,34.26,January,Winter,Christmas & New Year,72.63538461538461,Satisfactory,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-02 01:00:00,33.52,69.52,12.05,15.26,2.02,0.36,21.38,January,Winter,Christmas & New Year,69.52,Satisfactory,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-02 02:00:00,34.13,70.13,17.77,9.83,1.54,0.28,22.68,January,Winter,Christmas & New Year,70.13,Satisfactory,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-02 03:00:00,34.06,70.06,26.52,8.12,1.98,0.27,24.4,January,Winter,Christmas & New Year,70.06,Satisfactory,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-02 04:00:00,34.22,70.22,20.39,9.34,1.59,0.38,25.4,January,Winter,Christmas & New Year,70.22,Satisfactory,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-02 05:00:00,33.82,69.82,39.92,5.78,1.32,0.46,19.37,January,Winter,Christmas & New Year,69.82,Satisfactory,Mysuru,Karnataka,12.3041464,76.6529521
2024-01-02 06:00:00,34.23,70.23,30.61,6.64,2.14,0.65,16.32,January,Winter,Christmas & New Year,70.23,Satisfactory,Mysuru,Karnataka,12.3041464,76.6529521
