TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,20.2,50.29,12.32,14.55,5.08,0.43,34.01,January,Winter,Christmas & New Year,34.01,Good,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-01 01:00:00,20.11,50.16,18.03,23.44,5.04,0.56,33.91,January,Winter,Christmas & New Year,33.91,Good,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-01 02:00:00,19.53,49.3,14.22,18.23,4.81,0.5,33.88,January,Winter,Christmas & New Year,49.3,Good,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-01 03:00:00,20.72,51.08,12.72,13.08,5.29,0.62,33.82,January,Winter,Christmas & New Year,51.08,Satisfactory,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-01 04:00:00,19.72,49.57,28.19,24.38,4.88,0.52,34.01,January,Winter,Christmas & New Year,49.57,Good,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-01 05:00:00,19.5,49.25,25.38,21.64,4.8,0.5,33.87,January,Winter,Christmas & New Year,49.25,Good,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-01 06:00:00,20.2,50.3,18.53,19.36,5.08,0.57,33.97,January,Winter,Christmas & New Year,33.97,Good,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-01 07:00:00,20.11,50.17,10.61,13.47,5.04,0.56,34.07,January,Winter,Christmas & New Year,34.07,Good,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-01 08:00:00,20.2,50.3,22.99,25.43,5.08,0.57,33.94,January,Winter,Christmas & New Year,33.94,Good,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-01 09:00:00,20.16,50.24,17.48,20.61,5.06,0.56,33.94,January,Winter,Christmas & New Year,33.94,Good,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-01 10:00:00,20.38,50.56,11.66,13.09,5.15,0.59,34.06,January,Winter,Christmas & New Year,34.06,Good,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-01 11:00:00,19.67,49.51,12.04,14.7,4.87,0.52,34.19,January,Winter,Christmas & New Year,49.51,Good,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-01 12:00:00,20.11,50.17,10.28,12.0,5.05,0.56,34.11,January,Winter,Christmas & New Year,34.11,Good,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-01 13:00:00,20.1,50.16,11.54,13.28,5.04,0.56,34.18,January,Winter,Christmas & New Year,34.18,Good,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-01 14:00:00,19.73,49.59,8.86,9.77,4.89,0.52,34.11,January,Winter,Christmas & New Year,49.59,Good,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-01 15:00:00,19.74,49.61,11.08,11.57,4.89,0.52,34.06,January,Winter,Christmas & New Year,49.61,Good,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-01 16:00:00,20.59,50.78,20.78,29.78,5.2,0.6,32.58,January,Winter,Christmas & New Year,34.31666666666667,Good,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-01 17:00:00,21.31,52.03,15.45,20.07,5.47,0.54,30.26,January,Winter,Christmas & New Year,52.03,Satisfactory,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-01 18:00:00,28.35,62.53,9.1,9.93,8.14,0.8,19.99,January,Winter,Christmas & New Year,62.53,Satisfactory,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-01 19:00:00,28.67,63.03,12.02,12.6,8.27,0.84,19.98,January,Winter,Christmas & New Year,63.03,Satisfactory,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-01 20:00:00,27.97,61.96,12.12,13.13,7.99,0.77,20.0,January,Winter,Christmas & New Year,61.96,Satisfactory,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-01 21:00:00,26.72,59.66,11.71,13.02,7.02,0.68,20.0,January,Winter,Christmas & New Year,59.66,Satisfactory,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-01 22:00:00,21.01,49.02,15.43,24.84,2.0,0.32,19.9,January,Winter,Christmas & New Year,49.02,Good,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-01 23:00:00,20.77,48.66,15.77,16.55,1.91,0.3,19.92,January,Winter,Christmas & New Year,48.66,Good,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-02 00:00:00,21.51,49.76,9.24,11.01,2.2,0.28,20.0,January,Winter,Christmas & New Year,49.76,Good,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-02 01:00:00,20.79,48.69,11.27,13.01,1.92,0.3,20.08,January,Winter,Christmas & New Year,48.69,Good,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-02 02:00:00,21.09,49.14,11.54,12.12,2.04,0.33,19.96,January,Winter,Christmas & New Year,49.14,Good,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-02 03:00:00,20.61,48.41,10.41,11.69,1.84,0.28,19.97,January,Winter,Christmas & New Year,48.41,Good,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-02 04:00:00,21.33,49.49,11.39,12.26,2.13,0.36,19.94,January,Winter,Christmas & New Year,49.49,Good,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-02 05:00:00,20.94,48.9,10.85,14.25,1.98,0.32,28.85,January,Winter,Christmas & New Year,48.9,Good,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-02 06:00:00,21.35,49.52,10.37,11.26,2.14,0.35,25.92,January,Winter,Christmas & New Year,49.52,Good,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-02 07:00:00,30.66,67.05,11.82,13.34,6.57,0.58,23.36,January,Winter,Christmas & New Year,67.05,Satisfactory,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-02 08:00:00,30.93,67.89,16.63,21.56,7.08,0.52,28.33,January,Winter,Christmas & New Year,67.89,Satisfactory,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-02 09:00:00,31.16,68.25,10.91,13.33,6.96,0.53,31.9,January,Winter,Christmas & New Year,68.25,Satisfactory,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-02 10:00:00,30.65,67.47,16.05,16.75,6.84,0.49,36.49,January,Winter,Christmas & New Year,67.47,Satisfactory,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-02 11:00:00,30.74,67.61,11.64,13.3,6.88,0.5,48.98,January,Winter,Christmas & New Year,67.61,Satisfactory,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-02 12:00:00,30.34,67.02,13.28,16.1,6.92,0.46,56.92,January,Winter,Christmas & New Year,67.02,Satisfactory,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-02 13:00:00,30.97,67.95,10.72,12.49,7.11,0.52,56.67,January,Winter,Christmas & New Year,67.95,Satisfactory,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-02 14:00:00,30.9,67.86,15.36,20.7,6.86,0.51,57.4,January,Winter,Christmas & New Year,67.86,Satisfactory,Shivamogga,Karnataka,13.9326093,75.574978
2024-01-02 15:00:00,31.13,68.19,13.13,13.95,6.88,0.53,57.44,January,Winter,Christmas & New Year,68.19,Satisfactory,Shivamogga,Karnataka,13.9326093,75.574978
