TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,13.895,59.4,10.66,6.8,13.83,1.0,23.07,January,Winter,Christmas & New Year,59.4,Satisfactory,Udupi,Karnataka,13.5269784,74.8731879
2024-01-01 01:00:00,13.895,46.22,10.73,6.5,13.54,0.96,23.09,January,Winter,Christmas & New Year,48.0,Good,Udupi,Karnataka,13.5269784,74.8731879
2024-01-01 02:00:00,13.895,39.1,10.6,6.49,14.06,0.93,23.07,January,Winter,Christmas & New Year,46.5,Good,Udupi,Karnataka,13.5269784,74.8731879
2024-01-01 03:00:00,13.895,49.85,10.12,7.55,16.09,0.92,23.02,January,Winter,Christmas & New Year,49.85,Good,Udupi,Karnataka,13.5269784,74.8731879
2024-01-01 04:00:00,13.895,41.64,9.93,7.8,15.46,0.92,22.98,January,Winter,Christmas & New Year,46.0,Good,Udupi,Karnataka,13.5269784,74.8731879
2024-01-01 05:00:00,13.895,38.06,9.81,8.18,15.52,0.92,23.16,January,Winter,Christmas & New Year,46.0,Good,Udupi,Karnataka,13.5269784,74.8731879
2024-01-01 06:00:00,13.895,44.39,9.75,8.24,15.51,0.94,23.04,January,Winter,Christmas & New Year,47.0,Good,Udupi,Karnataka,13.5269784,74.8731879
2024-01-01 07:00:00,13.895,51.4,10.08,7.38,14.09,0.99,23.06,January,Winter,Christmas & New Year,51.4,Satisfactory,Udupi,Karnataka,13.5269784,74.8731879
2024-01-01 08:00:00,13.895,57.91,10.44,6.93,13.87,1.01,23.18,January,Winter,Christmas & New Year,57.91,Satisfactory,Udupi,Karnataka,13.5269784,74.8731879
2024-01-01 09:00:00,13.895,50.62,10.84,6.5,13.79,1.0,23.1,January,Winter,Christmas & New Year,50.0,Good,Udupi,Karnataka,13.5269784,74.8731879
2024-01-01 10:00:00,13.895,44.11,10.72,6.96,15.91,1.01,23.09,January,Winter,Christmas & New Year,44.11,Good,Udupi,Karnataka,13.5269784,74.8731879
2024-01-01 11:00:00,13.895,41.05,10.53,8.04,16.47,1.01,23.1,January,Winter,Christmas & New Year,41.05,Good,Udupi,Karnataka,13.5269784,74.8731879
2024-01-01 12:00:00,13.895,39.04,11.2,7.32,16.17,0.98,23.07,January,Winter,Christmas & New Year,49.0,Good,Udupi,Karnataka,13.5269784,74.8731879
2024-01-01 13:00:00,13.895,39.0,9.54,8.75,18.63,0.93,22.92,January,Winter,Christmas & New Year,46.5,Good,Udupi,Karnataka,13.5269784,74.8731879
2024-01-01 14:00:00,13.895,37.21,10.07,8.84,16.47,0.9,23.14,January,Winter,Christmas & New Year,45.0,Good,Udupi,Karnataka,13.5269784,74.8731879
2024-01-01 15:00:00,13.895,36.0,10.09,7.96,16.57,0.89,22.98,January,Winter,Christmas & New Year,44.5,Good,Udupi,Karnataka,13.5269784,74.8731879
2024-01-01 16:00:00,13.895,39.46,10.28,7.64,16.3,0.89,23.04,January,Winter,Christmas & New Year,44.5,Good,Udupi,Karnataka,13.5269784,74.8731879
2024-01-01 17:00:00,13.895,38.02,10.3,7.52,16.08,0.9,23.13,January,Winter,Christmas & New Year,45.0,Good,Udupi,Karnataka,13.5269784,74.8731879
2024-01-01 18:00:00,13.895,40.47,10.44,6.95,15.03,0.9,23.09,January,Winter,Christmas & New Year,45.0,Good,Udupi,Karnataka,13.5269784,74.8731879
2024-01-01 19:00:00,13.895,45.92,10.38,7.21,15.28,0.93,23.3,January,Winter,Christmas & New Year,46.5,Good,Udupi,Karnataka,13.5269784,74.8731879
2024-01-01 20:00:00,13.895,54.85,10.2,7.73,15.53,0.99,23.14,January,Winter,Christmas & New Year,54.85,Satisfactory,Udupi,Karnataka,13.5269784,74.8731879
2024-01-01 21:00:00,13.895,61.88,10.12,7.93,15.9,1.07,23.59,January,Winter,Christmas & New Year,61.88,Satisfactory,Udupi,Karnataka,13.5269784,74.8731879
2024-01-01 22:00:00,13.895,64.96,9.97,8.3,15.08,1.06,23.54,January,Winter,Christmas & New Year,64.96,Satisfactory,Udupi,Karnataka,13.5269784,74.8731879
2024-01-01 23:00:00,13.895,64.02,10.17,8.09,15.16,1.02,23.34,January,Winter,Christmas & New Year,64.02,Satisfactory,Udupi,Karnataka,13.5269784,74.8731879
2024-01-02 00:00:00,13.895,59.08,10.07,7.83,15.34,0.98,23.27,January,Winter,Christmas & New Year,59.08,Satisfactory,Udupi,Karnataka,13.5269784,74.8731879
2024-01-02 01:00:00,13.895,34.91,10.06,7.7,15.42,0.94,23.26,January,Winter,Christmas & New Year,47.0,Good,Udupi,Karnataka,13.5269784,74.8731879
2024-01-02 02:00:00,13.895,38.44,9.96,7.64,15.9,0.93,23.02,January,Winter,Christmas & New Year,46.5,Good,Udupi,Karnataka,13.5269784,74.8731879
2024-01-02 03:00:00,13.895,36.04,9.84,7.7,15.86,0.92,23.04,January,Winter,Christmas & New Year,46.0,Good,Udupi,Karnataka,13.5269784,74.8731879
