TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,18.3,53.97,8.5,6.39,0.92,0.41,16.84,January,Winter,Christmas & New Year,53.97,Satisfactory,Vijayapura,Karnataka,16.814415,75.8933856
2024-01-01 01:00:00,20.98,53.74,8.0,5.13,0.91,0.51,19.03,January,Winter,Christmas & New Year,53.74,Satisfactory,Vijayapura,Karnataka,16.814415,75.8933856
2024-01-01 02:00:00,21.14,54.19,7.98,5.18,1.04,0.51,19.19,January,Winter,Christmas & New Year,54.19,Satisfactory,Vijayapura,Karnataka,16.814415,75.8933856
2024-01-01 03:00:00,21.17,54.3,8.07,5.16,1.14,0.51,19.24,January,Winter,Christmas & New Year,54.3,Satisfactory,Vijayapura,Karnataka,16.814415,75.8933856
2024-01-01 04:00:00,20.79,53.2,8.0,5.23,1.25,0.51,18.83,January,Winter,Christmas & New Year,53.2,Satisfactory,Vijayapura,Karnataka,16.814415,75.8933856
2024-01-01 05:00:00,21.28,54.59,7.92,5.17,0.7,0.51,19.34,January,Winter,Christmas & New Year,54.59,Satisfactory,Vijayapura,Karnataka,16.814415,75.8933856
2024-01-01 06:00:00,21.13,54.16,8.06,5.16,0.65,0.51,19.18,January,Winter,Christmas & New Year,54.16,Satisfactory,Vijayapura,Karnataka,16.814415,75.8933856
2024-01-01 07:00:00,21.13,54.18,7.91,5.09,0.78,0.51,19.19,January,Winter,Christmas & New Year,54.18,Satisfactory,Vijayapura,Karnataka,16.814415,75.8933856
2024-01-01 08:00:00,21.36,55.07,7.99,5.26,0.89,0.51,19.43,January,Winter,Christmas & New Year,55.07,Satisfactory,Vijayapura,Karnataka,16.814415,75.8933856
2024-01-01 09:00:00,20.95,53.66,8.03,5.22,6.555,0.51,19.0,January,Winter,Christmas & New Year,53.66,Satisfactory,Vijayapura,Karnataka,16.814415,75.8933856
2024-01-01 10:00:00,21.17,54.3,8.04,5.15,6.555,0.51,19.24,January,Winter,Christmas & New Year,54.3,Satisfactory,Vijayapura,Karnataka,16.814415,75.8933856
2024-01-01 11:00:00,21.14,54.19,7.96,5.08,6.555,0.51,19.2,January,Winter,Christmas & New Year,54.19,Satisfactory,Vijayapura,Karnataka,16.814415,75.8933856
