TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,24.58,57.66,4.75,2.16,14.0,0.65,31.54,January,Winter,Christmas & New Year,57.66,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-01-01 01:00:00,24.52,57.05,4.87,2.28,17.13,0.58,31.5,January,Winter,Christmas & New Year,57.05,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-01-01 02:00:00,25.08,58.7,4.52,2.3,5.28,0.08,31.45,January,Winter,Christmas & New Year,58.7,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-01-01 03:00:00,25.32,58.8,5.09,2.27,9.0,0.1,31.45,January,Winter,Christmas & New Year,58.8,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-01-01 04:00:00,20.21,47.86,4.81,1.95,12.62,0.21,31.44,January,Winter,Christmas & New Year,47.86,Good,Kannur,Kerala,11.8763836,75.3737973
2024-01-01 05:00:00,24.65,57.74,4.86,2.06,14.53,0.33,31.52,January,Winter,Christmas & New Year,57.74,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-01-01 06:00:00,25.45,59.62,4.81,2.22,5.1,0.72,31.53,January,Winter,Christmas & New Year,59.62,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-01-01 07:00:00,21.84,49.38,4.78,2.2,7.42,1.06,31.63,January,Winter,Christmas & New Year,49.38,Good,Kannur,Kerala,11.8763836,75.3737973
2024-01-01 08:00:00,22.96,54.06,5.08,2.22,10.61,0.87,32.89,January,Winter,Christmas & New Year,54.06,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-01-01 09:00:00,23.28,54.49,5.03,2.28,10.46,0.94,33.9,January,Winter,Christmas & New Year,54.49,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-01-01 10:00:00,23.16,54.44,4.96,2.04,1.92,0.7,33.66,January,Winter,Christmas & New Year,54.44,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-01-01 11:00:00,22.97,55.36,4.94,2.12,0.37,0.73,33.69,January,Winter,Christmas & New Year,55.36,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-01-01 12:00:00,23.05,52.2,4.84,2.08,3.46,0.84,34.16,January,Winter,Christmas & New Year,52.2,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-01-01 13:00:00,23.62,54.53,5.16,2.29,3.46,0.87,33.15,January,Winter,Christmas & New Year,54.53,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-01-01 14:00:00,22.76,53.56,5.29,2.16,0.46,1.16,32.33,January,Winter,Christmas & New Year,54.26666666666666,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-01-01 15:00:00,23.49,57.56,5.01,2.2,0.04,1.49,32.17,January,Winter,Christmas & New Year,72.23333333333333,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-01-01 16:00:00,22.58,56.73,5.05,2.27,3.46,1.15,31.77,January,Winter,Christmas & New Year,56.73,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-01-01 17:00:00,24.53,57.66,4.92,2.3,3.46,1.24,31.57,January,Winter,Christmas & New Year,58.62222222222222,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
