TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,71.63,94.13,6.41,3.0,1.28,0.39,32.31,January,Winter,Christmas & New Year,137.28862068965515,Moderate,Kollam,Kerala,8.8870533,76.5906696
2024-01-01 01:00:00,61.5,84.0,6.73,2.66,0.98,0.38,31.38,January,Winter,Christmas & New Year,102.70689655172414,Moderate,Kollam,Kerala,8.8870533,76.5906696
2024-01-01 02:00:00,61.32,83.82,6.35,3.01,0.75,0.27,30.91,January,Winter,Christmas & New Year,102.09241379310345,Moderate,Kollam,Kerala,8.8870533,76.5906696
2024-01-01 03:00:00,53.27,75.77,6.72,2.86,0.98,0.23,30.65,January,Winter,Christmas & New Year,88.62862068965518,Satisfactory,Kollam,Kerala,8.8870533,76.5906696
2024-01-01 04:00:00,39.77,62.27,6.5,2.82,0.84,0.22,30.23,January,Winter,Christmas & New Year,65.81827586206897,Satisfactory,Kollam,Kerala,8.8870533,76.5906696
2024-01-01 05:00:00,38.97,61.47,7.08,2.87,0.25,0.24,30.17,January,Winter,Christmas & New Year,64.46655172413793,Satisfactory,Kollam,Kerala,8.8870533,76.5906696
2024-01-01 06:00:00,34.12,56.62,6.7,2.87,0.02,0.29,30.66,January,Winter,Christmas & New Year,56.62,Satisfactory,Kollam,Kerala,8.8870533,76.5906696
2024-01-01 07:00:00,43.6,66.1,6.85,2.89,0.5,0.49,31.02,January,Winter,Christmas & New Year,72.2896551724138,Satisfactory,Kollam,Kerala,8.8870533,76.5906696
2024-01-01 08:00:00,72.56,95.06,6.56,2.96,3.46,0.42,31.89,January,Winter,Christmas & New Year,140.46344827586208,Moderate,Kollam,Kerala,8.8870533,76.5906696
2024-01-01 09:00:00,89.14,111.64,6.34,2.82,19.61,0.4,33.37,January,Winter,Christmas & New Year,197.06413793103448,Moderate,Kollam,Kerala,8.8870533,76.5906696
2024-01-01 10:00:00,86.0,108.5,6.41,2.96,32.53,0.3,34.51,January,Winter,Christmas & New Year,186.3448275862069,Moderate,Kollam,Kerala,8.8870533,76.5906696
2024-01-01 11:00:00,78.33,100.83,6.58,2.78,25.23,0.27,34.41,January,Winter,Christmas & New Year,160.16103448275862,Moderate,Kollam,Kerala,8.8870533,76.5906696
2024-01-01 12:00:00,60.24,82.74,6.79,2.86,1.53,0.24,34.21,January,Winter,Christmas & New Year,82.74,Satisfactory,Kollam,Kerala,8.8870533,76.5906696
2024-01-01 13:00:00,52.38,74.88,6.84,2.73,1.63,0.22,34.0,January,Winter,Christmas & New Year,87.1248275862069,Satisfactory,Kollam,Kerala,8.8870533,76.5906696
2024-01-01 14:00:00,41.0,63.5,6.8,2.83,1.63,0.2,33.57,January,Winter,Christmas & New Year,67.89655172413794,Satisfactory,Kollam,Kerala,8.8870533,76.5906696
2024-01-01 15:00:00,37.72,60.22,6.86,2.66,1.63,0.19,32.83,January,Winter,Christmas & New Year,62.35448275862069,Satisfactory,Kollam,Kerala,8.8870533,76.5906696
2024-01-01 16:00:00,39.15,61.64,6.73,2.65,1.13,0.22,32.6,January,Winter,Christmas & New Year,64.77068965517242,Satisfactory,Kollam,Kerala,8.8870533,76.5906696
2024-01-01 17:00:00,43.69,66.19,6.48,3.06,0.13,0.3,32.56,January,Winter,Christmas & New Year,72.44172413793103,Satisfactory,Kollam,Kerala,8.8870533,76.5906696
2024-01-01 18:00:00,53.68,76.18,6.58,2.84,1.63,0.48,32.25,January,Winter,Christmas & New Year,89.32137931034484,Satisfactory,Kollam,Kerala,8.8870533,76.5906696
