TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,38.67,70.54,7.3,3.0,5.23,0.41,28.32,January,Winter,Christmas & New Year,70.54,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-01 01:00:00,36.42,66.88,7.13,2.86,5.96,0.43,26.85,January,Winter,Christmas & New Year,66.88,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-01 02:00:00,40.66,74.11,7.05,3.14,6.82,0.48,29.75,January,Winter,Christmas & New Year,74.11,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-01 03:00:00,40.12,73.14,6.96,3.11,6.9,0.37,29.36,January,Winter,Christmas & New Year,73.14,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-01 04:00:00,38.63,70.8,7.09,3.02,5.66,0.36,28.42,January,Winter,Christmas & New Year,70.8,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-01 05:00:00,40.15,73.26,7.15,3.11,7.06,0.43,29.41,January,Winter,Christmas & New Year,73.26,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-01 06:00:00,36.84,67.53,7.11,2.88,7.86,0.55,27.11,January,Winter,Christmas & New Year,67.53,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-01 07:00:00,39.07,71.31,7.16,3.03,8.8,0.86,28.62,January,Winter,Christmas & New Year,71.31,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-01 08:00:00,38.1,69.64,7.32,2.96,9.02,0.97,27.96,January,Winter,Christmas & New Year,69.64,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-01 09:00:00,38.03,69.47,7.09,2.96,10.58,0.74,27.89,January,Winter,Christmas & New Year,69.47,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-01 10:00:00,32.22,61.98,9.14,5.33,7.69,0.34,23.6,January,Winter,Christmas & New Year,61.98,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-01 11:00:00,33.2,62.51,9.04,5.74,6.42,0.5,19.4,January,Winter,Christmas & New Year,62.51,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-01 12:00:00,30.5,55.2,8.95,5.44,4.26,0.6,19.32,January,Winter,Christmas & New Year,55.2,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-01 13:00:00,25.3,50.5,8.66,5.62,5.26,0.52,19.93,January,Winter,Christmas & New Year,42.16666666666667,Good,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-01 14:00:00,25.68,54.36,8.93,5.56,5.66,0.5,20.82,January,Winter,Christmas & New Year,54.36,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-01 15:00:00,28.76,58.0,8.82,5.64,5.72,0.42,19.5,January,Winter,Christmas & New Year,58.0,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-01 16:00:00,30.16,55.04,9.16,5.52,6.16,0.71,22.08,January,Winter,Christmas & New Year,55.04,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-01 17:00:00,30.31,57.66,8.88,5.48,6.5,0.86,18.71,January,Winter,Christmas & New Year,57.66,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-01 18:00:00,33.75,62.55,8.7,5.55,6.6,0.86,20.36,January,Winter,Christmas & New Year,62.55,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-01 19:00:00,38.4,77.02,9.29,5.67,5.66,0.9,22.98,January,Winter,Christmas & New Year,77.02,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-01 20:00:00,42.52,76.48,8.7,5.65,7.18,0.61,22.5,January,Winter,Christmas & New Year,76.48,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-01 21:00:00,47.16,84.36,8.91,5.54,7.96,0.71,20.16,January,Winter,Christmas & New Year,84.36,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-01 22:00:00,44.64,77.63,8.68,5.54,8.4,0.62,20.34,January,Winter,Christmas & New Year,77.63,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-01 23:00:00,43.72,74.94,8.86,5.67,9.24,0.57,18.78,January,Winter,Christmas & New Year,74.94,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-02 00:00:00,39.25,72.84,8.77,5.8,9.91,0.54,22.1,January,Winter,Christmas & New Year,72.84,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-02 01:00:00,38.47,69.0,9.04,5.5,6.5,0.53,17.01,January,Winter,Christmas & New Year,69.0,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-02 02:00:00,39.47,70.18,8.69,5.56,6.38,0.52,38.72,January,Winter,Christmas & New Year,70.18,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-02 03:00:00,40.26,69.08,8.84,5.68,7.14,0.5,23.38,January,Winter,Christmas & New Year,69.08,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-02 04:00:00,37.01,61.36,8.64,5.72,6.79,0.47,23.49,January,Winter,Christmas & New Year,61.36,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-02 05:00:00,39.0,62.66,8.93,5.58,7.18,0.46,20.65,January,Winter,Christmas & New Year,64.51724137931035,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-02 06:00:00,38.6,62.28,9.14,5.58,6.32,0.48,20.69,January,Winter,Christmas & New Year,63.841379310344834,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-02 07:00:00,39.79,65.73,8.68,5.55,7.56,0.54,20.9,January,Winter,Christmas & New Year,65.85206896551725,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-02 08:00:00,58.43,92.08,8.91,5.66,8.46,0.57,21.08,January,Winter,Christmas & New Year,97.34724137931035,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-02 09:00:00,42.47,76.33,9.01,5.52,9.48,0.5,20.2,January,Winter,Christmas & New Year,76.33,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-02 10:00:00,40.18,69.48,9.11,5.48,8.28,0.45,19.62,January,Winter,Christmas & New Year,69.48,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-02 11:00:00,31.22,55.96,8.73,5.52,8.86,0.53,18.82,January,Winter,Christmas & New Year,55.96,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-02 12:00:00,35.12,62.82,8.49,5.82,9.37,0.48,20.84,January,Winter,Christmas & New Year,62.82,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-02 13:00:00,31.36,56.84,9.16,5.3,8.7,0.51,20.4,January,Winter,Christmas & New Year,56.84,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-02 14:00:00,32.54,59.69,8.86,5.63,8.56,0.55,21.05,January,Winter,Christmas & New Year,59.69,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-02 15:00:00,33.41,59.09,9.38,5.46,8.61,0.56,21.72,January,Winter,Christmas & New Year,59.09,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-02 16:00:00,34.78,62.72,9.25,5.47,6.44,0.46,22.86,January,Winter,Christmas & New Year,62.72,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-02 17:00:00,35.94,62.76,8.81,5.54,6.38,0.44,22.98,January,Winter,Christmas & New Year,62.76,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-02 18:00:00,34.7,62.65,8.86,5.6,6.88,0.44,20.58,January,Winter,Christmas & New Year,62.65,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-02 19:00:00,37.61,70.78,8.83,5.77,8.65,0.46,22.12,January,Winter,Christmas & New Year,70.78,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-02 20:00:00,43.07,73.96,9.1,5.52,7.12,0.47,20.36,January,Winter,Christmas & New Year,73.96,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-02 21:00:00,41.54,72.0,9.14,5.48,6.18,0.51,19.68,January,Winter,Christmas & New Year,72.0,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-02 22:00:00,41.01,68.82,8.63,5.61,5.9,0.6,19.3,January,Winter,Christmas & New Year,68.82,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-02 23:00:00,40.2,66.74,8.64,5.7,6.41,0.54,20.84,January,Winter,Christmas & New Year,66.74,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-03 00:00:00,38.7,67.77,8.64,5.68,9.01,0.48,21.51,January,Winter,Christmas & New Year,67.77,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-03 01:00:00,34.3,58.76,9.2,5.5,9.19,0.44,20.58,January,Winter,Christmas & New Year,58.76,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-03 02:00:00,32.18,57.1,8.58,5.64,11.13,0.38,39.23,January,Winter,Christmas & New Year,57.1,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
2024-01-03 03:00:00,31.1,57.24,9.03,5.63,10.88,0.38,23.28,January,Winter,Christmas & New Year,57.24,Satisfactory,Thiruvananthapuram,Kerala,8.4882267,76.947551
