TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,79.44,125.0,25.35,14.83,6.54,1.38,16.78,January,Winter,Christmas & New Year,163.9503448275862,Moderate,Jabalpur,Madhya Pradesh,23.1701522,79.9324505
2024-01-01 01:00:00,87.94,137.12,22.67,14.73,6.52,1.28,13.49,January,Winter,Christmas & New Year,192.96758620689656,Moderate,Jabalpur,Madhya Pradesh,23.1701522,79.9324505
2024-01-01 02:00:00,79.19,127.62,20.48,15.21,6.24,1.06,13.26,January,Winter,Christmas & New Year,163.09689655172411,Moderate,Jabalpur,Madhya Pradesh,23.1701522,79.9324505
2024-01-01 03:00:00,68.31,109.44,18.3,14.94,6.38,0.99,12.87,January,Winter,Christmas & New Year,125.9548275862069,Moderate,Jabalpur,Madhya Pradesh,23.1701522,79.9324505
2024-01-01 04:00:00,62.5,98.94,17.23,15.34,6.46,0.94,13.87,January,Winter,Christmas & New Year,106.12068965517241,Moderate,Jabalpur,Madhya Pradesh,23.1701522,79.9324505
2024-01-01 05:00:00,59.25,95.12,17.05,15.18,6.57,0.98,10.66,January,Winter,Christmas & New Year,98.73275862068965,Satisfactory,Jabalpur,Madhya Pradesh,23.1701522,79.9324505
2024-01-01 06:00:00,60.81,96.81,17.59,14.98,6.75,1.01,9.26,January,Winter,Christmas & New Year,96.81,Satisfactory,Jabalpur,Madhya Pradesh,23.1701522,79.9324505
2024-01-01 07:00:00,62.44,98.19,19.01,14.61,6.54,1.1,9.64,January,Winter,Christmas & New Year,105.91586206896551,Moderate,Jabalpur,Madhya Pradesh,23.1701522,79.9324505
2024-01-01 08:00:00,66.25,107.62,21.34,14.92,7.39,1.08,23.84,January,Winter,Christmas & New Year,118.92241379310344,Moderate,Jabalpur,Madhya Pradesh,23.1701522,79.9324505
2024-01-01 09:00:00,67.88,106.12,16.86,15.43,10.09,0.98,56.28,January,Winter,Christmas & New Year,124.48689655172413,Moderate,Jabalpur,Madhya Pradesh,23.1701522,79.9324505
