TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,86.75,141.5,12.3,19.82,9.62,1.15,30.0,January,Winter,Christmas & New Year,188.90517241379308,Moderate,Katni,Madhya Pradesh,23.7176393,80.2610181
2024-01-01 01:00:00,95.0,143.75,13.98,21.3,8.95,0.85,32.5,January,Winter,Christmas & New Year,214.6551724137931,Poor,Katni,Madhya Pradesh,23.7176393,80.2610181
2024-01-01 02:00:00,66.25,107.5,14.68,23.28,8.57,0.8,38.8,January,Winter,Christmas & New Year,118.92241379310344,Moderate,Katni,Madhya Pradesh,23.7176393,80.2610181
2024-01-01 03:00:00,60.0,100.5,11.78,24.72,7.8,0.82,39.38,January,Winter,Christmas & New Year,100.0,Satisfactory,Katni,Madhya Pradesh,23.7176393,80.2610181
2024-01-01 04:00:00,56.5,101.5,16.65,22.8,7.52,0.8,43.85,January,Winter,Christmas & New Year,101.33221476510067,Moderate,Katni,Madhya Pradesh,23.7176393,80.2610181
2024-01-01 05:00:00,54.0,100.25,12.85,20.0,7.08,0.87,42.75,January,Winter,Christmas & New Year,89.86206896551724,Satisfactory,Katni,Madhya Pradesh,23.7176393,80.2610181
2024-01-01 06:00:00,51.5,100.25,14.4,18.62,8.12,0.96,35.5,January,Winter,Christmas & New Year,85.63793103448276,Satisfactory,Katni,Madhya Pradesh,23.7176393,80.2610181
2024-01-01 07:00:00,51.5,94.5,9.93,18.82,7.52,1.08,33.95,January,Winter,Christmas & New Year,94.5,Satisfactory,Katni,Madhya Pradesh,23.7176393,80.2610181
2024-01-01 08:00:00,47.75,85.5,8.45,19.62,6.9,1.04,33.2,January,Winter,Christmas & New Year,85.5,Satisfactory,Katni,Madhya Pradesh,23.7176393,80.2610181
2024-01-01 09:00:00,52.5,90.5,11.65,20.0,8.78,0.9,41.0,January,Winter,Christmas & New Year,90.5,Satisfactory,Katni,Madhya Pradesh,23.7176393,80.2610181
2024-01-01 10:00:00,63.0,94.5,14.88,22.95,9.27,0.87,54.38,January,Winter,Christmas & New Year,107.82758620689656,Moderate,Katni,Madhya Pradesh,23.7176393,80.2610181
2024-01-01 11:00:00,72.25,106.25,14.57,22.63,12.35,0.9,66.55,January,Winter,Christmas & New Year,139.4051724137931,Moderate,Katni,Madhya Pradesh,23.7176393,80.2610181
2024-01-01 12:00:00,73.25,118.25,7.6,22.27,11.32,0.86,65.4,January,Winter,Christmas & New Year,142.8189655172414,Moderate,Katni,Madhya Pradesh,23.7176393,80.2610181
2024-01-01 13:00:00,72.75,116.0,7.15,21.52,12.12,1.06,70.4,January,Winter,Christmas & New Year,141.11206896551724,Moderate,Katni,Madhya Pradesh,23.7176393,80.2610181
2024-01-01 14:00:00,69.25,114.75,4.75,17.98,11.82,0.99,76.88,January,Winter,Christmas & New Year,129.16379310344828,Moderate,Katni,Madhya Pradesh,23.7176393,80.2610181
2024-01-01 15:00:00,70.0,112.25,5.73,17.55,12.45,1.05,77.7,January,Winter,Christmas & New Year,131.72413793103448,Moderate,Katni,Madhya Pradesh,23.7176393,80.2610181
2024-01-01 16:00:00,71.5,115.5,6.93,17.38,12.72,1.09,75.18,January,Winter,Christmas & New Year,136.8448275862069,Moderate,Katni,Madhya Pradesh,23.7176393,80.2610181
2024-01-01 17:00:00,76.25,120.5,33.67,22.4,12.6,1.54,56.28,January,Winter,Christmas & New Year,153.06034482758622,Moderate,Katni,Madhya Pradesh,23.7176393,80.2610181
2024-01-01 18:00:00,86.5,152.0,42.35,25.75,11.88,1.79,45.82,January,Winter,Christmas & New Year,188.05172413793105,Moderate,Katni,Madhya Pradesh,23.7176393,80.2610181
2024-01-01 19:00:00,116.5,194.75,40.7,26.58,10.52,1.92,33.22,January,Winter,Christmas & New Year,288.05172413793105,Poor,Katni,Madhya Pradesh,23.7176393,80.2610181
2024-01-01 20:00:00,122.0,214.25,43.08,25.3,10.02,2.04,30.05,January,Winter,Christmas & New Year,301.7674418604651,Very Poor,Katni,Madhya Pradesh,23.7176393,80.2610181
2024-01-01 21:00:00,123.75,205.5,35.58,24.15,10.1,1.9,36.08,January,Winter,Christmas & New Year,303.11046511627904,Very Poor,Katni,Madhya Pradesh,23.7176393,80.2610181
2024-01-01 22:00:00,116.0,178.5,23.95,21.35,8.28,1.48,42.55,January,Winter,Christmas & New Year,286.34482758620686,Poor,Katni,Madhya Pradesh,23.7176393,80.2610181
2024-01-01 23:00:00,101.25,152.5,19.58,18.9,8.9,1.16,48.45,January,Winter,Christmas & New Year,235.99137931034483,Poor,Katni,Madhya Pradesh,23.7176393,80.2610181
2024-01-02 00:00:00,94.0,143.25,15.72,19.12,9.8,0.92,40.75,January,Winter,Christmas & New Year,211.24137931034483,Poor,Katni,Madhya Pradesh,23.7176393,80.2610181
2024-01-02 01:00:00,100.25,155.5,19.88,21.78,9.7,0.89,24.98,January,Winter,Christmas & New Year,232.57758620689654,Poor,Katni,Madhya Pradesh,23.7176393,80.2610181
2024-01-02 02:00:00,108.75,174.25,16.77,24.75,9.55,0.77,19.98,January,Winter,Christmas & New Year,261.5948275862069,Poor,Katni,Madhya Pradesh,23.7176393,80.2610181
