TIMESTAMP,PM2.5,PM10,NO2,SO2,CO,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,53.06,92.09,11.16,10.02,1.29,January,Winter,Christmas & New Year,92.09,Satisfactory,Maihar,Madhya Pradesh,24.260444,80.7592749
2024-01-01 01:00:00,53.34,86.7,11.14,10.04,1.33,January,Winter,Christmas & New Year,88.74689655172415,Satisfactory,Maihar,Madhya Pradesh,24.260444,80.7592749
2024-01-01 02:00:00,50.74,93.25,11.13,9.54,1.39,January,Winter,Christmas & New Year,93.25,Satisfactory,Maihar,Madhya Pradesh,24.260444,80.7592749
2024-01-01 03:00:00,41.49,93.04,11.16,9.53,1.31,January,Winter,Christmas & New Year,93.04,Satisfactory,Maihar,Madhya Pradesh,24.260444,80.7592749
2024-01-01 04:00:00,38.13,100.73,11.2,10.55,1.31,January,Winter,Christmas & New Year,63.04724137931035,Satisfactory,Maihar,Madhya Pradesh,24.260444,80.7592749
2024-01-01 05:00:00,57.02,100.89,11.14,9.61,1.36,January,Winter,Christmas & New Year,94.9648275862069,Satisfactory,Maihar,Madhya Pradesh,24.260444,80.7592749
2024-01-01 06:00:00,55.62,39.565,11.14,9.36,1.44,January,Winter,Christmas & New Year,92.59931034482759,Satisfactory,Maihar,Madhya Pradesh,24.260444,80.7592749
2024-01-01 07:00:00,52.93,39.565,11.11,9.61,1.41,January,Winter,Christmas & New Year,88.05413793103449,Satisfactory,Maihar,Madhya Pradesh,24.260444,80.7592749
2024-01-01 08:00:00,59.55,39.565,11.14,9.62,1.41,January,Winter,Christmas & New Year,99.23965517241379,Satisfactory,Maihar,Madhya Pradesh,24.260444,80.7592749
2024-01-01 09:00:00,55.78,39.565,11.16,10.15,1.34,January,Winter,Christmas & New Year,92.86965517241379,Satisfactory,Maihar,Madhya Pradesh,24.260444,80.7592749
2024-01-01 10:00:00,54.46,39.565,11.11,11.46,1.4,January,Winter,Christmas & New Year,90.63931034482758,Satisfactory,Maihar,Madhya Pradesh,24.260444,80.7592749
2024-01-01 11:00:00,61.59,39.565,11.15,12.19,1.34,January,Winter,Christmas & New Year,103.0141379310345,Moderate,Maihar,Madhya Pradesh,24.260444,80.7592749
2024-01-01 12:00:00,63.44,39.565,11.18,13.69,1.3,January,Winter,Christmas & New Year,109.32965517241378,Moderate,Maihar,Madhya Pradesh,24.260444,80.7592749
2024-01-01 13:00:00,61.1,39.565,11.15,13.94,1.18,January,Winter,Christmas & New Year,101.34137931034483,Moderate,Maihar,Madhya Pradesh,24.260444,80.7592749
2024-01-01 14:00:00,52.48,39.565,11.15,13.43,1.12,January,Winter,Christmas & New Year,87.29379310344828,Satisfactory,Maihar,Madhya Pradesh,24.260444,80.7592749
2024-01-01 15:00:00,55.38,39.565,11.19,12.56,1.06,January,Winter,Christmas & New Year,92.19379310344829,Satisfactory,Maihar,Madhya Pradesh,24.260444,80.7592749
2024-01-01 16:00:00,43.37,39.565,11.18,11.83,1.01,January,Winter,Christmas & New Year,71.90103448275862,Satisfactory,Maihar,Madhya Pradesh,24.260444,80.7592749
2024-01-01 17:00:00,50.38,39.565,11.2,10.7,1.19,January,Winter,Christmas & New Year,83.74551724137932,Satisfactory,Maihar,Madhya Pradesh,24.260444,80.7592749
2024-01-01 18:00:00,58.04,39.565,11.18,11.12,1.18,January,Winter,Christmas & New Year,96.68827586206896,Satisfactory,Maihar,Madhya Pradesh,24.260444,80.7592749
2024-01-01 19:00:00,51.6,39.565,11.17,11.28,1.22,January,Winter,Christmas & New Year,85.80689655172415,Satisfactory,Maihar,Madhya Pradesh,24.260444,80.7592749
