TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,90.25,198.5,110.22,12.52,50.4,1.4,16.6,January,Winter,Christmas & New Year,165.78187919463087,Moderate,Mandideep,Madhya Pradesh,23.093838,77.5114296
2024-01-01 01:00:00,87.75,199.25,81.25,21.08,34.35,0.9,25.4,January,Winter,Christmas & New Year,192.3189655172414,Moderate,Mandideep,Madhya Pradesh,23.093838,77.5114296
2024-01-01 02:00:00,88.75,206.25,95.05,18.23,52.25,1.02,17.05,January,Winter,Christmas & New Year,195.73275862068965,Moderate,Mandideep,Madhya Pradesh,23.093838,77.5114296
2024-01-01 03:00:00,116.0,292.0,108.25,16.3,54.25,1.0,15.15,January,Winter,Christmas & New Year,286.34482758620686,Poor,Mandideep,Madhya Pradesh,23.093838,77.5114296
2024-01-01 04:00:00,110.75,253.75,103.05,17.48,43.62,1.02,18.0,January,Winter,Christmas & New Year,268.42241379310343,Poor,Mandideep,Madhya Pradesh,23.093838,77.5114296
2024-01-01 05:00:00,122.0,291.75,73.2,21.7,19.8,0.89,17.55,January,Winter,Christmas & New Year,301.7674418604651,Very Poor,Mandideep,Madhya Pradesh,23.093838,77.5114296
2024-01-01 06:00:00,73.0,149.5,71.55,20.55,17.0,1.18,13.3,January,Winter,Christmas & New Year,141.9655172413793,Moderate,Mandideep,Madhya Pradesh,23.093838,77.5114296
2024-01-01 07:00:00,88.5,211.25,63.75,20.23,54.48,1.71,19.1,January,Winter,Christmas & New Year,194.8793103448276,Moderate,Mandideep,Madhya Pradesh,23.093838,77.5114296
2024-01-01 08:00:00,105.0,263.0,98.5,13.33,76.53,1.69,18.9,January,Winter,Christmas & New Year,248.79310344827587,Poor,Mandideep,Madhya Pradesh,23.093838,77.5114296
2024-01-01 09:00:00,131.0,341.0,106.02,16.55,126.65,1.33,19.9,January,Winter,Christmas & New Year,308.6744186046512,Very Poor,Mandideep,Madhya Pradesh,23.093838,77.5114296
2024-01-01 10:00:00,119.0,269.0,101.45,15.6,150.15,0.6,24.75,January,Winter,Christmas & New Year,296.58620689655174,Poor,Mandideep,Madhya Pradesh,23.093838,77.5114296
2024-01-01 11:00:00,46.25,109.75,27.0,23.48,20.35,0.6,29.25,January,Winter,Christmas & New Year,106.81375838926175,Moderate,Mandideep,Madhya Pradesh,23.093838,77.5114296
2024-01-01 12:00:00,64.0,152.0,27.0,23.48,79.6,0.54,41.3,January,Winter,Christmas & New Year,134.88590604026845,Moderate,Mandideep,Madhya Pradesh,23.093838,77.5114296
2024-01-01 13:00:00,84.67,177.67,50.53,27.3,60.27,0.55,47.9,January,Winter,Christmas & New Year,181.80448275862068,Moderate,Mandideep,Madhya Pradesh,23.093838,77.5114296
2024-01-01 14:00:00,70.0,115.0,42.5,28.87,48.43,0.51,47.57,January,Winter,Christmas & New Year,131.72413793103448,Moderate,Mandideep,Madhya Pradesh,23.093838,77.5114296
2024-01-01 15:00:00,59.5,121.0,38.33,29.72,41.9,0.5,48.38,January,Winter,Christmas & New Year,114.28859060402685,Moderate,Mandideep,Madhya Pradesh,23.093838,77.5114296
2024-01-01 16:00:00,60.0,119.25,44.82,29.5,57.15,0.51,44.62,January,Winter,Christmas & New Year,113.1258389261745,Moderate,Mandideep,Madhya Pradesh,23.093838,77.5114296
2024-01-01 17:00:00,74.5,185.25,73.5,22.38,132.33,1.41,33.88,January,Winter,Christmas & New Year,156.9781879194631,Moderate,Mandideep,Madhya Pradesh,23.093838,77.5114296
2024-01-01 18:00:00,75.0,178.5,81.15,19.9,187.55,1.88,26.0,January,Winter,Christmas & New Year,152.49328859060404,Moderate,Mandideep,Madhya Pradesh,23.093838,77.5114296
2024-01-01 19:00:00,78.25,167.75,83.48,18.08,183.2,1.88,22.4,January,Winter,Christmas & New Year,159.88793103448276,Moderate,Mandideep,Madhya Pradesh,23.093838,77.5114296
2024-01-01 20:00:00,70.5,176.5,80.55,18.77,20.35,1.98,21.9,January,Winter,Christmas & New Year,151.16442953020135,Moderate,Mandideep,Madhya Pradesh,23.093838,77.5114296
