TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,92.25,142.5,10.58,10.0,11.23,0.94,38.55,January,Winter,Christmas & New Year,205.26724137931035,Poor,Pithampur,Madhya Pradesh,22.6105576,75.6790283
2024-01-01 01:00:00,92.0,133.75,9.25,10.0,10.68,0.9,39.45,January,Winter,Christmas & New Year,204.41379310344828,Poor,Pithampur,Madhya Pradesh,22.6105576,75.6790283
2024-01-01 02:00:00,81.0,121.25,7.95,10.28,10.53,0.9,40.25,January,Winter,Christmas & New Year,169.27586206896552,Moderate,Pithampur,Madhya Pradesh,22.6105576,75.6790283
2024-01-01 03:00:00,85.75,126.0,7.85,10.32,10.6,0.94,37.78,January,Winter,Christmas & New Year,185.49137931034483,Moderate,Pithampur,Madhya Pradesh,22.6105576,75.6790283
2024-01-01 04:00:00,96.25,139.25,8.4,10.3,11.0,0.96,35.2,January,Winter,Christmas & New Year,218.92241379310346,Poor,Pithampur,Madhya Pradesh,22.6105576,75.6790283
2024-01-01 05:00:00,109.5,144.0,9.65,10.42,10.92,0.96,35.97,January,Winter,Christmas & New Year,264.1551724137931,Poor,Pithampur,Madhya Pradesh,22.6105576,75.6790283
2024-01-01 06:00:00,100.5,150.25,8.6,10.6,10.77,0.97,36.78,January,Winter,Christmas & New Year,233.4310344827586,Poor,Pithampur,Madhya Pradesh,22.6105576,75.6790283
2024-01-01 07:00:00,96.0,160.0,8.0,10.58,10.72,1.02,35.15,January,Winter,Christmas & New Year,218.0689655172414,Poor,Pithampur,Madhya Pradesh,22.6105576,75.6790283
2024-01-01 08:00:00,97.0,159.0,9.07,10.42,10.5,1.12,33.37,January,Winter,Christmas & New Year,221.48275862068965,Poor,Pithampur,Madhya Pradesh,22.6105576,75.6790283
2024-01-01 09:00:00,103.25,157.75,13.95,11.28,10.52,1.19,22.55,January,Winter,Christmas & New Year,242.8189655172414,Poor,Pithampur,Madhya Pradesh,22.6105576,75.6790283
2024-01-01 10:00:00,106.25,155.25,14.18,11.08,10.3,1.18,46.75,January,Winter,Christmas & New Year,253.06034482758622,Poor,Pithampur,Madhya Pradesh,22.6105576,75.6790283
2024-01-01 11:00:00,82.75,124.75,10.6,10.87,10.65,1.04,55.55,January,Winter,Christmas & New Year,175.25,Moderate,Pithampur,Madhya Pradesh,22.6105576,75.6790283
2024-01-01 12:00:00,72.0,104.0,6.1,9.03,10.38,0.93,58.1,January,Winter,Christmas & New Year,138.55172413793105,Moderate,Pithampur,Madhya Pradesh,22.6105576,75.6790283
2024-01-01 13:00:00,69.0,104.0,5.55,9.05,10.05,0.84,63.15,January,Winter,Christmas & New Year,128.31034482758622,Moderate,Pithampur,Madhya Pradesh,22.6105576,75.6790283
2024-01-01 14:00:00,68.75,96.25,4.95,9.38,9.8,0.8,62.95,January,Winter,Christmas & New Year,127.45689655172414,Moderate,Pithampur,Madhya Pradesh,22.6105576,75.6790283
2024-01-01 15:00:00,67.75,100.0,4.9,9.38,10.65,0.8,62.25,January,Winter,Christmas & New Year,124.04310344827586,Moderate,Pithampur,Madhya Pradesh,22.6105576,75.6790283
2024-01-01 16:00:00,66.0,101.5,5.2,9.4,10.7,0.81,58.95,January,Winter,Christmas & New Year,118.06896551724138,Moderate,Pithampur,Madhya Pradesh,22.6105576,75.6790283
