TIMESTAMP,PM2.5,PM10,NO2,SO2,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,92.0,149.9,26.06,10.2,January,Winter,Christmas & New Year,204.41379310344828,Poor,Ratlam,Madhya Pradesh,23.50222,74.9551534
2024-01-01 01:00:00,81.34,155.27,23.85,10.72,January,Winter,Christmas & New Year,170.43655172413793,Moderate,Ratlam,Madhya Pradesh,23.50222,74.9551534
2024-01-01 02:00:00,69.44,132.15,18.76,11.04,January,Winter,Christmas & New Year,129.81241379310345,Moderate,Ratlam,Madhya Pradesh,23.50222,74.9551534
2024-01-01 03:00:00,68.52,124.02,11.66,11.14,January,Winter,Christmas & New Year,126.67172413793102,Moderate,Ratlam,Madhya Pradesh,23.50222,74.9551534
2024-01-01 04:00:00,67.68,116.58,7.6,10.86,January,Winter,Christmas & New Year,123.8041379310345,Moderate,Ratlam,Madhya Pradesh,23.50222,74.9551534
2024-01-01 05:00:00,72.44,124.95,12.61,12.32,January,Winter,Christmas & New Year,140.05379310344827,Moderate,Ratlam,Madhya Pradesh,23.50222,74.9551534
2024-01-01 06:00:00,76.54,128.32,16.14,12.48,January,Winter,Christmas & New Year,154.05034482758623,Moderate,Ratlam,Madhya Pradesh,23.50222,74.9551534
2024-01-01 07:00:00,65.72,116.52,18.25,11.98,January,Winter,Christmas & New Year,117.11310344827587,Moderate,Ratlam,Madhya Pradesh,23.50222,74.9551534
2024-01-01 08:00:00,71.36,111.74,18.73,12.56,January,Winter,Christmas & New Year,136.36689655172412,Moderate,Ratlam,Madhya Pradesh,23.50222,74.9551534
2024-01-01 09:00:00,75.6,132.47,20.02,12.28,January,Winter,Christmas & New Year,150.8413793103448,Moderate,Ratlam,Madhya Pradesh,23.50222,74.9551534
2024-01-01 10:00:00,59.9,119.64,21.78,11.6,January,Winter,Christmas & New Year,113.38496644295302,Moderate,Ratlam,Madhya Pradesh,23.50222,74.9551534
2024-01-01 11:00:00,65.94,136.28,21.04,10.72,January,Winter,Christmas & New Year,124.44107382550337,Moderate,Ratlam,Madhya Pradesh,23.50222,74.9551534
2024-01-01 12:00:00,68.63,131.05,20.8,10.6,January,Winter,Christmas & New Year,127.04724137931032,Moderate,Ratlam,Madhya Pradesh,23.50222,74.9551534
2024-01-01 13:00:00,68.67,127.28,23.57,10.86,January,Winter,Christmas & New Year,127.18379310344828,Moderate,Ratlam,Madhya Pradesh,23.50222,74.9551534
2024-01-01 14:00:00,73.7,142.93,20.77,10.51,January,Winter,Christmas & New Year,144.35517241379313,Moderate,Ratlam,Madhya Pradesh,23.50222,74.9551534
2024-01-01 15:00:00,77.14,143.95,18.98,9.96,January,Winter,Christmas & New Year,156.09862068965518,Moderate,Ratlam,Madhya Pradesh,23.50222,74.9551534
