TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,35.18,45.61,17.49,19.025,7.08,0.95,50.42,January,Winter,Christmas & New Year,58.06275862068966,Satisfactory,Sagar,Madhya Pradesh,23.8083076,78.758254
2024-01-01 01:00:00,32.38,50.69,17.59,19.025,7.04,0.95,50.42,January,Winter,Christmas & New Year,53.33172413793104,Satisfactory,Sagar,Madhya Pradesh,23.8083076,78.758254
2024-01-01 02:00:00,30.72,51.28,17.59,19.025,6.73,0.86,50.42,January,Winter,Christmas & New Year,51.28,Satisfactory,Sagar,Madhya Pradesh,23.8083076,78.758254
2024-01-01 03:00:00,32.12,66.98,17.66,19.025,6.68,0.91,50.42,January,Winter,Christmas & New Year,66.98,Satisfactory,Sagar,Madhya Pradesh,23.8083076,78.758254
2024-01-01 04:00:00,32.51,55.66,17.6,19.025,6.91,1.21,50.42,January,Winter,Christmas & New Year,56.98888888888888,Satisfactory,Sagar,Madhya Pradesh,23.8083076,78.758254
2024-01-01 05:00:00,34.5,56.79,17.63,19.025,6.91,1.27,50.42,January,Winter,Christmas & New Year,60.25555555555555,Satisfactory,Sagar,Madhya Pradesh,23.8083076,78.758254
2024-01-01 06:00:00,35.94,80.35,17.81,19.025,6.74,1.37,50.42,January,Winter,Christmas & New Year,80.35,Satisfactory,Sagar,Madhya Pradesh,23.8083076,78.758254
2024-01-01 07:00:00,36.52,76.28,17.76,19.025,6.64,1.46,50.42,January,Winter,Christmas & New Year,76.28,Satisfactory,Sagar,Madhya Pradesh,23.8083076,78.758254
2024-01-01 08:00:00,42.36,61.38,17.8,19.025,6.77,0.98,50.42,January,Winter,Christmas & New Year,70.1944827586207,Satisfactory,Sagar,Madhya Pradesh,23.8083076,78.758254
2024-01-01 09:00:00,48.14,73.72,17.82,19.025,6.78,1.08,50.42,January,Winter,Christmas & New Year,79.96068965517242,Satisfactory,Sagar,Madhya Pradesh,23.8083076,78.758254
2024-01-01 10:00:00,52.69,66.58,17.75,19.025,7.42,0.46,50.42,January,Winter,Christmas & New Year,87.64862068965516,Satisfactory,Sagar,Madhya Pradesh,23.8083076,78.758254
2024-01-01 11:00:00,50.66,106.11,17.75,19.025,5.77,0.32,46.9,January,Winter,Christmas & New Year,104.39523489932886,Moderate,Sagar,Madhya Pradesh,23.8083076,78.758254
2024-01-01 12:00:00,96.46,149.55,14.01,29.3,6.5,1.9,44.72,January,Winter,Christmas & New Year,219.63931034482755,Poor,Sagar,Madhya Pradesh,23.8083076,78.758254
2024-01-01 13:00:00,91.03,183.61,13.48,28.72,6.23,3.1,43.35,January,Winter,Christmas & New Year,201.10241379310347,Poor,Sagar,Madhya Pradesh,23.8083076,78.758254
2024-01-01 14:00:00,82.92,183.48,13.92,27.35,4.92,3.07,43.68,January,Winter,Christmas & New Year,175.8303448275862,Moderate,Sagar,Madhya Pradesh,23.8083076,78.758254
2024-01-01 15:00:00,84.18,155.87,13.7,26.78,4.9,3.13,44.22,January,Winter,Christmas & New Year,180.13172413793106,Moderate,Sagar,Madhya Pradesh,23.8083076,78.758254
2024-01-01 16:00:00,80.37,134.87,14.3,27.38,5.06,1.05,42.38,January,Winter,Christmas & New Year,167.1251724137931,Moderate,Sagar,Madhya Pradesh,23.8083076,78.758254
2024-01-01 17:00:00,76.93,140.18,14.58,26.85,4.66,0.75,39.65,January,Winter,Christmas & New Year,155.38172413793106,Moderate,Sagar,Madhya Pradesh,23.8083076,78.758254
