TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,141.5,192.75,16.75,35.48,9.48,1.1,57.95,January,Winter,Christmas & New Year,316.7325581395349,Very Poor,Ujjain,Madhya Pradesh,23.1885131,75.7716562
2024-01-01 01:00:00,152.0,198.0,13.08,34.75,8.48,0.99,57.7,January,Winter,Christmas & New Year,324.7906976744186,Very Poor,Ujjain,Madhya Pradesh,23.1885131,75.7716562
2024-01-01 02:00:00,122.5,177.75,10.9,34.22,7.83,0.96,52.42,January,Winter,Christmas & New Year,302.1511627906977,Very Poor,Ujjain,Madhya Pradesh,23.1885131,75.7716562
2024-01-01 03:00:00,114.75,168.0,9.57,32.88,7.45,1.04,51.3,January,Winter,Christmas & New Year,282.07758620689657,Poor,Ujjain,Madhya Pradesh,23.1885131,75.7716562
2024-01-01 04:00:00,113.75,160.75,8.6,32.05,7.15,1.08,48.2,January,Winter,Christmas & New Year,278.66379310344826,Poor,Ujjain,Madhya Pradesh,23.1885131,75.7716562
2024-01-01 05:00:00,111.0,165.5,11.28,31.28,6.72,1.14,37.52,January,Winter,Christmas & New Year,269.2758620689655,Poor,Ujjain,Madhya Pradesh,23.1885131,75.7716562
2024-01-01 06:00:00,103.0,157.75,12.55,31.02,6.83,1.28,31.32,January,Winter,Christmas & New Year,241.9655172413793,Poor,Ujjain,Madhya Pradesh,23.1885131,75.7716562
2024-01-01 07:00:00,91.5,134.75,13.77,30.22,7.12,1.24,28.95,January,Winter,Christmas & New Year,202.70689655172413,Poor,Ujjain,Madhya Pradesh,23.1885131,75.7716562
2024-01-01 08:00:00,77.25,124.25,13.18,28.95,7.28,1.16,28.57,January,Winter,Christmas & New Year,156.47413793103448,Moderate,Ujjain,Madhya Pradesh,23.1885131,75.7716562
2024-01-01 09:00:00,86.75,131.0,13.25,30.12,7.9,1.21,37.25,January,Winter,Christmas & New Year,188.90517241379308,Moderate,Ujjain,Madhya Pradesh,23.1885131,75.7716562
2024-01-01 10:00:00,97.25,137.75,15.52,31.3,8.67,1.19,43.65,January,Winter,Christmas & New Year,222.33620689655172,Poor,Ujjain,Madhya Pradesh,23.1885131,75.7716562
2024-01-01 11:00:00,103.0,160.75,14.37,31.87,8.85,1.19,56.22,January,Winter,Christmas & New Year,241.9655172413793,Poor,Ujjain,Madhya Pradesh,23.1885131,75.7716562
2024-01-01 12:00:00,102.0,171.0,12.47,25.7,9.4,1.3,75.1,January,Winter,Christmas & New Year,238.55172413793105,Poor,Ujjain,Madhya Pradesh,23.1885131,75.7716562
2024-01-01 13:00:00,110.5,178.75,14.1,24.25,9.57,1.15,89.9,January,Winter,Christmas & New Year,267.5689655172414,Poor,Ujjain,Madhya Pradesh,23.1885131,75.7716562
2024-01-01 14:00:00,115.75,181.0,12.08,25.2,9.7,1.08,88.88,January,Winter,Christmas & New Year,285.4913793103448,Poor,Ujjain,Madhya Pradesh,23.1885131,75.7716562
2024-01-01 15:00:00,109.75,175.5,10.8,29.2,10.07,1.07,81.55,January,Winter,Christmas & New Year,265.0086206896552,Poor,Ujjain,Madhya Pradesh,23.1885131,75.7716562
2024-01-01 16:00:00,114.5,184.0,10.98,31.92,9.75,1.2,72.97,January,Winter,Christmas & New Year,281.2241379310345,Poor,Ujjain,Madhya Pradesh,23.1885131,75.7716562
2024-01-01 17:00:00,120.75,177.5,12.72,32.0,9.02,1.25,61.5,January,Winter,Christmas & New Year,151.8288590604027,Moderate,Ujjain,Madhya Pradesh,23.1885131,75.7716562
2024-01-01 18:00:00,119.25,177.75,15.2,32.1,9.1,1.39,50.72,January,Winter,Christmas & New Year,297.4396551724138,Poor,Ujjain,Madhya Pradesh,23.1885131,75.7716562
2024-01-01 19:00:00,125.25,180.0,16.48,31.85,8.68,1.4,41.72,January,Winter,Christmas & New Year,304.26162790697674,Very Poor,Ujjain,Madhya Pradesh,23.1885131,75.7716562
2024-01-01 20:00:00,122.5,171.25,14.7,30.48,7.4,1.3,40.9,January,Winter,Christmas & New Year,302.1511627906977,Very Poor,Ujjain,Madhya Pradesh,23.1885131,75.7716562
2024-01-01 21:00:00,119.25,167.5,13.4,29.48,7.2,1.21,41.35,January,Winter,Christmas & New Year,297.4396551724138,Poor,Ujjain,Madhya Pradesh,23.1885131,75.7716562
2024-01-01 22:00:00,109.75,154.0,14.05,29.65,7.0,1.23,41.68,January,Winter,Christmas & New Year,265.0086206896552,Poor,Ujjain,Madhya Pradesh,23.1885131,75.7716562
