TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,62.66,156.33,15.15,14.88,6.11,1.14,33.97,January,Winter,Christmas & New Year,137.76288590604028,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-01 01:00:00,59.11,149.28,14.43,17.69,7.77,1.06,23.47,January,Winter,Christmas & New Year,133.0786577181208,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-01 02:00:00,50.82,139.05,14.95,20.9,5.24,0.96,24.6,January,Winter,Christmas & New Year,126.28154362416109,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-01 03:00:00,49.22,130.88,21.6,19.41,4.5,0.91,17.76,January,Winter,Christmas & New Year,120.8531543624161,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-01 04:00:00,58.79,129.81,10.75,16.95,4.54,0.87,21.7,January,Winter,Christmas & New Year,120.14221476510068,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-01 05:00:00,58.8,133.85,11.32,19.53,4.53,0.84,24.86,January,Winter,Christmas & New Year,122.8265100671141,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-01 06:00:00,58.31,133.95,12.04,20.46,3.57,0.83,32.95,January,Winter,Christmas & New Year,122.89295302013423,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-01 07:00:00,60.18,135.74,24.9,20.54,4.35,0.86,27.82,January,Winter,Christmas & New Year,124.08228187919464,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-01 08:00:00,73.63,157.67,27.84,23.63,5.12,1.02,28.63,January,Winter,Christmas & New Year,144.11620689655172,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-01 09:00:00,78.38,173.91,17.5,23.84,5.57,1.06,38.33,January,Winter,Christmas & New Year,160.33172413793102,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-01 10:00:00,65.93,165.16,15.21,23.04,6.18,0.97,44.88,January,Winter,Christmas & New Year,143.6297986577181,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-01 11:00:00,71.44,165.51,14.3,16.65,6.33,0.9,58.9,January,Winter,Christmas & New Year,143.86234899328858,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-01 12:00:00,66.56,159.7,11.16,17.88,7.56,0.85,64.64,January,Winter,Christmas & New Year,140.00201342281878,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-01 13:00:00,66.54,147.06,10.3,21.64,8.13,0.82,71.85,January,Winter,Christmas & New Year,131.60362416107384,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-01 14:00:00,58.2,127.0,8.74,17.12,9.64,0.76,77.16,January,Winter,Christmas & New Year,118.2751677852349,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-01 15:00:00,59.33,111.15,8.62,15.01,10.56,0.72,71.4,January,Winter,Christmas & New Year,107.74395973154363,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-01 16:00:00,72.88,124.02,10.32,18.94,9.45,0.7,59.89,January,Winter,Christmas & New Year,141.5558620689655,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-01 17:00:00,80.39,140.22,20.69,20.8,7.77,0.74,38.01,January,Winter,Christmas & New Year,167.19344827586207,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-01 18:00:00,54.2,145.81,27.89,16.19,7.32,0.81,30.32,January,Winter,Christmas & New Year,130.77308724832216,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-01 19:00:00,99.71,176.42,43.27,21.35,7.62,1.03,17.12,January,Winter,Christmas & New Year,230.73413793103447,Poor,Akola,Maharashtra,20.7618123,77.1921157
2024-01-01 20:00:00,106.24,202.94,30.68,23.4,6.53,1.23,29.58,January,Winter,Christmas & New Year,253.0262068965517,Poor,Akola,Maharashtra,20.7618123,77.1921157
2024-01-01 21:00:00,69.77,186.1,23.96,19.25,6.3,1.18,39.34,January,Winter,Christmas & New Year,157.54295302013423,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-01 22:00:00,70.7,172.71,21.26,16.35,6.68,1.12,36.65,January,Winter,Christmas & New Year,148.64624161073826,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-01 23:00:00,45.7,165.27,16.71,18.18,6.18,1.07,38.72,January,Winter,Christmas & New Year,143.70288590604028,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-02 00:00:00,77.14,153.56,18.34,20.55,5.06,1.0,31.99,January,Winter,Christmas & New Year,156.09862068965518,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-02 01:00:00,79.78,147.92,20.18,16.72,5.82,0.91,17.82,January,Winter,Christmas & New Year,165.1110344827586,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-02 02:00:00,99.23,141.97,36.3,21.97,5.14,0.87,7.2,January,Winter,Christmas & New Year,229.09551724137933,Poor,Akola,Maharashtra,20.7618123,77.1921157
2024-01-02 03:00:00,57.29,139.67,18.75,20.82,4.02,0.82,14.81,January,Winter,Christmas & New Year,126.6934899328859,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-02 04:00:00,57.29,140.05,15.17,17.07,3.33,0.8,19.07,January,Winter,Christmas & New Year,126.94597315436242,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-02 05:00:00,58.45,138.89,10.23,14.86,3.41,0.79,31.27,January,Winter,Christmas & New Year,126.17523489932886,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-02 06:00:00,61.01,138.74,11.28,17.65,3.36,0.79,32.62,January,Winter,Christmas & New Year,126.07557046979866,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-02 07:00:00,59.76,145.94,14.26,18.46,3.24,0.79,32.43,January,Winter,Christmas & New Year,130.85946308724832,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-02 08:00:00,57.0,146.54,14.88,15.52,3.33,0.81,31.7,January,Winter,Christmas & New Year,131.25812080536912,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-02 09:00:00,62.28,161.53,16.02,17.49,4.5,0.82,32.76,January,Winter,Christmas & New Year,141.21791946308724,Moderate,Akola,Maharashtra,20.7618123,77.1921157
2024-01-02 10:00:00,69.84,157.85,11.84,18.78,5.19,0.81,40.25,January,Winter,Christmas & New Year,138.7728187919463,Moderate,Akola,Maharashtra,20.7618123,77.1921157
