TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,84.3,144.26,24.68,7.56,9.48,0.9,11.47,January,Winter,Christmas & New Year,180.54137931034484,Moderate,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-01 01:00:00,80.62,142.68,21.62,7.53,9.78,1.03,11.26,January,Winter,Christmas & New Year,167.9786206896552,Moderate,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-01 02:00:00,79.93,124.48,20.25,7.6,9.75,1.1,11.12,January,Winter,Christmas & New Year,165.62310344827588,Moderate,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-01 03:00:00,80.33,121.83,19.32,7.52,10.59,1.12,11.39,January,Winter,Christmas & New Year,166.98862068965516,Moderate,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-01 04:00:00,75.95,106.04,17.81,7.62,10.58,1.09,10.78,January,Winter,Christmas & New Year,152.03620689655173,Moderate,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-01 05:00:00,72.32,104.34,20.04,7.5,10.82,1.12,11.24,January,Winter,Christmas & New Year,139.64413793103446,Moderate,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-01 06:00:00,74.53,115.09,21.86,7.96,10.84,1.19,11.77,January,Winter,Christmas & New Year,147.18862068965518,Moderate,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-01 07:00:00,80.77,130.21,27.24,7.86,10.95,1.3,21.08,January,Winter,Christmas & New Year,168.4906896551724,Moderate,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-01 08:00:00,83.02,145.48,23.9,7.95,10.7,1.3,27.94,January,Winter,Christmas & New Year,176.17172413793102,Moderate,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-01 09:00:00,81.11,150.08,20.0,8.2,10.66,1.25,30.76,January,Winter,Christmas & New Year,169.65137931034482,Moderate,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-01 10:00:00,70.98,144.32,18.19,20.24,10.36,0.99,29.66,January,Winter,Christmas & New Year,135.0696551724138,Moderate,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-01 11:00:00,123.45,193.39,13.21,8.06,13.78,0.55,33.28,January,Winter,Christmas & New Year,302.88023255813954,Very Poor,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-01 12:00:00,98.31,157.48,15.43,7.82,11.69,0.6,32.82,January,Winter,Christmas & New Year,225.9548275862069,Poor,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-01 13:00:00,87.56,134.56,17.44,7.78,11.0,0.66,35.42,January,Winter,Christmas & New Year,191.67034482758623,Moderate,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-01 14:00:00,96.53,134.26,16.6,8.49,10.3,0.81,35.4,January,Winter,Christmas & New Year,219.87827586206896,Poor,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-01 15:00:00,92.23,129.83,18.42,9.9,11.47,0.64,25.59,January,Winter,Christmas & New Year,205.1989655172414,Poor,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-01 16:00:00,85.68,117.16,17.88,9.48,41.08,0.8,29.68,January,Winter,Christmas & New Year,185.25241379310347,Moderate,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-01 17:00:00,85.57,131.89,29.84,7.76,13.75,0.89,36.91,January,Winter,Christmas & New Year,184.87689655172412,Moderate,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-01 18:00:00,77.02,155.86,37.26,8.19,10.47,1.33,17.68,January,Winter,Christmas & New Year,155.68896551724137,Moderate,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-01 19:00:00,85.48,188.1,50.63,7.82,10.36,2.02,14.86,January,Winter,Christmas & New Year,184.5696551724138,Moderate,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-01 20:00:00,93.64,209.98,50.63,8.23,11.85,1.85,13.4,January,Winter,Christmas & New Year,210.01241379310346,Poor,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-01 21:00:00,112.94,235.72,47.1,8.25,12.0,1.98,11.97,January,Winter,Christmas & New Year,275.89862068965516,Poor,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-01 22:00:00,82.71,225.32,46.1,8.37,8.86,1.6,11.17,January,Winter,Christmas & New Year,183.60187919463087,Moderate,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-01 23:00:00,136.31,237.29,35.58,8.28,7.61,1.22,12.33,January,Winter,Christmas & New Year,312.7495348837209,Very Poor,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-02 00:00:00,104.73,199.36,24.2,8.2,6.9,0.94,10.77,January,Winter,Christmas & New Year,247.87137931034485,Poor,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-02 01:00:00,84.09,164.04,19.24,7.75,7.12,0.82,12.63,January,Winter,Christmas & New Year,179.82448275862072,Moderate,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-02 02:00:00,80.89,146.0,20.39,8.27,6.3,0.73,13.49,January,Winter,Christmas & New Year,168.9003448275862,Moderate,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-02 03:00:00,78.87,141.21,18.73,7.76,6.06,0.72,12.54,January,Winter,Christmas & New Year,162.0044827586207,Moderate,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-02 04:00:00,81.11,128.73,17.11,7.69,8.21,0.7,10.6,January,Winter,Christmas & New Year,169.65137931034482,Moderate,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-02 05:00:00,79.7,140.06,18.02,7.78,8.34,0.71,9.99,January,Winter,Christmas & New Year,164.83793103448278,Moderate,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-02 06:00:00,80.65,142.37,20.96,7.71,8.04,0.88,10.46,January,Winter,Christmas & New Year,168.08103448275864,Moderate,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-02 07:00:00,84.62,152.43,26.65,8.22,7.78,1.0,21.94,January,Winter,Christmas & New Year,181.63379310344828,Moderate,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-02 08:00:00,89.2,174.51,30.46,8.2,8.13,1.24,33.93,January,Winter,Christmas & New Year,197.26896551724138,Moderate,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-02 09:00:00,89.6,179.07,21.24,7.62,8.71,1.66,37.33,January,Winter,Christmas & New Year,198.63448275862066,Moderate,Aurangabad,Maharashtra,19.877263,75.3390241
2024-01-02 10:00:00,92.48,177.26,18.14,8.07,8.75,0.89,43.61,January,Winter,Christmas & New Year,206.05241379310345,Poor,Aurangabad,Maharashtra,19.877263,75.3390241
