TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,111.33,160.0,42.0,8.6,4.0,0.09,26.83,January,Winter,Christmas & New Year,270.40241379310345,Poor,Chandrapur,Maharashtra,20.0967555,79.5045475
2024-01-01 01:00:00,110.0,139.25,24.92,8.62,4.28,0.11,27.3,January,Winter,Christmas & New Year,265.8620689655172,Poor,Chandrapur,Maharashtra,20.0967555,79.5045475
2024-01-01 02:00:00,95.0,123.25,20.6,8.6,3.98,0.09,28.25,January,Winter,Christmas & New Year,214.6551724137931,Poor,Chandrapur,Maharashtra,20.0967555,79.5045475
2024-01-01 03:00:00,87.75,134.25,36.22,8.6,3.85,0.08,28.9,January,Winter,Christmas & New Year,192.3189655172414,Moderate,Chandrapur,Maharashtra,20.0967555,79.5045475
2024-01-01 04:00:00,93.0,129.0,32.17,8.6,3.67,0.07,29.27,January,Winter,Christmas & New Year,207.82758620689654,Poor,Chandrapur,Maharashtra,20.0967555,79.5045475
2024-01-01 05:00:00,92.75,117.75,24.25,8.6,2.52,0.0,29.05,January,Winter,Christmas & New Year,206.97413793103448,Poor,Chandrapur,Maharashtra,20.0967555,79.5045475
2024-01-01 06:00:00,101.0,112.75,25.12,8.6,3.48,0.06,29.55,January,Winter,Christmas & New Year,235.13793103448276,Poor,Chandrapur,Maharashtra,20.0967555,79.5045475
2024-01-01 07:00:00,117.5,129.0,21.42,8.6,4.25,0.11,29.6,January,Winter,Christmas & New Year,291.4655172413793,Poor,Chandrapur,Maharashtra,20.0967555,79.5045475
2024-01-01 08:00:00,135.25,159.25,16.08,8.6,5.78,0.21,30.05,January,Winter,Christmas & New Year,311.9360465116279,Very Poor,Chandrapur,Maharashtra,20.0967555,79.5045475
2024-01-01 09:00:00,116.75,145.75,15.42,8.57,7.42,0.32,31.38,January,Winter,Christmas & New Year,288.9051724137931,Poor,Chandrapur,Maharashtra,20.0967555,79.5045475
2024-01-01 10:00:00,99.67,123.67,13.23,8.6,12.3,1.77,16.6,January,Winter,Christmas & New Year,230.59758620689655,Poor,Chandrapur,Maharashtra,20.0967555,79.5045475
2024-01-01 11:00:00,91.0,111.0,15.53,8.6,21.78,1.51,16.39,January,Winter,Christmas & New Year,201.0,Poor,Chandrapur,Maharashtra,20.0967555,79.5045475
2024-01-01 12:00:00,90.25,122.25,24.0,8.6,19.52,0.88,11.58,January,Winter,Christmas & New Year,115.11912751677852,Moderate,Chandrapur,Maharashtra,20.0967555,79.5045475
2024-01-01 13:00:00,82.5,106.75,22.85,8.87,19.05,0.85,10.46,January,Winter,Christmas & New Year,174.39655172413794,Moderate,Chandrapur,Maharashtra,20.0967555,79.5045475
2024-01-01 14:00:00,75.0,94.0,15.17,8.8,17.02,0.86,10.99,January,Winter,Christmas & New Year,148.79310344827587,Moderate,Chandrapur,Maharashtra,20.0967555,79.5045475
2024-01-01 15:00:00,66.75,84.25,16.12,8.8,15.1,0.52,11.54,January,Winter,Christmas & New Year,120.62931034482759,Moderate,Chandrapur,Maharashtra,20.0967555,79.5045475
2024-01-01 16:00:00,68.75,89.25,17.95,8.8,12.68,0.52,12.34,January,Winter,Christmas & New Year,127.45689655172414,Moderate,Chandrapur,Maharashtra,20.0967555,79.5045475
2024-01-01 17:00:00,71.75,96.0,18.35,8.72,13.09,0.63,12.68,January,Winter,Christmas & New Year,137.69827586206895,Moderate,Chandrapur,Maharashtra,20.0967555,79.5045475
2024-01-01 18:00:00,85.25,109.5,19.65,8.72,13.45,1.26,12.86,January,Winter,Christmas & New Year,183.7844827586207,Moderate,Chandrapur,Maharashtra,20.0967555,79.5045475
2024-01-01 19:00:00,91.0,122.5,21.2,8.72,12.5,1.54,13.68,January,Winter,Christmas & New Year,201.0,Poor,Chandrapur,Maharashtra,20.0967555,79.5045475
2024-01-01 20:00:00,87.5,116.5,15.98,8.78,11.24,1.66,15.4,January,Winter,Christmas & New Year,191.4655172413793,Moderate,Chandrapur,Maharashtra,20.0967555,79.5045475
2024-01-01 21:00:00,86.75,102.75,15.82,8.78,11.37,2.19,16.08,January,Winter,Christmas & New Year,188.90517241379308,Moderate,Chandrapur,Maharashtra,20.0967555,79.5045475
2024-01-01 22:00:00,87.75,102.25,15.38,8.78,10.77,0.71,16.77,January,Winter,Christmas & New Year,192.3189655172414,Moderate,Chandrapur,Maharashtra,20.0967555,79.5045475
2024-01-01 23:00:00,84.0,103.0,13.8,8.8,10.6,0.55,17.35,January,Winter,Christmas & New Year,179.51724137931035,Moderate,Chandrapur,Maharashtra,20.0967555,79.5045475
2024-01-02 00:00:00,77.5,84.5,13.2,8.75,3.72,0.08,35.2,January,Winter,Christmas & New Year,157.32758620689654,Moderate,Chandrapur,Maharashtra,20.0967555,79.5045475
2024-01-02 01:00:00,74.0,85.0,14.17,8.73,3.87,0.08,35.77,January,Winter,Christmas & New Year,145.3793103448276,Moderate,Chandrapur,Maharashtra,20.0967555,79.5045475
