TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,38.04,106.07,22.92,32.85,7.59,0.22,51.21,January,Winter,Christmas & New Year,104.3686577181208,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-01 01:00:00,38.64,98.72,25.54,32.65,7.23,0.23,44.41,January,Winter,Christmas & New Year,98.72,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-01 02:00:00,39.56,95.45,18.48,34.76,6.74,0.24,45.84,January,Winter,Christmas & New Year,95.45,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-01 03:00:00,38.39,95.88,15.83,36.7,6.63,0.26,41.31,January,Winter,Christmas & New Year,95.88,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-01 04:00:00,38.84,98.71,15.0,37.98,6.57,0.27,37.79,January,Winter,Christmas & New Year,98.71,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-01 05:00:00,37.66,93.81,17.5,39.51,6.69,0.29,44.81,January,Winter,Christmas & New Year,93.81,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-01 06:00:00,37.8,92.33,22.08,42.1,6.94,0.31,45.12,January,Winter,Christmas & New Year,92.33,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-01 07:00:00,41.18,93.63,31.03,40.32,7.16,0.34,36.33,January,Winter,Christmas & New Year,93.63,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-01 08:00:00,43.5,103.52,25.17,35.9,7.43,0.35,42.82,January,Winter,Christmas & New Year,102.67436241610739,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-01 09:00:00,47.39,109.91,25.86,37.77,8.7,0.36,46.71,January,Winter,Christmas & New Year,106.92006711409395,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-01 10:00:00,46.62,118.35,21.52,38.96,9.24,0.36,57.47,January,Winter,Christmas & New Year,112.52785234899329,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-01 11:00:00,46.59,116.82,20.23,38.18,9.88,0.38,66.39,January,Winter,Christmas & New Year,111.51127516778523,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-01 12:00:00,43.24,97.87,15.545,28.56,6.01,0.19,75.76,January,Winter,Christmas & New Year,97.87,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-01 13:00:00,43.24,97.87,12.22,42.3,10.42,0.2,78.52,January,Winter,Christmas & New Year,97.87,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-01 14:00:00,41.41,50.73,13.12,45.52,5.26,0.21,83.44,January,Winter,Christmas & New Year,83.44,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-01 15:00:00,38.63,73.37,19.0,36.56,3.92,0.22,84.78,January,Winter,Christmas & New Year,84.78,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-01 16:00:00,39.41,82.78,23.29,32.08,7.17,0.24,75.38,January,Winter,Christmas & New Year,82.78,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-01 17:00:00,35.01,102.11,43.34,25.31,15.5,0.27,57.93,January,Winter,Christmas & New Year,101.73751677852349,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-01 18:00:00,36.7,116.64,51.67,29.35,10.39,0.32,41.47,January,Winter,Christmas & New Year,111.39167785234899,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-01 19:00:00,40.78,136.97,52.55,48.17,9.91,0.34,33.97,January,Winter,Christmas & New Year,124.89953020134229,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-01 20:00:00,44.96,147.42,64.81,34.46,8.27,0.36,27.64,January,Winter,Christmas & New Year,131.8428187919463,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-01 21:00:00,46.62,146.55,38.6,32.51,7.88,0.31,49.24,January,Winter,Christmas & New Year,131.26476510067116,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-01 22:00:00,43.96,134.85,33.38,31.46,7.6,0.31,48.04,January,Winter,Christmas & New Year,123.49093959731543,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-01 23:00:00,43.72,130.3,34.89,30.9,7.88,0.32,42.24,January,Winter,Christmas & New Year,120.46778523489934,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-02 00:00:00,44.0,124.3,23.22,39.56,7.86,0.21,45.39,January,Winter,Christmas & New Year,116.48120805369128,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-02 01:00:00,41.65,114.49,16.54,38.09,7.55,0.22,50.6,January,Winter,Christmas & New Year,109.9631543624161,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-02 02:00:00,40.58,97.29,13.48,38.79,7.27,0.23,49.5,January,Winter,Christmas & New Year,97.29,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-02 03:00:00,39.53,89.4,14.74,33.67,6.65,0.24,41.27,January,Winter,Christmas & New Year,89.4,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-02 04:00:00,38.45,93.42,28.45,32.54,5.99,0.26,28.79,January,Winter,Christmas & New Year,93.42,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-02 05:00:00,38.22,97.25,23.81,38.51,5.67,0.28,34.46,January,Winter,Christmas & New Year,97.25,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-02 06:00:00,37.8,95.28,18.19,50.05,5.75,0.3,44.85,January,Winter,Christmas & New Year,95.28,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-02 07:00:00,37.94,93.68,25.3,49.62,6.32,0.32,44.55,January,Winter,Christmas & New Year,93.68,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-02 08:00:00,42.53,97.79,24.1,42.93,6.98,0.34,47.14,January,Winter,Christmas & New Year,97.79,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-02 09:00:00,45.1,104.73,20.64,35.42,7.5,0.35,51.96,January,Winter,Christmas & New Year,103.47832214765101,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-02 10:00:00,43.84,109.71,17.7,32.94,7.55,0.36,56.04,January,Winter,Christmas & New Year,106.78718120805368,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-02 11:00:00,42.37,108.69,20.04,34.34,8.11,0.37,64.55,January,Winter,Christmas & New Year,106.10946308724832,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-02 12:00:00,41.82,108.19,18.02,34.2,8.93,0.37,72.03,January,Winter,Christmas & New Year,105.77724832214766,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-02 13:00:00,39.64,104.08,14.9,36.28,9.02,0.38,80.02,January,Winter,Christmas & New Year,103.04644295302013,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-02 14:00:00,38.74,91.89,13.22,30.46,8.03,0.4,82.33,January,Winter,Christmas & New Year,91.89,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-02 15:00:00,36.12,85.2,23.46,26.95,8.0,0.41,78.62,January,Winter,Christmas & New Year,85.2,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-02 16:00:00,33.43,89.78,24.28,30.0,7.99,0.44,75.98,January,Winter,Christmas & New Year,89.78,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-02 17:00:00,32.21,95.69,28.05,32.45,8.34,0.47,65.62,January,Winter,Christmas & New Year,95.69,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-02 18:00:00,32.73,105.36,45.06,30.52,8.55,0.52,42.4,January,Winter,Christmas & New Year,103.89691275167785,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-02 19:00:00,35.31,119.28,46.57,28.14,7.74,0.52,45.02,January,Winter,Christmas & New Year,113.14577181208054,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-02 20:00:00,36.76,122.68,37.01,31.08,7.77,0.53,50.99,January,Winter,Christmas & New Year,115.40483221476511,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-02 21:00:00,36.69,121.84,26.52,31.95,7.63,0.52,57.75,January,Winter,Christmas & New Year,114.84671140939598,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-02 22:00:00,36.68,117.98,26.34,34.58,7.12,0.52,52.99,January,Winter,Christmas & New Year,112.28201342281879,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-02 23:00:00,35.72,114.56,37.46,35.25,6.86,0.54,39.14,January,Winter,Christmas & New Year,110.0096644295302,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-03 00:00:00,35.49,110.86,33.44,33.02,6.1,0.21,36.59,January,Winter,Christmas & New Year,107.55127516778523,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-03 01:00:00,34.58,103.51,30.34,29.22,5.89,0.22,27.9,January,Winter,Christmas & New Year,102.66771812080538,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-03 02:00:00,34.35,96.44,28.94,29.86,5.42,0.24,27.92,January,Winter,Christmas & New Year,96.44,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-03 03:00:00,34.85,96.0,27.4,34.58,5.27,0.24,29.8,January,Winter,Christmas & New Year,96.0,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-03 04:00:00,33.6,96.25,21.35,34.88,5.27,0.26,36.09,January,Winter,Christmas & New Year,96.25,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-03 05:00:00,33.78,95.11,21.51,35.69,5.7,0.28,34.55,January,Winter,Christmas & New Year,95.11,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-03 06:00:00,34.5,99.21,23.73,30.56,5.4,0.29,34.36,January,Winter,Christmas & New Year,99.21,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-03 07:00:00,35.69,97.47,24.86,30.79,5.25,0.32,37.25,January,Winter,Christmas & New Year,97.47,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-03 08:00:00,37.76,98.22,24.55,39.54,6.34,0.33,45.36,January,Winter,Christmas & New Year,98.22,Satisfactory,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-03 09:00:00,38.49,102.52,27.03,35.51,7.0,0.34,51.57,January,Winter,Christmas & New Year,102.00993288590604,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-03 10:00:00,45.97,105.14,20.45,36.09,7.57,0.34,59.65,January,Winter,Christmas & New Year,103.75073825503355,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-03 11:00:00,52.32,108.39,21.55,33.61,8.07,0.36,66.81,January,Winter,Christmas & New Year,105.91013422818791,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-03 12:00:00,51.06,102.57,17.92,31.37,7.3,0.36,73.88,January,Winter,Christmas & New Year,102.0431543624161,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-03 13:00:00,57.0,117.96,18.24,31.62,7.78,0.38,78.16,January,Winter,Christmas & New Year,112.26872483221476,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-03 14:00:00,65.09,127.9,19.08,41.96,8.99,0.39,82.71,January,Winter,Christmas & New Year,118.87315436241612,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-03 15:00:00,61.6,123.92,16.48,18.62,9.54,0.41,88.16,January,Winter,Christmas & New Year,116.22872483221477,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-03 16:00:00,58.53,128.46,28.64,54.16,9.13,0.43,80.36,January,Winter,Christmas & New Year,119.24523489932886,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-03 17:00:00,60.32,130.98,35.33,50.35,11.23,0.46,72.01,January,Winter,Christmas & New Year,120.91959731543623,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-03 18:00:00,63.9,147.87,38.23,35.63,11.43,0.5,56.84,January,Winter,Christmas & New Year,132.1418120805369,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-03 19:00:00,64.43,163.97,40.05,29.59,8.25,0.53,43.28,January,Winter,Christmas & New Year,142.83912751677852,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-03 20:00:00,67.41,167.25,34.99,35.82,7.64,0.52,40.75,January,Winter,Christmas & New Year,145.01845637583892,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-03 21:00:00,66.36,163.64,33.85,32.29,7.55,0.52,44.29,January,Winter,Christmas & New Year,142.61986577181207,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-03 22:00:00,63.87,156.48,30.8,30.33,7.81,0.51,47.29,January,Winter,Christmas & New Year,137.86255033557046,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-03 23:00:00,62.89,154.81,28.53,30.83,7.52,0.52,44.44,January,Winter,Christmas & New Year,136.75295302013424,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-04 00:00:00,61.27,151.24,20.65,31.92,8.52,0.2,45.14,January,Winter,Christmas & New Year,134.38093959731543,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
2024-01-04 01:00:00,61.87,142.4,16.52,36.66,8.27,0.22,43.0,January,Winter,Christmas & New Year,128.50738255033556,Moderate,Jalgaon,Maharashtra,20.8428826,75.5261246
