TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,54.28,112.01,18.95,29.93,5.01,0.4,30.83,January,Winter,Christmas & New Year,108.31536912751679,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-01 01:00:00,52.43,101.1,18.95,26.51,11.96,0.41,11.5,January,Winter,Christmas & New Year,101.06644295302013,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-01 02:00:00,90.3,134.83,18.95,28.7,10.6,0.42,6.84,January,Winter,Christmas & New Year,123.47765100671143,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-01 03:00:00,68.26,136.55,18.95,26.81,10.25,0.43,11.07,January,Winter,Christmas & New Year,125.78413793103451,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-01 04:00:00,71.13,128.83,18.95,29.28,9.37,0.41,11.43,January,Winter,Christmas & New Year,135.58172413793102,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-01 05:00:00,65.82,123.31,18.95,29.11,9.94,0.4,10.3,January,Winter,Christmas & New Year,117.45448275862067,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-01 06:00:00,80.41,119.82,18.95,26.26,10.23,0.39,10.27,January,Winter,Christmas & New Year,167.26172413793103,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-01 07:00:00,86.24,128.25,18.95,25.79,8.84,0.41,8.97,January,Winter,Christmas & New Year,187.16413793103447,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-01 08:00:00,81.25,143.5,44.38,28.28,9.52,0.43,20.36,January,Winter,Christmas & New Year,170.1293103448276,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-01 09:00:00,75.89,149.67,43.56,24.86,10.3,0.46,42.07,January,Winter,Christmas & New Year,151.83137931034483,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-01 10:00:00,90.92,151.69,18.95,28.86,11.34,0.48,69.9,January,Winter,Christmas & New Year,134.67993288590606,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-01 11:00:00,92.44,162.36,18.95,30.5,12.14,0.49,72.07,January,Winter,Christmas & New Year,205.9158620689655,Poor,Jalna,Maharashtra,19.918833,75.8708599
2024-01-01 12:00:00,76.15,162.12,30.34,28.64,10.26,0.48,80.59,January,Winter,Christmas & New Year,152.7189655172414,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-01 13:00:00,70.43,161.08,26.92,27.98,12.18,0.44,88.56,January,Winter,Christmas & New Year,140.91892617449665,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-01 14:00:00,69.55,170.13,20.34,28.36,13.03,0.39,101.52,January,Winter,Christmas & New Year,146.93201342281878,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-01 15:00:00,62.07,149.83,22.11,30.82,12.76,0.37,76.24,January,Winter,Christmas & New Year,133.44409395973156,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-01 16:00:00,58.83,143.13,19.96,30.6,13.88,0.35,111.96,January,Winter,Christmas & New Year,128.99241610738255,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-01 17:00:00,54.95,139.31,27.42,28.18,13.77,0.42,43.6,January,Winter,Christmas & New Year,126.45429530201342,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-01 18:00:00,63.63,189.15,35.36,26.36,13.82,0.52,16.01,January,Winter,Christmas & New Year,159.56946308724832,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-01 19:00:00,63.07,205.79,34.13,28.46,12.66,0.54,11.82,January,Winter,Christmas & New Year,170.62557046979867,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-01 20:00:00,69.54,192.67,34.1,31.44,12.02,0.54,16.11,January,Winter,Christmas & New Year,161.90825503355705,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-01 21:00:00,69.9,169.39,37.36,28.74,12.93,0.56,16.68,January,Winter,Christmas & New Year,146.44033557046978,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-01 22:00:00,78.65,155.43,18.95,27.35,11.81,0.57,9.95,January,Winter,Christmas & New Year,161.25344827586207,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-01 23:00:00,71.98,168.43,18.95,27.62,10.56,0.58,7.18,January,Winter,Christmas & New Year,145.8024832214765,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-02 00:00:00,72.91,155.39,18.95,27.15,9.35,0.5,10.89,January,Winter,Christmas & New Year,141.65827586206896,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-02 01:00:00,67.37,141.94,18.95,27.31,9.56,0.46,22.1,January,Winter,Christmas & New Year,128.20174496644296,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-02 02:00:00,68.89,131.1,18.95,25.88,9.56,0.46,9.76,January,Winter,Christmas & New Year,127.9348275862069,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-02 03:00:00,70.91,129.3,18.95,27.5,8.91,0.44,7.83,January,Winter,Christmas & New Year,134.8306896551724,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-02 04:00:00,64.62,125.27,18.95,24.74,8.84,0.41,6.72,January,Winter,Christmas & New Year,117.12570469798658,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-02 05:00:00,66.04,115.45,18.95,25.29,8.6,0.4,7.28,January,Winter,Christmas & New Year,118.20551724137934,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-02 06:00:00,71.43,114.94,18.95,25.54,9.0,0.41,6.22,January,Winter,Christmas & New Year,136.60586206896554,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-02 07:00:00,77.39,135.19,18.95,25.48,9.02,0.41,11.19,January,Winter,Christmas & New Year,156.95206896551724,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-02 08:00:00,74.38,149.02,21.36,27.77,8.41,0.41,27.68,January,Winter,Christmas & New Year,146.6765517241379,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-02 09:00:00,75.2,153.17,19.38,28.12,8.86,0.42,31.78,January,Winter,Christmas & New Year,149.4758620689655,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-02 10:00:00,80.99,163.29,21.38,25.84,10.16,0.5,53.64,January,Winter,Christmas & New Year,169.24172413793102,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-02 11:00:00,84.16,178.32,20.64,28.22,12.09,0.55,60.96,January,Winter,Christmas & New Year,180.06344827586207,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-02 12:00:00,83.49,189.12,21.28,24.68,12.07,0.52,64.23,January,Winter,Christmas & New Year,177.77620689655168,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-02 13:00:00,81.23,181.28,20.22,27.86,12.34,0.5,68.58,January,Winter,Christmas & New Year,170.06103448275863,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-02 14:00:00,88.99,185.68,19.88,26.63,13.12,0.46,82.62,January,Winter,Christmas & New Year,196.5520689655172,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-02 15:00:00,75.71,173.32,15.95,28.1,14.62,0.42,73.93,January,Winter,Christmas & New Year,151.21689655172412,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-02 16:00:00,72.56,165.26,15.68,27.13,14.16,0.41,54.76,January,Winter,Christmas & New Year,143.69624161073824,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-02 17:00:00,74.12,155.54,15.39,26.21,14.22,0.41,52.26,January,Winter,Christmas & New Year,145.7889655172414,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-02 18:00:00,79.88,179.4,18.52,26.81,13.58,0.42,11.76,January,Winter,Christmas & New Year,165.45241379310343,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-02 19:00:00,75.84,210.25,21.59,27.45,13.26,0.43,11.36,January,Winter,Christmas & New Year,173.58892617449663,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-02 20:00:00,68.96,177.32,19.99,28.11,12.7,0.43,22.02,January,Winter,Christmas & New Year,151.70926174496645,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-02 21:00:00,66.9,149.76,19.7,28.0,13.27,0.45,24.15,January,Winter,Christmas & New Year,133.39758389261743,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-02 22:00:00,63.48,107.62,25.61,29.02,13.1,0.43,20.68,January,Winter,Christmas & New Year,109.46620689655171,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-02 23:00:00,58.85,116.64,27.1,27.05,11.52,0.42,11.75,January,Winter,Christmas & New Year,111.39167785234899,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-03 00:00:00,60.97,110.5,25.32,27.63,10.85,0.4,14.66,January,Winter,Christmas & New Year,107.31208053691276,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-03 01:00:00,60.12,110.54,22.0,27.77,10.85,0.38,18.84,January,Winter,Christmas & New Year,107.33865771812081,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-03 02:00:00,62.3,93.3,21.8,30.31,9.63,0.37,20.37,January,Winter,Christmas & New Year,105.43793103448274,Moderate,Jalna,Maharashtra,19.918833,75.8708599
2024-01-03 03:00:00,63.14,105.34,22.48,27.34,9.75,0.38,18.27,January,Winter,Christmas & New Year,108.3055172413793,Moderate,Jalna,Maharashtra,19.918833,75.8708599
