TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,62.03,282.3,46.22,1.46,4.15,1.92,1.96,January,Winter,Christmas & New Year,232.3,Poor,Kolhapur,Maharashtra,16.7028412,74.2405329
2024-01-01 01:00:00,62.41,270.92,44.68,1.35,4.26,1.66,1.48,January,Winter,Christmas & New Year,220.92000000000002,Poor,Kolhapur,Maharashtra,16.7028412,74.2405329
2024-01-01 02:00:00,62.92,237.74,30.81,0.79,1.96,1.18,3.02,January,Winter,Christmas & New Year,191.85409395973156,Moderate,Kolhapur,Maharashtra,16.7028412,74.2405329
2024-01-01 03:00:00,61.5,214.79,28.52,0.23,1.8,1.16,1.23,January,Winter,Christmas & New Year,176.60543624161073,Moderate,Kolhapur,Maharashtra,16.7028412,74.2405329
2024-01-01 04:00:00,58.7,186.16,25.67,21.37,2.21,1.06,0.6,January,Winter,Christmas & New Year,157.5828187919463,Moderate,Kolhapur,Maharashtra,16.7028412,74.2405329
2024-01-01 05:00:00,61.53,174.32,22.49,21.37,2.11,0.92,1.67,January,Winter,Christmas & New Year,149.71597315436242,Moderate,Kolhapur,Maharashtra,16.7028412,74.2405329
2024-01-01 06:00:00,62.64,176.49,21.66,21.37,1.45,0.99,1.72,January,Winter,Christmas & New Year,151.15778523489934,Moderate,Kolhapur,Maharashtra,16.7028412,74.2405329
2024-01-01 07:00:00,63.38,177.12,28.16,0.19,2.62,1.31,2.8,January,Winter,Christmas & New Year,151.5763758389262,Moderate,Kolhapur,Maharashtra,16.7028412,74.2405329
2024-01-01 08:00:00,64.98,240.75,39.82,0.49,6.78,1.42,16.86,January,Winter,Christmas & New Year,193.85402684563758,Moderate,Kolhapur,Maharashtra,16.7028412,74.2405329
2024-01-01 09:00:00,68.91,292.08,31.56,0.2,11.64,1.06,61.28,January,Winter,Christmas & New Year,242.07999999999998,Poor,Kolhapur,Maharashtra,16.7028412,74.2405329
