TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,54.68,120.0,44.83,23.73,11.26,1.56,12.1,January,Winter,Christmas & New Year,113.6241610738255,Moderate,Mumbai,Maharashtra,19.054999,72.8692035
2024-01-01 01:00:00,61.73,129.29,46.75,26.58,11.53,1.61,11.87,January,Winter,Christmas & New Year,119.79671140939597,Moderate,Mumbai,Maharashtra,19.054999,72.8692035
2024-01-01 02:00:00,69.83,140.01,47.25,25.35,11.66,1.62,11.65,January,Winter,Christmas & New Year,131.14379310344827,Moderate,Mumbai,Maharashtra,19.054999,72.8692035
2024-01-01 03:00:00,70.88,133.39,46.88,25.72,12.38,1.44,11.42,January,Winter,Christmas & New Year,134.72827586206895,Moderate,Mumbai,Maharashtra,19.054999,72.8692035
2024-01-01 04:00:00,65.88,131.61,40.78,23.56,11.65,1.28,12.91,January,Winter,Christmas & New Year,121.3381879194631,Moderate,Mumbai,Maharashtra,19.054999,72.8692035
2024-01-01 05:00:00,63.52,137.65,38.42,21.95,11.36,1.21,16.01,January,Winter,Christmas & New Year,125.3513422818792,Moderate,Mumbai,Maharashtra,19.054999,72.8692035
2024-01-01 06:00:00,64.55,121.46,34.66,21.45,11.54,1.13,19.36,January,Winter,Christmas & New Year,114.59422818791946,Moderate,Mumbai,Maharashtra,19.054999,72.8692035
2024-01-01 07:00:00,62.83,120.99,41.2,22.19,11.42,1.14,15.69,January,Winter,Christmas & New Year,114.28194630872483,Moderate,Mumbai,Maharashtra,19.054999,72.8692035
2024-01-01 08:00:00,64.52,127.26,40.82,22.29,11.52,1.23,15.87,January,Winter,Christmas & New Year,118.44791946308726,Moderate,Mumbai,Maharashtra,19.054999,72.8692035
2024-01-01 09:00:00,66.14,136.07,38.69,22.65,11.64,1.19,23.74,January,Winter,Christmas & New Year,124.30154362416107,Moderate,Mumbai,Maharashtra,19.054999,72.8692035
2024-01-01 10:00:00,61.54,126.49,37.32,20.98,13.32,1.11,35.83,January,Winter,Christmas & New Year,117.93630872483222,Moderate,Mumbai,Maharashtra,19.054999,72.8692035
2024-01-01 11:00:00,58.6,120.97,30.33,21.18,13.5,1.06,47.92,January,Winter,Christmas & New Year,114.2686577181208,Moderate,Mumbai,Maharashtra,19.054999,72.8692035
2024-01-01 12:00:00,58.12,116.05,28.78,20.38,12.5,0.98,58.45,January,Winter,Christmas & New Year,110.9996644295302,Moderate,Mumbai,Maharashtra,19.054999,72.8692035
2024-01-01 13:00:00,54.85,108.54,28.78,20.83,13.71,0.89,66.42,January,Winter,Christmas & New Year,106.00979865771812,Moderate,Mumbai,Maharashtra,19.054999,72.8692035
2024-01-01 14:00:00,52.81,108.26,30.9,20.02,14.2,0.93,73.33,January,Winter,Christmas & New Year,105.82375838926176,Moderate,Mumbai,Maharashtra,19.054999,72.8692035
2024-01-01 15:00:00,55.65,105.65,29.0,19.99,14.0,0.9,75.88,January,Winter,Christmas & New Year,104.08959731543625,Moderate,Mumbai,Maharashtra,19.054999,72.8692035
2024-01-01 16:00:00,56.67,107.64,29.4,19.85,12.89,0.98,71.33,January,Winter,Christmas & New Year,105.41181208053692,Moderate,Mumbai,Maharashtra,19.054999,72.8692035
2024-01-01 17:00:00,53.58,106.55,30.91,20.09,11.66,1.1,62.1,January,Winter,Christmas & New Year,104.68758389261745,Moderate,Mumbai,Maharashtra,19.054999,72.8692035
2024-01-01 18:00:00,52.09,105.19,32.7,20.73,11.33,1.19,54.74,January,Winter,Christmas & New Year,103.78395973154362,Moderate,Mumbai,Maharashtra,19.054999,72.8692035
2024-01-01 19:00:00,56.24,109.64,34.87,21.23,10.26,1.04,50.17,January,Winter,Christmas & New Year,106.7406711409396,Moderate,Mumbai,Maharashtra,19.054999,72.8692035
2024-01-01 20:00:00,56.69,111.61,34.87,21.03,10.09,1.07,46.91,January,Winter,Christmas & New Year,108.04959731543624,Moderate,Mumbai,Maharashtra,19.054999,72.8692035
