TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,151.94,242.08,80.12,66.67,27.97,3.53,2.49,January,Winter,Christmas & New Year,324.7446511627907,Very Poor,Nagpur,Maharashtra,21.1498134,79.0820556
2024-01-01 01:00:00,166.03,258.71,70.81,64.3,30.36,3.49,2.65,January,Winter,Christmas & New Year,335.55790697674416,Very Poor,Nagpur,Maharashtra,21.1498134,79.0820556
2024-01-01 02:00:00,183.35,276.64,53.45,55.43,34.87,2.38,4.94,January,Winter,Christmas & New Year,348.85,Very Poor,Nagpur,Maharashtra,21.1498134,79.0820556
2024-01-01 03:00:00,164.21,252.8,37.55,49.21,34.41,1.73,9.92,January,Winter,Christmas & New Year,334.1611627906977,Very Poor,Nagpur,Maharashtra,21.1498134,79.0820556
2024-01-01 04:00:00,138.63,219.67,30.1,47.65,27.75,1.16,14.21,January,Winter,Christmas & New Year,314.53,Very Poor,Nagpur,Maharashtra,21.1498134,79.0820556
2024-01-01 05:00:00,113.51,179.14,21.18,33.99,20.76,0.77,15.8,January,Winter,Christmas & New Year,277.8444827586207,Poor,Nagpur,Maharashtra,21.1498134,79.0820556
2024-01-01 06:00:00,101.82,152.75,19.96,32.3,18.2,0.73,14.73,January,Winter,Christmas & New Year,237.9372413793103,Poor,Nagpur,Maharashtra,21.1498134,79.0820556
2024-01-01 07:00:00,95.65,147.93,23.61,30.78,16.16,0.88,14.04,January,Winter,Christmas & New Year,216.8741379310345,Poor,Nagpur,Maharashtra,21.1498134,79.0820556
2024-01-01 08:00:00,93.92,155.95,29.81,35.64,19.44,1.08,19.35,January,Winter,Christmas & New Year,210.96827586206896,Poor,Nagpur,Maharashtra,21.1498134,79.0820556
2024-01-01 09:00:00,98.18,163.52,31.62,38.29,25.92,1.18,45.72,January,Winter,Christmas & New Year,225.51103448275865,Poor,Nagpur,Maharashtra,21.1498134,79.0820556
2024-01-01 10:00:00,102.96,174.26,33.97,35.57,29.87,1.28,66.54,January,Winter,Christmas & New Year,241.82896551724136,Poor,Nagpur,Maharashtra,21.1498134,79.0820556
2024-01-01 11:00:00,106.95,182.39,35.09,32.69,31.22,1.27,82.14,January,Winter,Christmas & New Year,255.45000000000002,Poor,Nagpur,Maharashtra,21.1498134,79.0820556
2024-01-01 12:00:00,106.9,178.99,25.41,30.37,30.5,0.96,89.13,January,Winter,Christmas & New Year,255.2793103448276,Poor,Nagpur,Maharashtra,21.1498134,79.0820556
2024-01-01 13:00:00,102.71,162.59,21.97,30.18,28.58,0.85,89.83,January,Winter,Christmas & New Year,240.9755172413793,Poor,Nagpur,Maharashtra,21.1498134,79.0820556
2024-01-01 14:00:00,93.44,146.05,19.48,30.27,27.25,0.84,93.83,January,Winter,Christmas & New Year,209.3296551724138,Poor,Nagpur,Maharashtra,21.1498134,79.0820556
2024-01-01 15:00:00,87.91,133.72,17.51,30.82,25.08,0.79,95.04,January,Winter,Christmas & New Year,192.8651724137931,Moderate,Nagpur,Maharashtra,21.1498134,79.0820556
2024-01-01 16:00:00,83.28,124.72,25.04,29.28,23.89,0.9,82.91,January,Winter,Christmas & New Year,177.0593103448276,Moderate,Nagpur,Maharashtra,21.1498134,79.0820556
