TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,72.0,145.9,45.81,10.79,4.28,0.95,7.54,January,Winter,Christmas & New Year,138.55172413793105,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-01 01:00:00,74.82,142.88,42.19,11.44,4.04,1.02,6.85,January,Winter,Christmas & New Year,148.17862068965513,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-01 02:00:00,77.37,140.17,42.4,14.96,3.54,0.98,12.79,January,Winter,Christmas & New Year,156.88379310344828,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-01 03:00:00,77.0,135.67,36.25,10.72,4.1,0.77,16.72,January,Winter,Christmas & New Year,155.6206896551724,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-01 04:00:00,76.09,135.9,25.95,10.24,4.46,0.68,19.4,January,Winter,Christmas & New Year,152.5141379310345,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-01 05:00:00,71.14,120.36,23.79,10.35,4.65,0.62,17.56,January,Winter,Christmas & New Year,135.61586206896553,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-01 06:00:00,67.91,118.42,25.93,10.49,4.27,0.65,15.04,January,Winter,Christmas & New Year,124.58931034482757,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-01 07:00:00,73.23,120.85,30.06,10.46,5.42,0.78,12.22,January,Winter,Christmas & New Year,142.75068965517244,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-01 08:00:00,80.14,138.88,31.38,10.63,6.02,0.85,14.84,January,Winter,Christmas & New Year,166.34,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-01 09:00:00,83.32,154.52,29.48,11.15,7.68,0.77,37.08,January,Winter,Christmas & New Year,177.19586206896548,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-01 10:00:00,82.12,150.22,28.85,10.76,13.79,0.76,48.92,January,Winter,Christmas & New Year,173.0993103448276,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-01 11:00:00,76.79,146.17,26.7,10.06,10.4,0.64,60.85,January,Winter,Christmas & New Year,154.9037931034483,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-01 12:00:00,72.03,140.49,22.38,9.93,5.48,0.55,68.34,January,Winter,Christmas & New Year,138.65413793103448,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-01 13:00:00,60.61,118.93,16.46,10.39,5.31,0.47,75.72,January,Winter,Christmas & New Year,112.91322147651007,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-01 14:00:00,53.53,100.16,20.7,11.0,4.8,0.48,80.47,January,Winter,Christmas & New Year,89.06793103448277,Satisfactory,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-01 15:00:00,49.24,92.68,19.87,10.17,5.86,0.48,86.0,January,Winter,Christmas & New Year,92.68,Satisfactory,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-01 16:00:00,53.46,93.62,24.65,12.42,6.13,0.58,71.63,January,Winter,Christmas & New Year,93.62,Satisfactory,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-01 17:00:00,55.1,109.23,39.6,12.14,4.77,0.77,63.64,January,Winter,Christmas & New Year,106.46825503355706,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-01 18:00:00,59.52,118.1,54.01,12.48,5.52,0.91,39.45,January,Winter,Christmas & New Year,112.36174496644296,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-01 19:00:00,64.22,137.08,77.82,17.74,3.84,1.47,9.7,January,Winter,Christmas & New Year,124.97261744966444,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-01 20:00:00,81.06,169.18,36.77,13.32,3.15,0.82,14.33,January,Winter,Christmas & New Year,169.48068965517243,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-01 21:00:00,75.85,156.69,25.07,12.96,3.53,0.74,18.14,January,Winter,Christmas & New Year,151.69482758620688,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-01 22:00:00,76.93,232.27,28.16,12.44,3.29,0.75,20.9,January,Winter,Christmas & New Year,188.2196644295302,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-01 23:00:00,76.99,162.78,27.61,11.67,3.4,0.8,18.78,January,Winter,Christmas & New Year,155.5865517241379,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-02 00:00:00,79.17,156.17,24.19,12.11,3.19,0.76,18.84,January,Winter,Christmas & New Year,163.02862068965518,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-02 01:00:00,88.07,154.68,26.03,11.68,4.21,0.71,13.58,January,Winter,Christmas & New Year,193.41137931034478,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-02 02:00:00,88.64,155.77,26.3,12.18,3.39,0.76,12.87,January,Winter,Christmas & New Year,195.35724137931035,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-02 03:00:00,83.41,139.9,27.91,12.26,3.27,0.77,9.55,January,Winter,Christmas & New Year,177.50310344827585,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-02 04:00:00,85.0,141.37,32.93,12.43,2.67,0.86,9.28,January,Winter,Christmas & New Year,182.9310344827586,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-02 05:00:00,85.92,164.33,31.78,12.77,2.94,0.85,9.25,January,Winter,Christmas & New Year,186.07172413793103,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-02 06:00:00,89.37,156.48,33.25,13.58,3.42,1.0,4.67,January,Winter,Christmas & New Year,197.8493103448276,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-02 07:00:00,101.61,187.36,38.13,14.54,2.57,1.05,5.06,January,Winter,Christmas & New Year,237.2203448275862,Poor,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-02 08:00:00,109.32,206.22,43.49,14.12,2.21,1.02,14.85,January,Winter,Christmas & New Year,263.5406896551724,Poor,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-02 09:00:00,111.3,187.36,33.54,14.03,2.57,0.89,31.88,January,Winter,Christmas & New Year,270.29999999999995,Poor,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-02 10:00:00,103.33,169.02,30.56,13.68,3.89,0.83,44.13,January,Winter,Christmas & New Year,243.09206896551723,Poor,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-02 11:00:00,99.71,165.42,25.27,13.08,4.49,0.73,56.49,January,Winter,Christmas & New Year,230.73413793103447,Poor,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-02 12:00:00,87.8,135.5,19.64,11.97,4.39,0.62,64.66,January,Winter,Christmas & New Year,192.4896551724138,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-02 13:00:00,72.15,112.22,16.7,12.15,3.41,0.54,67.4,January,Winter,Christmas & New Year,139.0637931034483,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-02 14:00:00,61.98,120.84,13.32,11.8,2.83,0.44,64.02,January,Winter,Christmas & New Year,114.18228187919463,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-02 15:00:00,51.6,96.67,13.71,12.24,4.0,0.41,61.81,January,Winter,Christmas & New Year,96.67,Satisfactory,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-02 16:00:00,44.8,82.28,17.8,12.26,2.8,0.44,53.54,January,Winter,Christmas & New Year,82.28,Satisfactory,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-02 17:00:00,41.18,85.34,23.5,11.4,3.28,0.5,44.23,January,Winter,Christmas & New Year,85.34,Satisfactory,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-02 18:00:00,50.82,118.69,42.25,11.69,3.7,0.75,18.86,January,Winter,Christmas & New Year,112.75375838926175,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-02 19:00:00,56.06,126.85,40.78,12.18,4.8,0.82,17.14,January,Winter,Christmas & New Year,118.17550335570469,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-02 20:00:00,70.1,154.19,27.03,12.95,3.29,0.88,27.53,January,Winter,Christmas & New Year,136.3410067114094,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
2024-01-02 21:00:00,80.61,193.57,23.7,12.59,3.77,0.88,35.1,January,Winter,Christmas & New Year,167.94448275862067,Moderate,Nashik,Maharashtra,20.0112475,73.7902364
