TIMESTAMP,PM2.5,PM10,SO2,CO,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2016-01-01 00:00:00,45.8,93.9,24.95,2.23,January,Winter,Christmas & New Year,102.62911392405063,Moderate,Navi Mumbai,Maharashtra,19.0308262,73.0198537
2016-01-01 01:00:00,51.44,94.64,24.79,2.24,January,Winter,Christmas & New Year,102.75443037974684,Moderate,Navi Mumbai,Maharashtra,19.0308262,73.0198537
2016-01-01 02:00:00,42.7,94.97,24.95,2.24,January,Winter,Christmas & New Year,102.75443037974684,Moderate,Navi Mumbai,Maharashtra,19.0308262,73.0198537
2016-01-01 03:00:00,43.15,93.56,24.81,2.29,January,Winter,Christmas & New Year,103.38101265822785,Moderate,Navi Mumbai,Maharashtra,19.0308262,73.0198537
2016-01-01 04:00:00,42.06,92.52,25.0,2.28,January,Winter,Christmas & New Year,103.25569620253164,Moderate,Navi Mumbai,Maharashtra,19.0308262,73.0198537
2016-01-01 05:00:00,40.82,90.11,25.07,2.3,January,Winter,Christmas & New Year,103.50632911392405,Moderate,Navi Mumbai,Maharashtra,19.0308262,73.0198537
2016-01-01 06:00:00,39.64,92.02,24.98,2.28,January,Winter,Christmas & New Year,103.25569620253164,Moderate,Navi Mumbai,Maharashtra,19.0308262,73.0198537
2016-01-01 07:00:00,40.31,93.91,24.95,2.24,January,Winter,Christmas & New Year,102.75443037974684,Moderate,Navi Mumbai,Maharashtra,19.0308262,73.0198537
2016-01-01 08:00:00,41.99,92.18,25.15,2.24,January,Winter,Christmas & New Year,102.75443037974684,Moderate,Navi Mumbai,Maharashtra,19.0308262,73.0198537
2016-01-01 09:00:00,41.36,92.59,24.69,2.26,January,Winter,Christmas & New Year,103.00506329113924,Moderate,Navi Mumbai,Maharashtra,19.0308262,73.0198537
2016-01-01 10:00:00,43.24,91.72,24.98,2.26,January,Winter,Christmas & New Year,103.00506329113924,Moderate,Navi Mumbai,Maharashtra,19.0308262,73.0198537
2016-01-01 11:00:00,39.38,94.19,24.6,2.28,January,Winter,Christmas & New Year,103.25569620253164,Moderate,Navi Mumbai,Maharashtra,19.0308262,73.0198537
2016-01-01 12:00:00,43.34,94.96,25.0,2.52,January,Winter,Christmas & New Year,106.26329113924051,Moderate,Navi Mumbai,Maharashtra,19.0308262,73.0198537
2016-01-01 13:00:00,40.2,92.77,24.68,2.28,January,Winter,Christmas & New Year,103.25569620253164,Moderate,Navi Mumbai,Maharashtra,19.0308262,73.0198537
2016-01-01 14:00:00,39.79,92.71,24.75,2.34,January,Winter,Christmas & New Year,104.00759493670886,Moderate,Navi Mumbai,Maharashtra,19.0308262,73.0198537
2016-01-01 15:00:00,40.26,90.3,24.69,2.3,January,Winter,Christmas & New Year,103.50632911392405,Moderate,Navi Mumbai,Maharashtra,19.0308262,73.0198537
2016-01-01 16:00:00,39.44,90.92,24.46,2.3,January,Winter,Christmas & New Year,103.50632911392405,Moderate,Navi Mumbai,Maharashtra,19.0308262,73.0198537
2016-01-01 17:00:00,39.41,91.28,24.74,2.29,January,Winter,Christmas & New Year,103.38101265822785,Moderate,Navi Mumbai,Maharashtra,19.0308262,73.0198537
2016-01-01 18:00:00,41.01,91.78,24.65,2.28,January,Winter,Christmas & New Year,103.25569620253164,Moderate,Navi Mumbai,Maharashtra,19.0308262,73.0198537
2016-01-01 19:00:00,45.49,92.19,24.74,2.43,January,Winter,Christmas & New Year,105.13544303797468,Moderate,Navi Mumbai,Maharashtra,19.0308262,73.0198537
2016-01-01 20:00:00,48.28,95.09,24.48,2.34,January,Winter,Christmas & New Year,104.00759493670886,Moderate,Navi Mumbai,Maharashtra,19.0308262,73.0198537
2016-01-01 21:00:00,46.59,94.61,24.78,2.37,January,Winter,Christmas & New Year,104.38354430379746,Moderate,Navi Mumbai,Maharashtra,19.0308262,73.0198537
2016-01-01 22:00:00,45.74,96.82,24.73,2.42,January,Winter,Christmas & New Year,105.01012658227847,Moderate,Navi Mumbai,Maharashtra,19.0308262,73.0198537
2016-01-01 23:00:00,43.64,94.96,24.72,2.45,January,Winter,Christmas & New Year,105.3860759493671,Moderate,Navi Mumbai,Maharashtra,19.0308262,73.0198537
2016-01-02 00:00:00,43.36,89.73,24.82,2.46,January,Winter,Christmas & New Year,105.51139240506329,Moderate,Navi Mumbai,Maharashtra,19.0308262,73.0198537
2016-01-02 01:00:00,43.8,94.36,24.72,2.45,January,Winter,Christmas & New Year,105.3860759493671,Moderate,Navi Mumbai,Maharashtra,19.0308262,73.0198537
2016-01-02 02:00:00,43.13,96.29,24.71,2.5,January,Winter,Christmas & New Year,106.0126582278481,Moderate,Navi Mumbai,Maharashtra,19.0308262,73.0198537
2016-01-02 03:00:00,41.06,91.84,24.98,2.46,January,Winter,Christmas & New Year,105.51139240506329,Moderate,Navi Mumbai,Maharashtra,19.0308262,73.0198537
