TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,86.23,156.53,30.84,13.8,8.13,0.76,15.8,January,Winter,Christmas & New Year,187.13,Moderate,Sangli,Maharashtra,17.1726928,74.5867654
2024-01-01 01:00:00,92.45,157.95,54.15,2.88,6.51,1.17,3.77,January,Winter,Christmas & New Year,205.95000000000002,Poor,Sangli,Maharashtra,17.1726928,74.5867654
2024-01-01 02:00:00,90.8,149.59,41.47,5.43,4.11,1.01,1.75,January,Winter,Christmas & New Year,133.28463087248323,Moderate,Sangli,Maharashtra,17.1726928,74.5867654
2024-01-01 03:00:00,83.86,144.7,29.0,10.9,3.45,0.94,5.42,January,Winter,Christmas & New Year,179.03931034482758,Moderate,Sangli,Maharashtra,17.1726928,74.5867654
2024-01-01 04:00:00,88.96,142.69,25.33,8.19,2.66,0.98,3.75,January,Winter,Christmas & New Year,196.44965517241377,Moderate,Sangli,Maharashtra,17.1726928,74.5867654
2024-01-01 05:00:00,93.78,141.07,24.89,10.01,3.6,0.86,5.46,January,Winter,Christmas & New Year,210.4903448275862,Poor,Sangli,Maharashtra,17.1726928,74.5867654
2024-01-01 06:00:00,94.08,142.26,31.78,6.05,3.29,1.0,4.89,January,Winter,Christmas & New Year,211.5144827586207,Poor,Sangli,Maharashtra,17.1726928,74.5867654
2024-01-01 07:00:00,105.7,157.69,45.46,0.63,3.22,2.08,2.22,January,Winter,Christmas & New Year,251.18275862068967,Poor,Sangli,Maharashtra,17.1726928,74.5867654
2024-01-01 08:00:00,131.55,216.97,56.53,8.2,2.72,2.1,6.16,January,Winter,Christmas & New Year,309.096511627907,Very Poor,Sangli,Maharashtra,17.1726928,74.5867654
2024-01-01 09:00:00,144.46,227.64,26.87,12.28,3.71,0.78,36.53,January,Winter,Christmas & New Year,319.0041860465116,Very Poor,Sangli,Maharashtra,17.1726928,74.5867654
2024-01-01 10:00:00,129.19,186.27,26.07,9.18,6.44,0.64,45.22,January,Winter,Christmas & New Year,307.2853488372093,Very Poor,Sangli,Maharashtra,17.1726928,74.5867654
2024-01-01 11:00:00,99.63,146.32,20.34,9.0,10.15,0.53,55.61,January,Winter,Christmas & New Year,230.4610344827586,Poor,Sangli,Maharashtra,17.1726928,74.5867654
2024-01-01 12:00:00,83.19,113.49,16.08,8.76,11.23,0.45,61.53,January,Winter,Christmas & New Year,176.75206896551725,Moderate,Sangli,Maharashtra,17.1726928,74.5867654
