TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,55.87,115.22,27.35,63.15,11.16,0.29,38.85,January,Winter,Christmas & New Year,110.4481879194631,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-01 01:00:00,47.28,102.17,24.95,61.74,11.24,0.26,42.11,January,Winter,Christmas & New Year,101.77738255033557,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-01 02:00:00,44.75,93.68,22.36,59.86,10.99,0.26,41.7,January,Winter,Christmas & New Year,93.68,Satisfactory,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-01 03:00:00,40.41,87.18,22.24,60.04,11.04,0.26,40.73,January,Winter,Christmas & New Year,87.18,Satisfactory,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-01 04:00:00,38.33,82.84,21.04,56.04,11.02,0.25,39.79,January,Winter,Christmas & New Year,82.84,Satisfactory,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-01 05:00:00,35.95,83.08,21.98,56.23,10.69,0.28,38.88,January,Winter,Christmas & New Year,83.08,Satisfactory,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-01 06:00:00,37.04,78.71,27.65,72.11,10.63,0.31,34.54,January,Winter,Christmas & New Year,78.71,Satisfactory,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-01 07:00:00,39.76,83.0,25.43,65.62,10.39,0.34,36.81,January,Winter,Christmas & New Year,83.0,Satisfactory,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-01 08:00:00,43.9,98.68,28.98,73.3,10.34,0.46,36.49,January,Winter,Christmas & New Year,98.68,Satisfactory,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-01 09:00:00,46.04,102.61,32.34,88.08,11.16,0.53,38.17,January,Winter,Christmas & New Year,102.06973154362416,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-01 10:00:00,46.88,105.78,43.74,91.53,43.34,0.5,35.81,January,Winter,Christmas & New Year,104.17597315436242,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-01 11:00:00,46.88,108.19,36.89,79.78,35.74,0.4,39.14,January,Winter,Christmas & New Year,105.77724832214766,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-01 12:00:00,45.54,99.29,31.79,72.37,25.98,0.32,43.76,January,Winter,Christmas & New Year,99.29,Satisfactory,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-01 13:00:00,46.07,93.15,28.06,69.04,24.76,0.32,54.54,January,Winter,Christmas & New Year,93.15,Satisfactory,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-01 14:00:00,45.14,89.38,24.33,58.97,16.48,0.26,55.06,January,Winter,Christmas & New Year,89.38,Satisfactory,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-01 15:00:00,43.02,84.97,23.69,64.85,12.61,0.26,54.09,January,Winter,Christmas & New Year,84.97,Satisfactory,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-01 16:00:00,29.51,76.12,27.96,38.88,15.78,0.44,41.38,January,Winter,Christmas & New Year,76.12,Satisfactory,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-01 17:00:00,43.44,98.12,31.97,36.11,11.22,0.42,37.36,January,Winter,Christmas & New Year,98.12,Satisfactory,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-01 18:00:00,49.06,105.78,62.23,89.22,12.14,1.84,26.44,January,Winter,Christmas & New Year,104.17597315436242,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-01 19:00:00,54.11,128.19,60.76,97.64,11.63,1.47,29.24,January,Winter,Christmas & New Year,119.0658389261745,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-01 20:00:00,59.8,133.88,42.59,77.52,10.69,0.88,36.65,January,Winter,Christmas & New Year,122.84644295302013,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-01 21:00:00,56.27,127.97,39.67,83.34,10.13,0.77,37.27,January,Winter,Christmas & New Year,118.9196644295302,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-01 22:00:00,49.23,122.9,40.04,69.91,10.81,0.97,37.25,January,Winter,Christmas & New Year,115.5510067114094,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-01 23:00:00,50.13,118.68,51.62,79.04,10.99,1.64,28.74,January,Winter,Christmas & New Year,112.74711409395974,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-02 00:00:00,49.39,121.37,36.22,72.18,11.39,0.6,34.56,January,Winter,Christmas & New Year,114.53442953020135,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-02 01:00:00,48.05,113.27,24.95,59.36,11.63,0.38,42.08,January,Winter,Christmas & New Year,109.15255033557047,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-02 02:00:00,44.77,95.09,22.59,53.9,10.59,0.38,43.0,January,Winter,Christmas & New Year,95.09,Satisfactory,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-02 03:00:00,43.76,88.14,25.52,63.11,11.15,0.39,39.66,January,Winter,Christmas & New Year,88.14,Satisfactory,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-02 04:00:00,41.84,81.98,25.36,61.78,10.9,0.33,37.19,January,Winter,Christmas & New Year,81.98,Satisfactory,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-02 05:00:00,39.74,82.69,27.06,62.15,10.78,0.4,33.7,January,Winter,Christmas & New Year,82.69,Satisfactory,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-02 06:00:00,39.48,80.86,30.79,72.88,10.75,0.48,30.43,January,Winter,Christmas & New Year,80.86,Satisfactory,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-02 07:00:00,40.5,85.12,30.28,63.64,10.25,0.51,30.28,January,Winter,Christmas & New Year,85.12,Satisfactory,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-02 08:00:00,43.45,92.11,33.79,75.24,10.66,0.57,31.59,January,Winter,Christmas & New Year,92.11,Satisfactory,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-02 09:00:00,48.78,99.79,35.82,75.73,12.48,0.52,36.09,January,Winter,Christmas & New Year,99.79,Satisfactory,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-02 10:00:00,55.09,106.94,41.29,86.42,32.07,0.43,41.2,January,Winter,Christmas & New Year,104.94671140939597,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-02 11:00:00,56.5,106.77,29.74,70.58,22.83,0.3,48.61,January,Winter,Christmas & New Year,104.83375838926175,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-02 12:00:00,56.63,103.75,26.91,61.78,16.49,0.24,55.27,January,Winter,Christmas & New Year,102.82718120805369,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-02 13:00:00,55.29,103.47,26.24,61.87,15.13,0.28,61.94,January,Winter,Christmas & New Year,102.64114093959732,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-02 14:00:00,54.21,100.85,26.97,61.98,14.6,0.23,65.51,January,Winter,Christmas & New Year,90.21689655172415,Satisfactory,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-02 15:00:00,54.25,96.0,25.29,58.04,13.32,0.24,65.25,January,Winter,Christmas & New Year,96.0,Satisfactory,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-02 16:00:00,51.03,92.12,25.44,67.31,11.96,0.24,55.08,January,Winter,Christmas & New Year,92.12,Satisfactory,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-02 17:00:00,51.73,100.05,42.42,69.64,11.81,0.74,39.49,January,Winter,Christmas & New Year,86.02655172413793,Satisfactory,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-02 18:00:00,52.76,117.15,85.84,114.0,12.09,2.74,18.78,January,Winter,Christmas & New Year,111.73053691275169,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-02 19:00:00,61.34,153.07,66.07,95.73,12.61,2.3,24.99,January,Winter,Christmas & New Year,135.5968456375839,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-02 20:00:00,65.73,159.57,41.16,75.18,12.1,0.86,34.28,January,Winter,Christmas & New Year,139.91563758389262,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-02 21:00:00,59.57,148.94,44.12,79.6,12.3,0.82,32.42,January,Winter,Christmas & New Year,132.85275167785235,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-02 22:00:00,55.84,138.96,51.26,74.63,12.35,1.18,27.58,January,Winter,Christmas & New Year,126.22174496644296,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-02 23:00:00,56.34,144.45,33.47,62.82,11.74,0.54,37.64,January,Winter,Christmas & New Year,129.8694630872483,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-03 00:00:00,54.71,131.75,26.56,56.32,11.02,0.49,40.91,January,Winter,Christmas & New Year,121.43120805369128,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-03 01:00:00,50.89,118.28,24.96,55.22,10.47,0.48,40.08,January,Winter,Christmas & New Year,112.4813422818792,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-03 02:00:00,49.33,111.83,24.25,55.7,11.61,0.46,38.39,January,Winter,Christmas & New Year,108.19577181208054,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-03 03:00:00,47.56,112.2,24.99,57.47,10.66,0.42,36.18,January,Winter,Christmas & New Year,108.44161073825504,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-03 04:00:00,47.63,107.83,25.78,58.03,10.74,0.48,33.36,January,Winter,Christmas & New Year,105.53805369127517,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-03 05:00:00,45.94,111.07,24.69,57.54,10.9,0.45,33.71,January,Winter,Christmas & New Year,107.69080536912752,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-03 06:00:00,44.65,107.98,29.37,69.26,11.67,0.5,31.53,January,Winter,Christmas & New Year,105.63771812080537,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-03 07:00:00,48.15,107.49,28.51,62.47,11.4,0.61,31.34,January,Winter,Christmas & New Year,105.31214765100671,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-03 08:00:00,47.19,103.27,31.85,72.61,11.31,0.68,30.93,January,Winter,Christmas & New Year,102.50825503355705,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-03 09:00:00,45.79,100.1,32.2,77.87,13.07,0.58,38.52,January,Winter,Christmas & New Year,75.99,Satisfactory,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-03 10:00:00,61.37,113.92,46.39,98.58,49.87,0.47,40.61,January,Winter,Christmas & New Year,109.58442953020135,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-03 11:00:00,60.66,122.54,43.76,92.1,88.83,0.44,47.41,January,Winter,Christmas & New Year,115.31181208053692,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-03 12:00:00,60.14,121.38,32.77,75.6,64.57,0.4,56.86,January,Winter,Christmas & New Year,114.54107382550336,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
2024-01-03 13:00:00,60.88,118.57,29.89,71.87,49.6,0.36,59.85,January,Winter,Christmas & New Year,112.67402684563758,Moderate,Solapur,Maharashtra,17.8499067,75.2763203
