TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,116.7,241.03,25.68,14.1,26.65,0.48,104.5,January,Winter,Christmas & New Year,288.7344827586207,Poor,Ulhasnagar,Maharashtra,19.2236329,73.1671515
2024-01-01 01:00:00,111.56,207.87,25.51,14.94,58.0,0.45,69.36,January,Winter,Christmas & New Year,271.1875862068965,Poor,Ulhasnagar,Maharashtra,19.2236329,73.1671515
2024-01-01 02:00:00,108.21,199.76,21.42,13.58,23.76,0.35,52.57,January,Winter,Christmas & New Year,259.7513793103448,Poor,Ulhasnagar,Maharashtra,19.2236329,73.1671515
2024-01-01 03:00:00,106.61,190.38,23.04,12.4,15.16,0.59,24.34,January,Winter,Christmas & New Year,254.28931034482758,Poor,Ulhasnagar,Maharashtra,19.2236329,73.1671515
2024-01-01 04:00:00,102.9,174.62,13.4,15.45,11.66,0.32,35.87,January,Winter,Christmas & New Year,241.6241379310345,Poor,Ulhasnagar,Maharashtra,19.2236329,73.1671515
2024-01-01 05:00:00,88.5,142.34,13.29,16.29,8.15,0.2,38.45,January,Winter,Christmas & New Year,194.8793103448276,Moderate,Ulhasnagar,Maharashtra,19.2236329,73.1671515
2024-01-01 06:00:00,69.29,120.76,12.96,14.5,5.92,0.33,40.33,January,Winter,Christmas & New Year,129.30034482758623,Moderate,Ulhasnagar,Maharashtra,19.2236329,73.1671515
2024-01-01 07:00:00,64.15,127.3,18.41,14.69,21.37,0.53,26.14,January,Winter,Christmas & New Year,118.4744966442953,Moderate,Ulhasnagar,Maharashtra,19.2236329,73.1671515
2024-01-01 08:00:00,64.86,129.79,17.77,13.64,15.78,0.56,29.85,January,Winter,Christmas & New Year,120.12892617449664,Moderate,Ulhasnagar,Maharashtra,19.2236329,73.1671515
2024-01-01 09:00:00,65.06,133.54,14.77,12.98,11.95,0.52,56.27,January,Winter,Christmas & New Year,122.62053691275167,Moderate,Ulhasnagar,Maharashtra,19.2236329,73.1671515
