TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,125.92,32.94,7.71,4.66,55.44,0.74,9.65,January,Winter,Christmas & New Year,304.77581395348835,Very Poor,Imphal,Manipur,24.7991162,93.9364419
2024-01-01 01:00:00,31.9,23.2,7.64,4.52,55.53,0.52,9.65,January,Winter,Christmas & New Year,69.25564102564103,Satisfactory,Imphal,Manipur,24.7991162,93.9364419
2024-01-01 02:00:00,46.97,16.12,6.59,8.98,55.29,0.46,9.65,January,Winter,Christmas & New Year,77.98379310344828,Satisfactory,Imphal,Manipur,24.7991162,93.9364419
2024-01-01 03:00:00,36.33,15.45,6.06,9.0,54.94,0.42,9.65,January,Winter,Christmas & New Year,68.51435897435897,Satisfactory,Imphal,Manipur,24.7991162,93.9364419
2024-01-01 04:00:00,38.79,16.58,5.71,8.95,54.84,0.42,9.65,January,Winter,Christmas & New Year,68.38871794871795,Satisfactory,Imphal,Manipur,24.7991162,93.9364419
2024-01-01 05:00:00,40.52,16.8,5.74,8.96,54.66,0.42,9.65,January,Winter,Christmas & New Year,68.16256410256409,Satisfactory,Imphal,Manipur,24.7991162,93.9364419
2024-01-01 06:00:00,39.98,20.72,6.0,9.08,54.28,0.42,9.65,January,Winter,Christmas & New Year,67.68512820512821,Satisfactory,Imphal,Manipur,24.7991162,93.9364419
2024-01-01 07:00:00,42.68,22.91,7.01,8.98,54.26,0.38,9.65,January,Winter,Christmas & New Year,70.73517241379311,Satisfactory,Imphal,Manipur,24.7991162,93.9364419
2024-01-01 08:00:00,34.51,22.22,6.48,8.96,54.44,0.28,9.65,January,Winter,Christmas & New Year,67.88615384615385,Satisfactory,Imphal,Manipur,24.7991162,93.9364419
2024-01-01 09:00:00,27.1,23.63,6.1,9.03,54.88,0.24,9.65,January,Winter,Christmas & New Year,68.43897435897436,Satisfactory,Imphal,Manipur,24.7991162,93.9364419
2024-01-01 10:00:00,25.58,25.63,6.21,9.06,55.27,0.25,2.82,January,Winter,Christmas & New Year,68.92897435897436,Satisfactory,Imphal,Manipur,24.7991162,93.9364419
2024-01-01 11:00:00,33.12,35.15,6.02,9.01,55.58,0.24,5.74,January,Winter,Christmas & New Year,69.31846153846153,Satisfactory,Imphal,Manipur,24.7991162,93.9364419
2024-01-01 12:00:00,27.91,37.53,5.96,9.0,56.05,0.2,8.81,January,Winter,Christmas & New Year,69.90897435897435,Satisfactory,Imphal,Manipur,24.7991162,93.9364419
