TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-01 00:00:00,54.17,103.5,1.86,8.98,1.43,0.41,16.64,January,Winter,Christmas & New Year,102.66107382550335,Moderate,Aizawl,Mizoram,23.7277631,92.7179947
2024-01-01 01:00:00,265.87,572.12,2.06,8.91,1.43,0.42,6.82,January,Winter,Christmas & New Year,483.764,Severe,Aizawl,Mizoram,23.7277631,92.7179947
2024-01-01 02:00:00,117.5,293.03,1.4,8.61,1.43,0.41,8.39,January,Winter,Christmas & New Year,291.4655172413793,Poor,Aizawl,Mizoram,23.7277631,92.7179947
2024-01-01 03:00:00,36.92,78.0,0.42,8.13,1.43,0.36,10.56,January,Winter,Christmas & New Year,78.0,Satisfactory,Aizawl,Mizoram,23.7277631,92.7179947
2024-01-01 04:00:00,6.72,14.0,0.17,9.12,1.43,0.32,9.83,January,Winter,Christmas & New Year,16.0,Good,Aizawl,Mizoram,23.7277631,92.7179947
2024-01-01 05:00:00,4.12,9.0,0.31,13.58,1.43,0.28,10.56,January,Winter,Christmas & New Year,14.000000000000002,Good,Aizawl,Mizoram,23.7277631,92.7179947
2024-01-01 06:00:00,5.74,11.0,0.18,11.82,1.43,0.24,10.52,January,Winter,Christmas & New Year,12.0,Good,Aizawl,Mizoram,23.7277631,92.7179947
2024-01-01 07:00:00,13.36,26.0,0.05,11.1,1.43,0.23,11.53,January,Winter,Christmas & New Year,26.0,Good,Aizawl,Mizoram,23.7277631,92.7179947
2024-01-01 08:00:00,6.92,16.0,0.08,12.29,1.43,0.23,15.86,January,Winter,Christmas & New Year,16.0,Good,Aizawl,Mizoram,23.7277631,92.7179947
2024-01-01 09:00:00,10.73,25.57,0.1,13.94,1.43,0.22,15.31,January,Winter,Christmas & New Year,25.57,Good,Aizawl,Mizoram,23.7277631,92.7179947
2024-01-01 10:00:00,6.81,14.0,0.09,1.22,1.43,0.2,9.82,January,Winter,Christmas & New Year,14.0,Good,Aizawl,Mizoram,23.7277631,92.7179947
2024-01-01 11:00:00,4.4,9.0,0.09,3.79,1.43,0.2,8.6,January,Winter,Christmas & New Year,10.0,Good,Aizawl,Mizoram,23.7277631,92.7179947
2024-01-01 12:00:00,6.96,15.0,0.03,0.87,1.43,0.19,8.94,January,Winter,Christmas & New Year,15.0,Good,Aizawl,Mizoram,23.7277631,92.7179947
2024-01-01 13:00:00,5.12,11.0,0.19,3.79,1.43,0.19,9.04,January,Winter,Christmas & New Year,11.0,Good,Aizawl,Mizoram,23.7277631,92.7179947
2024-01-01 14:00:00,7.48,16.0,0.12,3.79,1.43,0.18,8.97,January,Winter,Christmas & New Year,16.0,Good,Aizawl,Mizoram,23.7277631,92.7179947
2024-01-01 15:00:00,5.71,11.88,0.06,3.79,1.43,0.18,9.17,January,Winter,Christmas & New Year,11.88,Good,Aizawl,Mizoram,23.7277631,92.7179947
2024-01-01 16:00:00,4.07,8.55,0.18,3.79,1.43,0.18,8.78,January,Winter,Christmas & New Year,9.0,Good,Aizawl,Mizoram,23.7277631,92.7179947
2024-01-01 17:00:00,7.54,17.46,0.16,3.79,1.43,0.2,7.66,January,Winter,Christmas & New Year,17.46,Good,Aizawl,Mizoram,23.7277631,92.7179947
2024-01-01 18:00:00,12.5,28.0,0.18,3.79,1.43,0.2,7.37,January,Winter,Christmas & New Year,28.0,Good,Aizawl,Mizoram,23.7277631,92.7179947
2024-01-01 19:00:00,16.52,34.5,0.14,3.79,1.43,0.22,7.25,January,Winter,Christmas & New Year,34.5,Good,Aizawl,Mizoram,23.7277631,92.7179947
2024-01-01 20:00:00,24.19,53.0,0.19,3.56,1.43,0.24,6.7,January,Winter,Christmas & New Year,53.0,Satisfactory,Aizawl,Mizoram,23.7277631,92.7179947
2024-01-01 21:00:00,13.56,28.0,0.21,9.3,1.43,0.25,8.5,January,Winter,Christmas & New Year,28.0,Good,Aizawl,Mizoram,23.7277631,92.7179947
2024-01-01 22:00:00,10.64,26.0,0.4,9.14,1.43,0.26,8.14,January,Winter,Christmas & New Year,26.0,Good,Aizawl,Mizoram,23.7277631,92.7179947
2024-01-01 23:00:00,9.89,24.0,0.19,8.44,1.43,0.24,8.6,January,Winter,Christmas & New Year,24.0,Good,Aizawl,Mizoram,23.7277631,92.7179947
2024-01-02 00:00:00,1.6,3.0,0.1,7.88,1.43,0.21,9.07,January,Winter,Christmas & New Year,10.5,Good,Aizawl,Mizoram,23.7277631,92.7179947
